response_id,question_count,valid,exclusion_reason,duplicate_fingerprint,submitted_at_available,completion_seconds_available,acceptable_price_numeric
REAL-ARK-SURVEY-20260903-046,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-047,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-048,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-049,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-050,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-051,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-052,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-053,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-054,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-055,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-056,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-057,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-058,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-059,25,True,,False,False,False,False
REAL-ARK-SURVEY-20260903-060,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-061,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-062,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-063,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-064,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-065,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-066,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-067,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-068,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-069,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-070,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-071,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-072,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-073,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-074,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-075,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-076,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-077,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-078,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-079,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-080,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-081,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-082,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-083,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-084,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-085,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-086,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-087,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-088,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-089,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-090,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-091,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-092,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-093,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-094,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-095,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-096,25,True,,False,False,False,False
REAL-ARK-SURVEY-20260903-097,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-098,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-099,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-100,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-101,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-102,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-103,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-104,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-105,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-106,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-107,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-108,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-109,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-110,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-111,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-112,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-113,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-114,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-115,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-116,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-117,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-118,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-119,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-120,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-121,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-122,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-123,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-124,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-125,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-126,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-127,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-128,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-129,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-130,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-131,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-132,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-133,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-134,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-135,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-136,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-137,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-138,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-139,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-140,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-141,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-142,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-143,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-144,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-145,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-146,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-147,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-148,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-149,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-150,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-151,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-152,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-153,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-154,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-155,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-156,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-157,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-158,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-159,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-160,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-161,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-162,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-163,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-164,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-165,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-166,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-167,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-168,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-169,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-170,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-171,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-172,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-173,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-174,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-175,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-176,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-177,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-178,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-179,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-180,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-181,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-182,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-183,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-184,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-185,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-186,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-187,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-188,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-189,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-190,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-191,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-192,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-193,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-194,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-195,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-196,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-197,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-198,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-199,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-200,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-201,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-202,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-203,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-204,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-205,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-206,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-207,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-208,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-209,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-210,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-211,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-212,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-213,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-214,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-215,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-216,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-217,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-218,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-219,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-220,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-221,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-222,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-223,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-224,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-225,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-226,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-227,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-228,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-229,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-230,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-231,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-232,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-233,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-234,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-235,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-236,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-237,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-238,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-239,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-240,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-241,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-242,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-243,25,True,,False,False,False,True
