response_id,respondent_id,submitted_at,consent,consent_source,response_source,validation_profile,completion_seconds,questionnaire_version,randomization_group,age_band,activity_days_30d,player_tenure_months,player_status,monthly_merch_budget,has_purchased_merch,purchase_history,annual_merch_spend,purchase_frequency_12m,preferred_operator_1,preferred_operator_2,preferred_operator_3,operator,category,purchase_intent,acceptable_price,channel,limited_preference,purchase_motivation,purchase_barrier,promotion_preference,preorder_tolerance_days,price_good_value,concept_appeal,concept_strength,concept_concern,concept_variant,attribute_priority,product_improvement,open_feedback,is_simulated,is_real_survey_response,data_type,source_batch_id,source_note
REAL-ARK-SURVEY-20260903-017,REAL-ARK-SURVEY-20260903-017,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,16,48.0,玩过《明日方舟》,400.0,False,没买过方舟正版周边，但买过其他ACG正版周边,350.0,2,缪尔赛思,泥岩,凯尔希,缪尔赛思,吧唧（徽章）,4,40.0,线下展会或快闪店,4,画面或造型设计很好看｜价格合适｜很喜欢这个角色,发货进度不透明｜材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用,直接降价,30.0,20.5,4,画面或造型,发货时间｜具体尺寸,更喜欢B款,角色和画面设计=3｜材质与做工=1｜正版授权=4｜实用性=6｜价格=5｜限定或收藏价值=2,-,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-018,REAL-ARK-SURVEY-20260903-018,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,28,24.0,玩过《明日方舟》,1200.0,True,买过《明日方舟》官方或正版授权周边,2000.0,8,锏,塞雷娅,艾雅法拉,锏,手办模玩,4,1500.0,官方商城,4,很喜欢这个角色｜材质和做工让人放心｜价格合适,不确定买回来怎么摆或怎么用｜售后或退换不方便,包邮,75.0,750.5,5,实用性,材质和工艺｜最终价格,更喜欢B款,角色和画面设计=1｜材质与做工=5｜正版授权=4｜实用性=6｜价格=2｜限定或收藏价值=3,希望材质和做工更扎实,没有特别建议，主要还是看角色和成品质量。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-019,REAL-ARK-SURVEY-20260903-019,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,2,0.0,没玩过《明日方舟》,200.0,False,还没有买过正版周边,0.0,0,能天使,维什戴尔,凯尔希,能天使,装饰摆件,3,150.0,B站会员购,3,画面或造型设计很好看｜很喜欢这个角色｜想支持作品或官方,价格比预期高,预售特典,135.0,75.5,3,材质与工艺｜实用性,发货时间｜实物图和细节｜最终价格,更喜欢B款,角色和画面设计=3｜材质与做工=2｜正版授权=5｜实用性=6｜价格=1｜限定或收藏价值=4,-,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-020,REAL-ARK-SURVEY-20260903-020,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,28,,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,350.0,4,诗怀雅,银灰,铃兰,诗怀雅,吧唧（徽章）,4,50.0,官方商城,4,画面或造型设计很好看｜价格合适｜是限定、联名或活动纪念款,材质、尺寸或实物效果说不清楚｜发货进度不透明｜价格比预期高,包邮,45.0,30.5,5,画面或造型｜实用性｜角色选择,售后规则｜具体尺寸｜实物图和细节,更喜欢A款,角色和画面设计=2｜材质与做工=1｜正版授权=3｜实用性=4｜价格=5｜限定或收藏价值=6,希望减少容易刮花的材质,如果有长期补货机制会更愿意购买，不喜欢抢限量。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-021,REAL-ARK-SURVEY-20260903-021,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,23～26岁,16,24.0,玩过《明日方舟》,750.0,False,没买过方舟正版周边，但买过其他ACG正版周边,,2,史尔特尔,银灰,能天使,史尔特尔,吧唧（徽章）,4,50.0,淘宝/天猫,4,画面或造型设计很好看｜平时真的能用到｜价格合适,预售时间太长｜运费太高｜价格比预期高,不太在意促销，更看重商品本身,0.0,30.5,5,收藏价值｜角色选择｜材质与工艺,材质和工艺,更喜欢A款,角色和画面设计=2｜材质与做工=5｜正版授权=3｜实用性=4｜价格=1｜限定或收藏价值=6,希望减少容易刮花的材质,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-022,REAL-ARK-SURVEY-20260903-022,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,28,24.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,350.0,8,斯卡蒂,黍,幽灵鲨,斯卡蒂,毛绒玩偶,3,250.0,官方商城,1,平时真的能用到｜很喜欢这个角色｜画面或造型设计很好看,不确定买回来怎么摆或怎么用,直接降价,0.0,115.5,3,尺寸｜画面或造型,发货时间｜实物图和细节｜是否为正版授权,更喜欢A款,角色和画面设计=1｜材质与做工=2｜正版授权=3｜实用性=6｜价格=4｜限定或收藏价值=5,希望缩短预售和发货周期,可以接受联名，但希望不要为了限定把价格抬得太高。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-023,REAL-ARK-SURVEY-20260903-023,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,6,84.0,玩过《明日方舟》,750.0,True,买过《明日方舟》官方或正版授权周边,2000.0,8,夕,能天使,泥岩,夕,吧唧（徽章）,3,40.0,其他：线下谷店,4,价格合适｜画面或造型设计很好看｜想支持作品或官方,已经有很多同类周边｜预售时间太长,直接降价,0.0,15.0,4,配件或玩法｜收藏价值｜画面或造型,具体尺寸｜实物图和细节｜售后规则,更喜欢B款,角色和画面设计=3｜材质与做工=1｜正版授权=5｜实用性=6｜价格=2｜限定或收藏价值=4,希望增加可替换配件或玩法,可以接受联名，但希望不要为了限定把价格抬得太高。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-024,REAL-ARK-SURVEY-20260903-024,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,6,84.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,750.0,4,缪尔赛思,霍尔海雅,史尔特尔,缪尔赛思,装饰摆件,3,150.0,B站会员购,4,价格合适｜想支持作品或官方｜平时真的能用到,价格比预期高｜设计不太喜欢｜售后或退换不方便,满额赠品,75.0,50.0,3,画面或造型｜实用性｜配件或玩法,最终价格｜实物图和细节,更喜欢B款,角色和画面设计=1｜材质与做工=3｜正版授权=4｜实用性=6｜价格=2｜限定或收藏价值=5,希望限定数量不要太少,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-025,REAL-ARK-SURVEY-20260903-025,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,18～22岁,2,0.0,没玩过《明日方舟》,400.0,False,没买过方舟正版周边，但买过其他ACG正版周边,750.0,2,塞雷娅,泥岩,斯卡蒂,塞雷娅,通行证,4,100.0,淘宝/天猫,4,画面或造型设计很好看｜很喜欢这个角色｜朋友推荐或社区评价很好,担心不是正版｜材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用,满额赠品,45.0,50.5,4,画面或造型｜尺寸｜实用性,发货时间｜最终价格｜实物图和细节,两款都不太喜欢,角色和画面设计=6｜材质与做工=1｜正版授权=4｜实用性=2｜价格=3｜限定或收藏价值=5,-,希望线下快闪和线上商城的库存分配更合理。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-026,REAL-ARK-SURVEY-20260903-026,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,23～26岁,16,0.0,没玩过《明日方舟》,200.0,False,没买过方舟正版周边，但买过其他ACG正版周边,350.0,4,浊心斯卡蒂,史尔特尔,阿米娅,浊心斯卡蒂,亚克力制品,3,60.0,B站会员购,5,画面或造型设计很好看｜有收藏或凑套装的价值｜价格合适,发货进度不透明,直接降价,0.0,30.0,3,画面或造型｜收藏价值｜配件或玩法,是否容易缺货或限量｜是否为正版授权｜具体尺寸,两款都可以,角色和画面设计=5｜材质与做工=1｜正版授权=2｜实用性=4｜价格=3｜限定或收藏价值=6,希望价格再友好一点,没有特别建议，主要还是看角色和成品质量。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-027,REAL-ARK-SURVEY-20260903-027,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,23～26岁,28,84.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,750.0,4,史尔特尔,缪尔赛思,夜莺,史尔特尔,毛绒玩偶,3,300.0,B站会员购,4,平时真的能用到,已经有很多同类周边｜不确定买回来怎么摆或怎么用,不太在意促销，更看重商品本身,135.0,80.0,3,画面或造型｜收藏价值｜配色,实物图和细节｜发货时间｜材质和工艺,更喜欢A款,角色和画面设计=1｜材质与做工=2｜正版授权=6｜实用性=5｜价格=3｜限定或收藏价值=4,-,想要更多能日常使用的周边，比如包、杯子、文具和服饰。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-028,REAL-ARK-SURVEY-20260903-028,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,2,0.0,没玩过《明日方舟》,200.0,False,还没有买过正版周边,0.0,0,能天使,陈,W,能天使,装饰摆件,1,100.0,官方商城,4,价格合适｜朋友推荐或社区评价很好,设计不太喜欢｜运费太高,积分或会员权益,135.0,50.0,1,暂时没有特别吸引我的地方,实物图和细节｜材质和工艺｜发货时间,更喜欢A款,角色和画面设计=1｜材质与做工=4｜正版授权=3｜实用性=5｜价格=2｜限定或收藏价值=6,-,希望包装在保护商品的同时不要过度增加体积和运费。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-029,REAL-ARK-SURVEY-20260903-029,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,16,24.0,玩过《明日方舟》,200.0,False,没买过方舟正版周边，但买过其他ACG正版周边,350.0,2,煌,德克萨斯,缪尔赛思,煌,通行证,4,50.0,淘宝/天猫,4,是限定、联名或活动纪念款｜很喜欢这个角色｜想支持作品或官方,不确定买回来怎么摆或怎么用｜材质、尺寸或实物效果说不清楚｜已经有很多同类周边,直接降价,,50.5,4,收藏价值｜画面或造型｜角色选择,材质和工艺｜具体尺寸｜是否为正版授权,更喜欢A款,角色和画面设计=1｜材质与做工=3｜正版授权=2｜实用性=6｜价格=4｜限定或收藏价值=5,-,希望同一角色能做统一主题套装，方便收藏。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-030,REAL-ARK-SURVEY-20260903-030,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,23～26岁,16,84.0,玩过《明日方舟》,750.0,False,没买过方舟正版周边，但买过其他ACG正版周边,350.0,8,温蒂,德克萨斯,幽灵鲨,温蒂,手办模玩,3,500.0,淘宝/天猫,5,价格合适｜平时真的能用到｜材质和做工让人放心,不确定买回来怎么摆或怎么用｜设计不太喜欢,包邮,75.0,750.5,3,角色选择｜收藏价值｜画面或造型,材质和工艺｜是否容易缺货或限量｜具体尺寸,更喜欢B款,角色和画面设计=1｜材质与做工=2｜正版授权=3｜实用性=5｜价格=4｜限定或收藏价值=6,希望减少容易刮花的材质,希望官方把预售周期和发货进度写得更透明。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
