external_sku_id,operator,category,rights_type,fulfillment_type,list_price,data_quality_score,data_quality_grade,maintenance_priority,maintenance_action,source_url,snapshot_at
TB-920525753802,新约能天使,日用生活,同人原创,未标明,11.64,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=920525753802,2026-09-02 03:46:26+00:00
TB-924913935016,新约能天使,日用生活,未标明,未标明,16.8,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=924913935016,2026-09-02 03:46:26+00:00
TB-949209549991,新约能天使,通行证,未标明,未标明,17.9,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=949209549991,2026-09-02 03:46:26+00:00
TB-950224795262,新约能天使,毛绒玩偶,同人原创,未标明,69.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=950224795262,2026-09-02 03:46:26+00:00
TB-955652255777,新约能天使,亚克力制品,同人原创,未标明,16.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=955652255777,2026-09-02 03:46:26+00:00
TB-956543896771,新约能天使,毛绒玩偶,同人原创,未标明,59.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=956543896771,2026-09-02 03:46:26+00:00
TB-966701392536,新约能天使,吧唧（徽章）,同人原创,未标明,4.8,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=966701392536,2026-09-02 03:46:26+00:00
TB-968738826958,新约能天使,毛绒玩偶,同人原创,未标明,69.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=968738826958,2026-09-02 03:46:26+00:00
TB-970236122639,新约能天使,亚克力制品,未标明,未标明,6.8,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=970236122639,2026-09-02 03:46:26+00:00
TB-990252528561,新约能天使,通行证,同人原创,未标明,6.79,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=990252528561,2026-09-02 03:46:26+00:00
TB-994155895716,新约能天使,毛绒玩偶,同人原创,未标明,23.8,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=994155895716,2026-09-02 03:46:26+00:00
TB-996810327723,新约能天使,其他正版周边,同人原创,未标明,15.06,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=996810327723,2026-09-02 03:46:26+00:00
TB-1000488284508,新约能天使,吧唧（徽章）,同人原创,现货/在售,7.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1000488284508,2026-09-02 03:46:26+00:00
TB-1001746368089,新约能天使,吧唧（徽章）,同人原创,现货/在售,5.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1001746368089,2026-09-02 03:46:26+00:00
TB-1010999701769,新约能天使,通行证,未标明,现货/在售,45.4,80.0,B,P1-待核验,核验官方或授权资质；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=1010999701769,2026-09-02 03:46:26+00:00
TB-1024968066027,新约能天使,日用生活,同人原创,现货/在售,98.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1024968066027,2026-09-02 03:46:26+00:00
TB-1030292586188,nan,通行证,未标明,现货/在售,6.9,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1030292586188,2026-09-02 03:55:00+00:00
TB-1031978980861,新约能天使,通行证,未标明,现货/在售,37.9,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1031978980861,2026-09-02 03:46:26+00:00
TB-1033638763436,新约能天使,亚克力制品,同人原创,现货/在售,6.9,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1033638763436,2026-09-02 03:46:26+00:00
TB-1043268310315,nan,手办模玩,未标明,现货/在售,18.9,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1043268310315,2026-09-02 03:55:00+00:00
TB-1043523130588,nan,手办模玩,未标明,现货/在售,18.9,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1043523130588,2026-09-02 03:55:00+00:00
TB-1044858909914,nan,通行证,未标明,现货/在售,16.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1044858909914,2026-09-02 03:55:00+00:00
TB-1051887554404,nan,吧唧（徽章）,未标明,现货/在售,15.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1051887554404,2026-09-02 03:55:00+00:00
TB-1052812808029,新约能天使,日用生活,未标明,现货/在售,85.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1052812808029,2026-09-02 03:46:26+00:00
TB-1055817716227,新约能天使,亚克力制品,同人原创,现货/在售,18.9,80.0,B,P1-待核验,核验官方或授权资质；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=1055817716227,2026-09-02 03:46:26+00:00
TB-1059684053451,nan,通行证,未标明,现货/在售,4.5,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1059684053451,2026-09-02 03:55:00+00:00
TB-1062722590724,新约能天使,其他正版周边,同人原创,现货/在售,48.0,80.0,B,P1-待核验,核验官方或授权资质；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=1062722590724,2026-09-02 03:46:26+00:00
TB-1065243841321,nan,装饰摆件,未标明,现货/在售,26.59,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1065243841321,2026-09-02 03:55:00+00:00
TB-1065694412211,nan,毛绒玩偶,未标明,现货/在售,26.59,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1065694412211,2026-09-02 03:55:00+00:00
TB-1066058147311,nan,毛绒玩偶,未标明,现货/在售,32.81,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1066058147311,2026-09-02 03:55:00+00:00
TB-1068416679495,nan,吧唧（徽章）,未标明,现货/在售,15.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1068416679495,2026-09-02 03:55:00+00:00
TB-1074401899214,nan,毛绒玩偶,未标明,现货/在售,29.87,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1074401899214,2026-09-02 03:55:00+00:00
TB-1076776801927,新约能天使,其他正版周边,同人原创,现货/在售,9.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=1076776801927,2026-09-02 03:46:26+00:00
TB-597525028979,新约能天使,其他正版周边,未标明,现货/在售,15.68,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=597525028979,2026-09-02 03:55:00+00:00
TB-816019959819,凯尔希·思衡托,日用生活,未标明,现货/在售,14.55,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=816019959819,2026-09-02 03:55:00+00:00
TB-908407294162,nan,日用生活,未标明,现货/在售,14.55,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=908407294162,2026-09-02 03:55:00+00:00
TB-916798377958,新约能天使,吧唧（徽章）,未标明,现货/在售,5.34,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=916798377958,2026-09-02 03:46:26+00:00
TB-919151647329,新约能天使,通行证,未标明,现货/在售,9.99,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=919151647329,2026-09-02 03:46:26+00:00
TB-919638549122,新约能天使,亚克力制品,未标明,预售/补款,16.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=919638549122,2026-09-02 03:46:26+00:00
TB-923244694850,nan,手办模玩,未标明,现货/在售,4.83,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=923244694850,2026-09-02 03:55:00+00:00
TB-926483003272,新约能天使,日用生活,未标明,现货/在售,90.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=926483003272,2026-09-02 03:46:26+00:00
TB-934621870094,新约能天使,吧唧（徽章）,未标明,现货/在售,5.34,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=934621870094,2026-09-02 03:46:26+00:00
TB-948994836298,nan,亚克力制品,未标明,现货/在售,7.11,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=948994836298,2026-09-02 03:55:00+00:00
TB-949905120460,nan,通行证,未标明,现货/在售,3.9,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=949905120460,2026-09-02 03:55:00+00:00
TB-970699315269,新约能天使,亚克力制品,未标明,现货/在售,12.8,80.0,B,P1-待核验,核验官方或授权资质；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=970699315269,2026-09-02 03:46:26+00:00
TB-976192942192,nan,通行证,未标明,现货/在售,6.87,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=976192942192,2026-09-02 03:55:00+00:00
TB-990124075686,新约能天使,毛绒玩偶,未标明,预售/补款,17.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=990124075686,2026-09-02 03:46:26+00:00
TB-991484145689,新约能天使,通行证,未标明,现货/在售,38.16,80.0,B,P1-待核验,核验官方或授权资质；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=991484145689,2026-09-02 03:46:26+00:00
TB-994846667112,新约能天使,吧唧（徽章）,同人原创,预售/补款,5.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=994846667112,2026-09-02 03:46:26+00:00
TB-995038309265,新约能天使,通行证,未标明,现货/在售,38.32,80.0,B,P1-待核验,核验官方或授权资质；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=995038309265,2026-09-02 03:46:26+00:00
TB-995727507003,新约能天使,通行证,未标明,现货/在售,44.0,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=995727507003,2026-09-02 03:46:26+00:00
TB-998178276972,新约能天使,毛绒玩偶,同人原创,现货/在售,23.8,80.0,B,P1-待核验,核验官方或授权资质,https://item.taobao.com/item.htm?id=998178276972,2026-09-02 03:46:26+00:00
TB-948765508943,未归因,毛绒玩偶,官方/授权,现货/在售,69.0,90.0,A,P1-待核验,补充角色归因；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=948765508943,2026-09-02 03:55:00+00:00
TB-1056791162275,nan,其他正版周边,官方/授权,现货/在售,139.0,92.0,A,P1-待核验,复核规格、套装与价格单位,https://item.taobao.com/item.htm?id=1056791162275,2026-09-02 03:55:00+00:00
TB-991110969935,nan,亚克力制品,官方/授权,预售/补款,123.0,92.0,A,P1-待核验,复核规格、套装与价格单位,https://item.taobao.com/item.htm?id=991110969935,2026-09-02 03:55:00+00:00
TB-989772699900,新约能天使,毛绒玩偶,官方/授权,预售/补款,104.0,96.0,A,P1-待核验,主档归并跨查询重复观测，保留原始快照,https://item.taobao.com/item.htm?id=989772699900,2026-09-02 03:55:00+00:00
