operator,category,respondent_count,purchase_intent_mean,high_intent_share,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,prior_buyer_share,limited_preference_mean,monthly_budget_median,survey_evidence_grade,research_note
温蒂,装饰摆件,1,4.0,1.0,400.0,400.0,400.0,0.0,4.0,50.0,D,样本不足，不进入决策
煌,吧唧（徽章）,1,5.0,1.0,40.0,40.0,40.0,1.0,4.0,,D,样本不足，不进入决策
煌,毛绒玩偶,1,4.0,1.0,150.0,150.0,150.0,0.0,4.0,750.0,D,样本不足，不进入决策
玛恩纳,手办模玩,1,5.0,1.0,1000.0,1000.0,1000.0,1.0,3.0,400.0,D,样本不足，不进入决策
玛恩纳,毛绒玩偶,1,5.0,1.0,300.0,300.0,300.0,1.0,4.0,750.0,D,样本不足，不进入决策
维什戴尔,毛绒玩偶,1,4.0,1.0,250.0,250.0,250.0,1.0,4.0,750.0,D,样本不足，不进入决策
缪尔赛思,手办模玩,1,4.0,1.0,1000.0,1000.0,1000.0,0.0,4.0,,D,样本不足，不进入决策
诗怀雅,吧唧（徽章）,1,4.0,1.0,50.0,50.0,50.0,1.0,4.0,200.0,D,样本不足，不进入决策
铃兰,日用生活,1,4.0,1.0,100.0,100.0,100.0,0.0,5.0,50.0,D,样本不足，不进入决策
陈,亚克力制品,1,5.0,1.0,150.0,150.0,150.0,1.0,4.0,200.0,D,样本不足，不进入决策
陈,手办模玩,1,4.0,1.0,800.0,800.0,800.0,1.0,3.0,0.0,D,样本不足，不进入决策
陈,日用生活,1,4.0,1.0,300.0,300.0,300.0,1.0,3.0,1200.0,D,样本不足，不进入决策
陈,毛绒玩偶,1,5.0,1.0,300.0,300.0,300.0,1.0,4.0,400.0,D,样本不足，不进入决策
霍尔海雅,亚克力制品,1,4.0,1.0,60.0,60.0,60.0,0.0,5.0,400.0,D,样本不足，不进入决策
霍尔海雅,通行证,1,4.0,1.0,80.0,80.0,80.0,1.0,4.0,200.0,D,样本不足，不进入决策
黍,毛绒玩偶,1,5.0,1.0,250.0,250.0,250.0,1.0,1.0,50.0,D,样本不足，不进入决策
黍,通行证,1,5.0,1.0,80.0,80.0,80.0,1.0,4.0,400.0,D,样本不足，不进入决策
幽灵鲨,毛绒玩偶,4,4.0,0.75,200.0,175.0,225.0,1.0,4.75,50.0,D,样本不足，不进入决策
维什戴尔,亚克力制品,4,4.0,0.75,135.0,115.0,150.0,1.0,4.0,225.0,D,样本不足，不进入决策
逻各斯,手办模玩,4,3.25,0.75,800.0,725.0,850.0,0.75,3.5,200.0,D,样本不足，不进入决策
W,装饰摆件,3,4.0,0.6666666666666666,200.0,175.0,200.0,0.0,3.6666666666666665,200.0,D,样本不足，不进入决策
塞雷娅,毛绒玩偶,3,3.6666666666666665,0.6666666666666666,200.0,200.0,225.0,0.0,4.333333333333333,200.0,D,样本不足，不进入决策
年,亚克力制品,3,3.0,0.6666666666666666,80.0,80.0,100.0,0.3333333333333333,4.333333333333333,0.0,D,样本不足，不进入决策
幽灵鲨,手办模玩,3,3.6666666666666665,0.6666666666666666,1000.0,900.0,1500.0,0.6666666666666666,3.6666666666666665,200.0,D,样本不足，不进入决策
维什戴尔,吧唧（徽章）,4,3.75,0.5,40.0,37.5,45.0,0.75,2.75,200.0,D,样本不足，不进入决策
令,亚克力制品,2,4.0,0.5,80.0,70.0,90.0,0.5,2.5,125.0,D,样本不足，不进入决策
夕,吧唧（徽章）,2,4.0,0.5,45.0,42.5,47.5,0.5,4.5,750.0,D,样本不足，不进入决策
年,吧唧（徽章）,2,3.5,0.5,65.0,57.5,72.5,0.5,4.5,300.0,D,样本不足，不进入决策
德克萨斯,吧唧（徽章）,2,4.0,0.5,35.0,32.5,37.5,0.5,4.5,50.0,D,样本不足，不进入决策
德克萨斯,通行证,2,3.0,0.5,65.0,57.5,72.5,0.5,3.5,400.0,D,样本不足，不进入决策
拉普兰德,装饰摆件,2,4.0,0.5,350.0,325.0,375.0,0.5,4.0,125.0,D,样本不足，不进入决策
斯卡蒂,吧唧（徽章）,2,3.5,0.5,50.0,45.0,55.0,1.0,4.5,200.0,D,样本不足，不进入决策
斯卡蒂,手办模玩,2,3.5,0.5,750.0,625.0,875.0,1.0,3.5,800.0,D,样本不足，不进入决策
浊心斯卡蒂,装饰摆件,2,3.0,0.5,200.0,150.0,250.0,0.5,4.5,400.0,D,样本不足，不进入决策
温蒂,毛绒玩偶,2,2.5,0.5,325.0,287.5,362.5,0.0,4.0,225.0,D,样本不足，不进入决策
温蒂,通行证,2,3.0,0.5,80.0,70.0,90.0,0.5,3.5,375.0,D,样本不足，不进入决策
煌,日用生活,2,4.0,0.5,500.0,500.0,500.0,1.0,4.5,800.0,D,样本不足，不进入决策
煌,通行证,2,3.5,0.5,55.0,52.5,57.5,0.0,4.5,125.0,D,样本不足，不进入决策
玛恩纳,吧唧（徽章）,2,3.0,0.5,45.0,42.5,47.5,0.0,2.5,700.0,D,样本不足，不进入决策
维什戴尔,手办模玩,2,3.5,0.5,1250.0,1125.0,1375.0,1.0,3.5,575.0,D,样本不足，不进入决策
缪尔赛思,吧唧（徽章）,2,3.5,0.5,50.0,45.0,55.0,0.0,4.0,575.0,D,样本不足，不进入决策
能天使,吧唧（徽章）,2,3.5,0.5,35.0,32.5,37.5,0.0,3.5,200.0,D,样本不足，不进入决策
能天使,毛绒玩偶,2,3.5,0.5,175.0,162.5,187.5,0.0,4.0,125.0,D,样本不足，不进入决策
诗怀雅,手办模玩,2,4.0,0.5,1400.0,1100.0,1700.0,0.5,4.0,200.0,D,样本不足，不进入决策
锏,装饰摆件,2,3.5,0.5,150.0,125.0,175.0,0.5,2.5,300.0,D,样本不足，不进入决策
阿米娅,亚克力制品,2,3.5,0.5,125.0,112.5,137.5,0.5,3.0,225.0,D,样本不足，不进入决策
阿米娅,装饰摆件,2,3.5,0.5,200.0,150.0,250.0,1.0,4.5,400.0,D,样本不足，不进入决策
阿米娅,通行证,2,3.0,0.5,65.0,57.5,72.5,0.0,4.5,50.0,D,样本不足，不进入决策
浊心斯卡蒂,亚克力制品,5,3.4,0.4,80.0,80.0,100.0,0.4,4.2,400.0,D,样本不足，不进入决策
令,吧唧（徽章）,3,3.0,0.3333333333333333,50.0,40.0,50.0,0.0,4.0,200.0,D,样本不足，不进入决策
令,装饰摆件,3,3.3333333333333335,0.3333333333333333,200.0,175.0,250.0,0.3333333333333333,4.0,225.0,D,样本不足，不进入决策
史尔特尔,手办模玩,3,2.6666666666666665,0.3333333333333333,800.0,800.0,1150.0,1.0,3.0,50.0,D,样本不足，不进入决策
拉普兰德,通行证,3,3.3333333333333335,0.3333333333333333,50.0,50.0,65.0,0.3333333333333333,4.333333333333333,50.0,D,样本不足，不进入决策
银灰,日用生活,3,3.6666666666666665,0.3333333333333333,150.0,125.0,175.0,0.3333333333333333,4.333333333333333,400.0,D,样本不足，不进入决策
锏,手办模玩,3,3.3333333333333335,0.3333333333333333,1500.0,1500.0,1750.0,1.0,3.6666666666666665,200.0,D,样本不足，不进入决策
史尔特尔,日用生活,7,3.4285714285714284,0.2857142857142857,200.0,150.0,200.0,0.5714285714285714,3.857142857142857,200.0,D,样本不足，不进入决策
史尔特尔,亚克力制品,4,2.75,0.25,80.0,80.0,97.5,0.5,4.25,200.0,D,样本不足，不进入决策
幽灵鲨,装饰摆件,5,3.0,0.2,100.0,100.0,100.0,0.6,4.0,50.0,D,样本不足，不进入决策
德克萨斯,亚克力制品,6,2.1666666666666665,0.0,100.0,85.0,100.0,0.16666666666666666,3.5,400.0,D,样本不足，不进入决策
缪尔赛思,装饰摆件,4,2.75,0.0,225.0,137.5,325.0,0.5,3.0,200.0,D,样本不足，不进入决策
斯卡蒂,毛绒玩偶,3,2.6666666666666665,0.0,200.0,175.0,225.0,1.0,3.0,200.0,D,样本不足，不进入决策
W,毛绒玩偶,2,2.5,0.0,200.0,175.0,225.0,0.5,2.5,50.0,D,样本不足，不进入决策
塞雷娅,日用生活,2,2.5,0.0,300.0,300.0,300.0,0.0,2.0,400.0,D,样本不足，不进入决策
德克萨斯,手办模玩,2,2.5,0.0,800.0,800.0,800.0,0.0,4.5,700.0,D,样本不足，不进入决策
棘刺,吧唧（徽章）,2,3.0,0.0,45.0,42.5,47.5,0.5,4.0,575.0,D,样本不足，不进入决策
泥岩,装饰摆件,2,3.0,0.0,150.0,125.0,175.0,0.5,4.0,125.0,D,样本不足，不进入决策
温蒂,手办模玩,2,3.0,0.0,750.0,625.0,875.0,0.0,5.0,575.0,D,样本不足，不进入决策
玛恩纳,亚克力制品,2,2.0,0.0,90.0,75.0,105.0,0.0,3.5,225.0,D,样本不足，不进入决策
能天使,亚克力制品,2,2.0,0.0,60.0,60.0,60.0,0.5,3.5,50.0,D,样本不足，不进入决策
能天使,装饰摆件,2,2.0,0.0,125.0,112.5,137.5,0.0,3.5,200.0,D,样本不足，不进入决策
阿米娅,手办模玩,2,2.5,0.0,1150.0,975.0,1325.0,0.5,3.5,50.0,D,样本不足，不进入决策
W,通行证,1,2.0,0.0,60.0,60.0,60.0,0.0,4.0,200.0,D,样本不足，不进入决策
伊芙利特,亚克力制品,1,3.0,0.0,100.0,100.0,100.0,0.0,4.0,200.0,D,样本不足，不进入决策
伊芙利特,手办模玩,1,2.0,0.0,2000.0,2000.0,2000.0,0.0,5.0,200.0,D,样本不足，不进入决策
伊芙利特,日用生活,1,3.0,0.0,100.0,100.0,100.0,0.0,3.0,200.0,D,样本不足，不进入决策
凯尔希,亚克力制品,1,2.0,0.0,60.0,60.0,60.0,0.0,3.0,200.0,D,样本不足，不进入决策
凯尔希,毛绒玩偶,1,3.0,0.0,200.0,200.0,200.0,1.0,4.0,50.0,D,样本不足，不进入决策
凯尔希,装饰摆件,1,1.0,0.0,150.0,150.0,150.0,0.0,4.0,50.0,D,样本不足，不进入决策
凯尔希,通行证,1,3.0,0.0,80.0,80.0,80.0,0.0,1.0,0.0,D,样本不足，不进入决策
史尔特尔,毛绒玩偶,1,3.0,0.0,300.0,300.0,300.0,1.0,4.0,200.0,D,样本不足，不进入决策
史尔特尔,装饰摆件,1,3.0,0.0,300.0,300.0,300.0,0.0,3.0,50.0,D,样本不足，不进入决策
塞雷娅,亚克力制品,1,3.0,0.0,120.0,120.0,120.0,0.0,3.0,50.0,D,样本不足，不进入决策
夕,日用生活,1,3.0,0.0,100.0,100.0,100.0,0.0,1.0,200.0,D,样本不足，不进入决策
夕,装饰摆件,1,3.0,0.0,100.0,100.0,100.0,1.0,3.0,200.0,D,样本不足，不进入决策
年,手办模玩,1,3.0,0.0,1500.0,1500.0,1500.0,0.0,3.0,50.0,D,样本不足，不进入决策
幽灵鲨,吧唧（徽章）,1,3.0,0.0,60.0,60.0,60.0,0.0,5.0,400.0,D,样本不足，不进入决策
拉普兰德,日用生活,1,3.0,0.0,200.0,200.0,200.0,1.0,4.0,400.0,D,样本不足，不进入决策
棘刺,手办模玩,1,3.0,0.0,1500.0,1500.0,1500.0,0.0,3.0,50.0,D,样本不足，不进入决策
棘刺,日用生活,1,3.0,0.0,100.0,100.0,100.0,1.0,5.0,50.0,D,样本不足，不进入决策
棘刺,装饰摆件,1,2.0,0.0,100.0,100.0,100.0,0.0,4.0,50.0,D,样本不足，不进入决策
泥岩,亚克力制品,1,2.0,0.0,60.0,60.0,60.0,0.0,5.0,50.0,D,样本不足，不进入决策
泥岩,手办模玩,1,3.0,0.0,800.0,800.0,800.0,0.0,4.0,,D,样本不足，不进入决策
泥岩,日用生活,1,3.0,0.0,150.0,150.0,150.0,1.0,1.0,200.0,D,样本不足，不进入决策
浊心斯卡蒂,手办模玩,1,2.0,0.0,2000.0,2000.0,2000.0,0.0,5.0,200.0,D,样本不足，不进入决策
浊心斯卡蒂,毛绒玩偶,1,3.0,0.0,150.0,150.0,150.0,0.0,4.0,50.0,D,样本不足，不进入决策
温蒂,吧唧（徽章）,1,3.0,0.0,30.0,30.0,30.0,0.0,1.0,400.0,D,样本不足，不进入决策
煌,亚克力制品,1,3.0,0.0,100.0,100.0,100.0,0.0,5.0,750.0,D,样本不足，不进入决策
玛恩纳,日用生活,1,1.0,0.0,200.0,200.0,200.0,0.0,3.0,50.0,D,样本不足，不进入决策
玛恩纳,装饰摆件,1,3.0,0.0,100.0,100.0,100.0,0.0,3.0,50.0,D,样本不足，不进入决策
维什戴尔,装饰摆件,1,3.0,0.0,150.0,150.0,150.0,0.0,3.0,0.0,D,样本不足，不进入决策
能天使,日用生活,1,2.0,0.0,300.0,300.0,300.0,0.0,5.0,0.0,D,样本不足，不进入决策
能天使,通行证,1,3.0,0.0,50.0,50.0,50.0,0.0,4.0,50.0,D,样本不足，不进入决策
艾雅法拉,手办模玩,1,3.0,0.0,800.0,800.0,800.0,0.0,5.0,200.0,D,样本不足，不进入决策
艾雅法拉,日用生活,1,3.0,0.0,150.0,150.0,150.0,1.0,3.0,200.0,D,样本不足，不进入决策
艾雅法拉,毛绒玩偶,1,3.0,0.0,300.0,300.0,300.0,1.0,5.0,200.0,D,样本不足，不进入决策
艾雅法拉,装饰摆件,1,3.0,0.0,400.0,400.0,400.0,0.0,4.0,400.0,D,样本不足，不进入决策
铃兰,亚克力制品,1,3.0,0.0,80.0,80.0,80.0,1.0,4.0,200.0,D,样本不足，不进入决策
铃兰,手办模玩,1,3.0,0.0,500.0,500.0,500.0,0.0,3.0,400.0,D,样本不足，不进入决策
铃兰,毛绒玩偶,1,2.0,0.0,150.0,150.0,150.0,0.0,4.0,50.0,D,样本不足，不进入决策
银灰,手办模玩,1,3.0,0.0,1000.0,1000.0,1000.0,0.0,3.0,0.0,D,样本不足，不进入决策
阿米娅,吧唧（徽章）,1,1.0,0.0,60.0,60.0,60.0,0.0,3.0,200.0,D,样本不足，不进入决策
阿米娅,毛绒玩偶,1,3.0,0.0,300.0,300.0,300.0,0.0,4.0,0.0,D,样本不足，不进入决策
霍尔海雅,装饰摆件,1,3.0,0.0,100.0,100.0,100.0,1.0,4.0,200.0,D,样本不足，不进入决策
黍,装饰摆件,1,3.0,0.0,400.0,400.0,400.0,1.0,5.0,400.0,D,样本不足，不进入决策
