order_line_id,order_id,order_date,sku_id,quantity,unit_price,discount_rate,discount_amount,net_revenue,unit_cost,line_cost,payment_status,fulfillment_status,is_simulated,simulation_seed
ORD-0000037-1,ORD-0000037,2026-08-21,黍-日用生活,1,99.0,0.05,4.95,94.05,45.54,45.54,paid,delivered,True,20260903
ORD-0000038-1,ORD-0000038,2026-06-22,谬因-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000039-1,ORD-0000039,2026-08-08,荒芜拉普兰德-毛绒玩偶,1,128.0,0.1,12.8,115.2,61.44,61.44,paid,delivered,True,20260903
ORD-0000040-1,ORD-0000040,2026-08-04,荒芜拉普兰德-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,shipped,True,20260903
ORD-0000040-2,ORD-0000040,2026-08-04,归溟幽灵鲨-手办模玩,1,699.0,0.1,69.9,629.1,433.38,433.38,paid,shipped,True,20260903
ORD-0000041-1,ORD-0000041,2026-08-10,凯尔希·思衡托-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000042-1,ORD-0000042,2026-07-24,司霆惊蛰-毛绒玩偶,1,128.0,0.15,19.2,108.8,61.44,61.44,paid,delivered,True,20260903
ORD-0000043-1,ORD-0000043,2026-07-06,焰狐龙梓兰-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000044-1,ORD-0000044,2026-06-08,凛御银灰-装饰摆件,2,89.0,0.0,0.0,178.0,37.38,74.76,paid,delivered,True,20260903
ORD-0000045-1,ORD-0000045,2026-07-21,赤刃明霄陈-吧唧（徽章）,1,18.0,0.1,1.8,16.2,5.4,5.4,paid,delivered,True,20260903
ORD-0000045-2,ORD-0000045,2026-07-21,缪尔赛思-吧唧（徽章）,1,18.0,0.1,1.8,16.2,5.4,5.4,paid,delivered,True,20260903
ORD-0000046-1,ORD-0000046,2026-07-06,维娜·维多利亚-吧唧（徽章）,1,18.0,0.1,1.8,16.2,5.4,5.4,paid,delivered,True,20260903
ORD-0000046-2,ORD-0000046,2026-07-06,佩佩-吧唧（徽章）,1,18.0,0.1,1.8,16.2,5.4,5.4,paid,delivered,True,20260903
ORD-0000047-1,ORD-0000047,2026-07-25,贝洛内-吧唧（徽章）,1,18.0,0.15,2.7,15.3,5.4,5.4,paid,delivered,True,20260903
ORD-0000048-1,ORD-0000048,2026-08-03,黍-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000048-2,ORD-0000048,2026-08-03,缪尔赛思-毛绒玩偶,1,128.0,0.05,6.4,121.6,61.44,61.44,paid,delivered,True,20260903
ORD-0000049-1,ORD-0000049,2026-07-13,凛御银灰-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000050-1,ORD-0000050,2026-08-07,贝洛内-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000051-1,ORD-0000051,2026-07-01,焰狐龙梓兰-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000052-1,ORD-0000052,2026-08-04,凛御银灰-毛绒玩偶,1,128.0,0.05,6.4,121.6,61.44,61.44,paid,delivered,True,20260903
ORD-0000053-1,ORD-0000053,2026-06-27,司霆惊蛰-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000054-1,ORD-0000054,2026-08-02,贝洛内-通行证,2,39.0,0.05,3.9,74.1,12.48,24.96,paid,delivered,True,20260903
ORD-0000054-2,ORD-0000054,2026-08-02,Mon3tr-毛绒玩偶,2,128.0,0.0,0.0,256.0,61.44,122.88,paid,delivered,True,20260903
ORD-0000054-3,ORD-0000054,2026-08-02,凛御银灰-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000055-1,ORD-0000055,2026-08-14,凛御银灰-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000056-1,ORD-0000056,2026-06-23,司霆惊蛰-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000056-2,ORD-0000056,2026-06-23,维娜·维多利亚-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000057-1,ORD-0000057,2026-07-30,归溟幽灵鲨-通行证,3,39.0,0.05,5.85,111.15,12.48,37.44,paid,delivered,True,20260903
ORD-0000058-1,ORD-0000058,2026-07-11,赤刃明霄陈-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000059-1,ORD-0000059,2026-07-26,缇缇-毛绒玩偶,1,128.0,0.05,6.4,121.6,61.44,61.44,paid,delivered,True,20260903
ORD-0000060-1,ORD-0000060,2026-08-16,缄默德克萨斯-手办模玩,1,699.0,0.1,69.9,629.1,433.38,433.38,paid,delivered,True,20260903
ORD-0000061-1,ORD-0000061,2026-08-01,结城理-亚克力制品,2,48.0,0.0,0.0,96.0,16.8,33.6,paid,delivered,True,20260903
ORD-0000062-1,ORD-0000062,2026-08-24,黍-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000063-1,ORD-0000063,2026-07-29,重岳-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000063-2,ORD-0000063,2026-07-29,缄默德克萨斯-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000064-1,ORD-0000064,2026-07-23,怒潮凛冬-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000065-1,ORD-0000065,2026-07-25,缇缇-日用生活,1,99.0,0.05,4.95,94.05,45.54,45.54,paid,delivered,True,20260903
ORD-0000066-1,ORD-0000066,2026-08-01,赤刃明霄陈-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000067-1,ORD-0000067,2026-08-20,司霆惊蛰-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000068-1,ORD-0000068,2026-08-27,黍-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000069-1,ORD-0000069,2026-07-26,塑心-日用生活,1,99.0,0.05,4.95,94.05,45.54,45.54,paid,delivered,True,20260903
ORD-0000070-1,ORD-0000070,2026-08-28,怒潮凛冬-手办模玩,2,699.0,0.1,139.8,1258.2,433.38,866.76,paid,delivered,True,20260903
ORD-0000070-2,ORD-0000070,2026-08-28,死芒-毛绒玩偶,2,128.0,0.0,0.0,256.0,61.44,122.88,paid,delivered,True,20260903
ORD-0000070-3,ORD-0000070,2026-08-28,谬因-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000071-1,ORD-0000071,2026-06-03,焰狐龙梓兰-通行证,1,39.0,0.15,5.85,33.15,12.48,12.48,paid,pending,True,20260903
ORD-0000072-1,ORD-0000072,2026-08-02,谬因-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,cancelled,cancelled,True,20260903
ORD-0000072-2,ORD-0000072,2026-08-02,归溟幽灵鲨-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,cancelled,cancelled,True,20260903
ORD-0000073-1,ORD-0000073,2026-06-13,缄默德克萨斯-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000074-1,ORD-0000074,2026-06-22,新约能天使-日用生活,2,99.0,0.05,9.9,188.1,45.54,91.08,paid,delivered,True,20260903
ORD-0000074-2,ORD-0000074,2026-06-22,荒芜拉普兰德-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000074-3,ORD-0000074,2026-06-22,结城理-通行证,1,39.0,0.05,1.95,37.05,12.48,12.48,paid,delivered,True,20260903
ORD-0000075-1,ORD-0000075,2026-07-21,司霆惊蛰-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000076-1,ORD-0000076,2026-06-15,佩佩-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000077-1,ORD-0000077,2026-07-05,余-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000078-1,ORD-0000078,2026-07-20,缄默德克萨斯-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000079-1,ORD-0000079,2026-08-10,予愿安洁莉娜-手办模玩,1,699.0,0.1,69.9,629.1,433.38,433.38,paid,delivered,True,20260903
ORD-0000079-2,ORD-0000079,2026-08-10,凛御银灰-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000080-1,ORD-0000080,2026-08-14,黍-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000081-1,ORD-0000081,2026-07-04,斩业星熊-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000082-1,ORD-0000082,2026-06-23,塑心-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000083-1,ORD-0000083,2026-07-18,维娜·维多利亚-吧唧（徽章）,1,18.0,0.05,0.9,17.1,5.4,5.4,paid,delivered,True,20260903
ORD-0000084-1,ORD-0000084,2026-07-08,贝洛内-手办模玩,1,699.0,0.15,104.85,594.15,433.38,433.38,paid,delivered,True,20260903
ORD-0000085-1,ORD-0000085,2026-06-18,斩业星熊-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000086-1,ORD-0000086,2026-06-20,归溟幽灵鲨-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000087-1,ORD-0000087,2026-06-22,缪尔赛思-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000088-1,ORD-0000088,2026-06-07,死芒-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000089-1,ORD-0000089,2026-08-20,凛御银灰-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000089-2,ORD-0000089,2026-08-20,缄默德克萨斯-毛绒玩偶,1,128.0,0.1,12.8,115.2,61.44,61.44,paid,delivered,True,20260903
ORD-0000090-1,ORD-0000090,2026-08-28,酒神-亚克力制品,1,48.0,0.05,2.4,45.6,16.8,16.8,paid,shipped,True,20260903
ORD-0000090-2,ORD-0000090,2026-08-28,塑心-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,shipped,True,20260903
ORD-0000091-1,ORD-0000091,2026-08-05,凯尔希·思衡托-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,cancelled,cancelled,True,20260903
ORD-0000091-2,ORD-0000091,2026-08-05,予愿安洁莉娜-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,cancelled,cancelled,True,20260903
ORD-0000092-1,ORD-0000092,2026-06-04,黍-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,cancelled,cancelled,True,20260903
ORD-0000093-1,ORD-0000093,2026-07-30,凯尔希·思衡托-装饰摆件,1,89.0,0.05,4.45,84.55,37.38,37.38,paid,delivered,True,20260903
ORD-0000094-1,ORD-0000094,2026-07-20,归溟幽灵鲨-手办模玩,2,699.0,0.0,0.0,1398.0,433.38,866.76,paid,delivered,True,20260903
ORD-0000094-2,ORD-0000094,2026-07-20,凛御银灰-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000095-1,ORD-0000095,2026-06-04,死芒-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,shipped,True,20260903
ORD-0000096-1,ORD-0000096,2026-08-02,佩佩-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000097-1,ORD-0000097,2026-06-30,归溟幽灵鲨-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000098-1,ORD-0000098,2026-06-20,斩业星熊-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000099-1,ORD-0000099,2026-06-06,凯尔希·思衡托-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000100-1,ORD-0000100,2026-06-16,缇缇-亚克力制品,2,48.0,0.0,0.0,96.0,16.8,33.6,paid,delivered,True,20260903
ORD-0000101-1,ORD-0000101,2026-08-25,纯烬艾雅法拉-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000101-2,ORD-0000101,2026-08-25,斩业星熊-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000102-1,ORD-0000102,2026-07-05,缇缇-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000103-1,ORD-0000103,2026-07-01,凯尔希·思衡托-装饰摆件,1,89.0,0.15,13.35,75.65,37.38,37.38,paid,delivered,True,20260903
ORD-0000104-1,ORD-0000104,2026-08-06,娜斯提-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000105-1,ORD-0000105,2026-06-26,真言-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000106-1,ORD-0000106,2026-06-18,凯尔希·思衡托-通行证,1,39.0,0.15,5.85,33.15,12.48,12.48,paid,delivered,True,20260903
ORD-0000107-1,ORD-0000107,2026-07-24,纯烬艾雅法拉-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000108-1,ORD-0000108,2026-06-14,司霆惊蛰-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000109-1,ORD-0000109,2026-06-22,重岳-亚克力制品,2,48.0,0.05,4.8,91.2,16.8,33.6,paid,delivered,True,20260903
ORD-0000109-2,ORD-0000109,2026-06-22,司霆惊蛰-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000109-3,ORD-0000109,2026-06-22,塑心-日用生活,1,99.0,0.05,4.95,94.05,45.54,45.54,paid,delivered,True,20260903
ORD-0000110-1,ORD-0000110,2026-06-18,归溟幽灵鲨-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000111-1,ORD-0000111,2026-06-21,凛御银灰-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000112-1,ORD-0000112,2026-07-01,予愿安洁莉娜-吧唧（徽章）,2,18.0,0.0,0.0,36.0,5.4,10.8,paid,delivered,True,20260903
ORD-0000113-1,ORD-0000113,2026-08-14,望-装饰摆件,2,89.0,0.15,26.7,151.3,37.38,74.76,paid,delivered,True,20260903
ORD-0000113-2,ORD-0000113,2026-08-14,归溟幽灵鲨-通行证,1,39.0,0.1,3.9,35.1,12.48,12.48,paid,delivered,True,20260903
ORD-0000114-1,ORD-0000114,2026-07-10,凯尔希·思衡托-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000115-1,ORD-0000115,2026-08-07,贝洛内-毛绒玩偶,1,128.0,0.05,6.4,121.6,61.44,61.44,paid,delivered,True,20260903
ORD-0000116-1,ORD-0000116,2026-06-13,荒芜拉普兰德-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000116-2,ORD-0000116,2026-06-13,纯烬艾雅法拉-通行证,1,39.0,0.15,5.85,33.15,12.48,12.48,paid,delivered,True,20260903
ORD-0000117-1,ORD-0000117,2026-06-09,纯烬艾雅法拉-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000117-2,ORD-0000117,2026-06-09,缪尔赛思-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000118-1,ORD-0000118,2026-07-10,重岳-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000119-1,ORD-0000119,2026-06-27,重岳-毛绒玩偶,1,128.0,0.1,12.8,115.2,61.44,61.44,paid,delivered,True,20260903
ORD-0000120-1,ORD-0000120,2026-07-31,Mon3tr-毛绒玩偶,1,128.0,0.1,12.8,115.2,61.44,61.44,paid,delivered,True,20260903
ORD-0000121-1,ORD-0000121,2026-07-12,谬因-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000122-1,ORD-0000122,2026-07-27,凛御银灰-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000123-1,ORD-0000123,2026-07-18,酒神-吧唧（徽章）,1,18.0,0.05,0.9,17.1,5.4,5.4,paid,delivered,True,20260903
ORD-0000124-1,ORD-0000124,2026-08-05,缇缇-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,shipped,True,20260903
ORD-0000125-1,ORD-0000125,2026-07-11,死芒-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,cancelled,cancelled,True,20260903
ORD-0000126-1,ORD-0000126,2026-07-31,结城理-通行证,1,39.0,0.15,5.85,33.15,12.48,12.48,paid,delivered,True,20260903
ORD-0000127-1,ORD-0000127,2026-07-24,酒神-吧唧（徽章）,2,18.0,0.0,0.0,36.0,5.4,10.8,paid,delivered,True,20260903
ORD-0000127-2,ORD-0000127,2026-07-24,酒神-通行证,1,39.0,0.1,3.9,35.1,12.48,12.48,paid,delivered,True,20260903
ORD-0000128-1,ORD-0000128,2026-08-19,怒潮凛冬-吧唧（徽章）,1,18.0,0.1,1.8,16.2,5.4,5.4,cancelled,cancelled,True,20260903
ORD-0000129-1,ORD-0000129,2026-08-02,予愿安洁莉娜-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000129-2,ORD-0000129,2026-08-02,结城理-日用生活,1,99.0,0.1,9.9,89.1,45.54,45.54,paid,delivered,True,20260903
ORD-0000130-1,ORD-0000130,2026-07-28,贝洛内-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000131-1,ORD-0000131,2026-08-15,归溟幽灵鲨-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000132-1,ORD-0000132,2026-08-25,缪尔赛思-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,cancelled,cancelled,True,20260903
ORD-0000133-1,ORD-0000133,2026-06-20,斩业星熊-毛绒玩偶,1,128.0,0.1,12.8,115.2,61.44,61.44,cancelled,cancelled,True,20260903
ORD-0000134-1,ORD-0000134,2026-06-16,凯尔希·思衡托-通行证,1,39.0,0.1,3.9,35.1,12.48,12.48,paid,shipped,True,20260903
ORD-0000135-1,ORD-0000135,2026-07-30,谬因-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000136-1,ORD-0000136,2026-06-22,娜斯提-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000137-1,ORD-0000137,2026-06-20,娜斯提-亚克力制品,1,48.0,0.05,2.4,45.6,16.8,16.8,paid,delivered,True,20260903
ORD-0000138-1,ORD-0000138,2026-06-18,结城理-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000139-1,ORD-0000139,2026-07-11,凯尔希·思衡托-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000140-1,ORD-0000140,2026-06-12,黍-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000140-2,ORD-0000140,2026-06-12,纯烬艾雅法拉-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000141-1,ORD-0000141,2026-07-28,赤刃明霄陈-通行证,2,39.0,0.0,0.0,78.0,12.48,24.96,paid,delivered,True,20260903
