order_id,order_date,channel,customer_segment,payment_status,fulfillment_status,order_amount,discount_amount,shipping_fee,paid_amount,is_simulated,simulation_seed
ORD-0000106,2026-06-18,官方商城,occasional_buyer,paid,delivered,39.0,5.85,0.0,33.15,True,20260903
ORD-0000107,2026-07-24,淘宝/天猫,core_buyer,paid,delivered,39.0,0.0,8.0,47.0,True,20260903
ORD-0000108,2026-06-14,淘宝/天猫,occasional_buyer,paid,delivered,48.0,4.8,10.0,53.2,True,20260903
ORD-0000109,2026-06-22,线下展会或快闪店,core_buyer,paid,delivered,213.0,9.75,0.0,203.25,True,20260903
ORD-0000110,2026-06-18,官方商城,occasional_buyer,paid,delivered,39.0,0.0,8.0,47.0,True,20260903
ORD-0000111,2026-06-21,淘宝/天猫,core_buyer,paid,delivered,89.0,0.0,0.0,89.0,True,20260903
ORD-0000112,2026-07-01,线下展会或快闪店,potential_buyer,paid,delivered,36.0,0.0,8.0,44.0,True,20260903
ORD-0000113,2026-08-14,B站会员购,occasional_buyer,paid,delivered,217.0,30.6,0.0,186.4,True,20260903
ORD-0000114,2026-07-10,淘宝/天猫,core_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000115,2026-08-07,官方商城,core_buyer,paid,delivered,128.0,6.4,0.0,121.6,True,20260903
ORD-0000116,2026-06-13,B站会员购,potential_buyer,paid,delivered,738.0,5.85,0.0,732.15,True,20260903
ORD-0000117,2026-06-09,淘宝/天猫,occasional_buyer,paid,delivered,227.0,9.9,0.0,217.1,True,20260903
ORD-0000118,2026-07-10,B站会员购,core_buyer,paid,delivered,699.0,34.95,0.0,664.05,True,20260903
ORD-0000119,2026-06-27,淘宝/天猫,core_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000120,2026-07-31,淘宝/天猫,occasional_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000121,2026-07-12,线下展会或快闪店,occasional_buyer,paid,delivered,18.0,0.0,12.0,30.0,True,20260903
ORD-0000122,2026-07-27,淘宝/天猫,core_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000123,2026-07-18,B站会员购,core_buyer,paid,delivered,18.0,0.9,0.0,17.1,True,20260903
ORD-0000124,2026-08-05,淘宝/天猫,potential_buyer,paid,shipped,128.0,0.0,0.0,128.0,True,20260903
ORD-0000125,2026-07-11,淘宝/天猫,occasional_buyer,cancelled,cancelled,699.0,0.0,0.0,0.0,True,20260903
ORD-0000126,2026-07-31,二手平台,potential_buyer,paid,delivered,39.0,5.85,0.0,33.15,True,20260903
ORD-0000127,2026-07-24,淘宝/天猫,occasional_buyer,paid,delivered,75.0,3.9,8.0,79.1,True,20260903
ORD-0000128,2026-08-19,线下展会或快闪店,potential_buyer,cancelled,cancelled,18.0,1.8,8.0,0.0,True,20260903
ORD-0000129,2026-08-02,淘宝/天猫,occasional_buyer,paid,delivered,798.0,44.85,0.0,753.15,True,20260903
ORD-0000130,2026-07-28,线下展会或快闪店,occasional_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000131,2026-08-15,官方商城,occasional_buyer,paid,delivered,18.0,0.0,12.0,30.0,True,20260903
ORD-0000132,2026-08-25,淘宝/天猫,core_buyer,cancelled,cancelled,39.0,0.0,8.0,0.0,True,20260903
ORD-0000133,2026-06-20,其他,potential_buyer,cancelled,cancelled,128.0,12.8,0.0,0.0,True,20260903
ORD-0000134,2026-06-16,淘宝/天猫,occasional_buyer,paid,shipped,39.0,3.9,10.0,45.1,True,20260903
ORD-0000135,2026-07-30,官方商城,occasional_buyer,paid,delivered,18.0,0.0,8.0,26.0,True,20260903
ORD-0000136,2026-06-22,B站会员购,core_buyer,paid,delivered,699.0,34.95,0.0,664.05,True,20260903
ORD-0000137,2026-06-20,官方商城,core_buyer,paid,delivered,48.0,2.4,0.0,45.6,True,20260903
ORD-0000138,2026-06-18,B站会员购,occasional_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000139,2026-07-11,淘宝/天猫,core_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000140,2026-06-12,官方商城,occasional_buyer,paid,delivered,738.0,0.0,0.0,738.0,True,20260903
ORD-0000141,2026-07-28,淘宝/天猫,core_buyer,paid,delivered,78.0,0.0,10.0,88.0,True,20260903
ORD-0000142,2026-06-16,B站会员购,occasional_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000143,2026-08-02,其他,occasional_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000144,2026-07-14,淘宝/天猫,occasional_buyer,paid,delivered,78.0,7.8,8.0,78.2,True,20260903
ORD-0000145,2026-07-02,B站会员购,occasional_buyer,paid,delivered,18.0,0.9,8.0,25.1,True,20260903
ORD-0000146,2026-07-14,B站会员购,core_buyer,paid,delivered,57.0,2.85,10.0,64.15,True,20260903
ORD-0000147,2026-08-08,官方商城,occasional_buyer,paid,delivered,18.0,0.0,0.0,18.0,True,20260903
ORD-0000148,2026-08-15,淘宝/天猫,occasional_buyer,paid,delivered,178.0,8.9,0.0,169.1,True,20260903
ORD-0000149,2026-06-17,官方商城,potential_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000150,2026-06-12,线下展会或快闪店,occasional_buyer,paid,delivered,99.0,9.9,8.0,97.1,True,20260903
ORD-0000151,2026-06-27,官方商城,potential_buyer,paid,delivered,699.0,69.9,0.0,629.1,True,20260903
ORD-0000152,2026-08-02,官方商城,occasional_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000153,2026-07-27,B站会员购,core_buyer,paid,delivered,756.0,0.0,0.0,756.0,True,20260903
ORD-0000154,2026-07-05,线下展会或快闪店,occasional_buyer,paid,delivered,96.0,0.0,12.0,108.0,True,20260903
ORD-0000155,2026-08-03,官方商城,occasional_buyer,paid,delivered,177.0,9.9,0.0,167.1,True,20260903
ORD-0000156,2026-08-19,线下展会或快闪店,core_buyer,paid,delivered,135.0,9.9,0.0,125.1,True,20260903
ORD-0000157,2026-07-25,淘宝/天猫,core_buyer,paid,delivered,99.0,14.85,8.0,92.15,True,20260903
ORD-0000158,2026-08-23,淘宝/天猫,core_buyer,paid,delivered,48.0,7.2,10.0,50.8,True,20260903
ORD-0000159,2026-07-28,直播间,core_buyer,paid,delivered,78.0,0.0,12.0,90.0,True,20260903
ORD-0000160,2026-08-12,淘宝/天猫,core_buyer,paid,delivered,788.0,13.35,0.0,774.65,True,20260903
ORD-0000161,2026-08-15,二手平台,potential_buyer,paid,delivered,39.0,3.9,8.0,43.1,True,20260903
ORD-0000162,2026-07-27,官方商城,core_buyer,paid,delivered,297.0,0.0,0.0,297.0,True,20260903
ORD-0000163,2026-08-28,官方商城,core_buyer,paid,delivered,1398.0,139.8,0.0,1258.2,True,20260903
ORD-0000164,2026-07-30,淘宝/天猫,occasional_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000165,2026-08-01,线下展会或快闪店,occasional_buyer,paid,delivered,48.0,2.4,10.0,55.6,True,20260903
ORD-0000166,2026-06-13,淘宝/天猫,potential_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000167,2026-06-24,线下展会或快闪店,occasional_buyer,paid,delivered,1437.0,3.9,0.0,1433.1,True,20260903
ORD-0000168,2026-08-23,B站会员购,occasional_buyer,paid,delivered,18.0,0.0,10.0,28.0,True,20260903
ORD-0000169,2026-07-02,淘宝/天猫,core_buyer,paid,delivered,89.0,4.45,0.0,84.55,True,20260903
ORD-0000170,2026-08-09,二手平台,occasional_buyer,paid,delivered,226.0,17.8,0.0,208.2,True,20260903
ORD-0000171,2026-06-23,淘宝/天猫,occasional_buyer,paid,delivered,178.0,0.0,0.0,178.0,True,20260903
ORD-0000172,2026-07-05,B站会员购,occasional_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000173,2026-07-20,淘宝/天猫,potential_buyer,paid,delivered,18.0,0.9,0.0,17.1,True,20260903
ORD-0000174,2026-07-28,B站会员购,potential_buyer,paid,delivered,39.0,0.0,10.0,49.0,True,20260903
ORD-0000175,2026-06-15,B站会员购,occasional_buyer,paid,delivered,96.0,12.0,8.0,92.0,True,20260903
ORD-0000176,2026-06-12,官方商城,occasional_buyer,paid,delivered,18.0,0.0,8.0,26.0,True,20260903
ORD-0000177,2026-08-23,官方商城,occasional_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000178,2026-06-06,淘宝/天猫,occasional_buyer,paid,delivered,89.0,8.9,8.0,88.1,True,20260903
ORD-0000179,2026-07-12,线下展会或快闪店,occasional_buyer,paid,delivered,747.0,37.35,0.0,709.65,True,20260903
ORD-0000180,2026-08-01,B站会员购,core_buyer,paid,delivered,699.0,0.0,0.0,699.0,True,20260903
ORD-0000181,2026-07-31,其他,occasional_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000182,2026-06-15,线下展会或快闪店,occasional_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000183,2026-07-08,淘宝/天猫,core_buyer,paid,delivered,1596.0,9.9,0.0,1586.1,True,20260903
ORD-0000184,2026-08-18,B站会员购,potential_buyer,paid,delivered,128.0,6.4,0.0,121.6,True,20260903
ORD-0000185,2026-06-29,淘宝/天猫,occasional_buyer,paid,delivered,89.0,4.45,0.0,84.55,True,20260903
ORD-0000186,2026-07-28,线下展会或快闪店,core_buyer,paid,delivered,128.0,6.4,0.0,121.6,True,20260903
ORD-0000187,2026-07-04,官方商城,occasional_buyer,paid,delivered,89.0,4.45,0.0,84.55,True,20260903
ORD-0000188,2026-06-13,线下展会或快闪店,occasional_buyer,paid,shipped,39.0,0.0,8.0,47.0,True,20260903
ORD-0000189,2026-06-11,官方商城,occasional_buyer,paid,delivered,96.0,4.8,10.0,101.2,True,20260903
ORD-0000190,2026-08-28,其他,core_buyer,paid,delivered,18.0,1.8,0.0,16.2,True,20260903
ORD-0000191,2026-07-20,B站会员购,core_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000192,2026-08-15,官方商城,occasional_buyer,paid,shipped,99.0,0.0,0.0,99.0,True,20260903
ORD-0000193,2026-06-14,淘宝/天猫,core_buyer,paid,delivered,887.0,44.85,0.0,842.15,True,20260903
ORD-0000194,2026-08-18,B站会员购,occasional_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000195,2026-08-25,淘宝/天猫,occasional_buyer,paid,delivered,89.0,4.45,8.0,92.55,True,20260903
ORD-0000196,2026-07-07,直播间,occasional_buyer,paid,pending,699.0,0.0,0.0,699.0,True,20260903
ORD-0000197,2026-06-16,B站会员购,occasional_buyer,paid,delivered,233.0,7.2,0.0,225.8,True,20260903
ORD-0000198,2026-07-21,淘宝/天猫,core_buyer,paid,delivered,89.0,8.9,12.0,92.1,True,20260903
ORD-0000199,2026-07-06,淘宝/天猫,potential_buyer,paid,delivered,39.0,1.95,0.0,37.05,True,20260903
ORD-0000200,2026-07-04,其他,core_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000201,2026-07-27,淘宝/天猫,core_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000202,2026-07-05,官方商城,core_buyer,paid,shipped,1398.0,0.0,0.0,1398.0,True,20260903
ORD-0000203,2026-08-13,B站会员购,core_buyer,paid,delivered,147.0,4.8,0.0,142.2,True,20260903
ORD-0000204,2026-08-20,线下展会或快闪店,core_buyer,paid,delivered,144.0,14.4,0.0,129.6,True,20260903
ORD-0000205,2026-07-06,淘宝/天猫,occasional_buyer,paid,delivered,89.0,0.0,0.0,89.0,True,20260903
ORD-0000206,2026-08-22,B站会员购,occasional_buyer,paid,delivered,176.0,8.8,0.0,167.2,True,20260903
ORD-0000207,2026-08-15,淘宝/天猫,core_buyer,paid,delivered,89.0,8.9,8.0,88.1,True,20260903
ORD-0000208,2026-07-06,淘宝/天猫,occasional_buyer,cancelled,cancelled,89.0,0.0,8.0,0.0,True,20260903
ORD-0000209,2026-07-16,淘宝/天猫,potential_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000210,2026-07-15,淘宝/天猫,occasional_buyer,paid,delivered,48.0,2.4,10.0,55.6,True,20260903
ORD-0000211,2026-07-15,直播间,occasional_buyer,paid,delivered,267.0,0.0,0.0,267.0,True,20260903
ORD-0000212,2026-07-17,其他,core_buyer,paid,delivered,699.0,69.9,0.0,629.1,True,20260903
ORD-0000213,2026-06-01,B站会员购,occasional_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000214,2026-07-19,淘宝/天猫,occasional_buyer,paid,delivered,18.0,0.0,8.0,26.0,True,20260903
ORD-0000215,2026-08-29,线下展会或快闪店,occasional_buyer,paid,shipped,18.0,0.9,0.0,17.1,True,20260903
ORD-0000216,2026-07-04,官方商城,potential_buyer,paid,delivered,48.0,4.8,10.0,53.2,True,20260903
ORD-0000217,2026-06-20,官方商城,occasional_buyer,paid,delivered,138.0,4.95,0.0,133.05,True,20260903
ORD-0000218,2026-06-28,淘宝/天猫,occasional_buyer,paid,delivered,89.0,8.9,8.0,88.1,True,20260903
ORD-0000219,2026-07-24,官方商城,occasional_buyer,paid,delivered,87.0,8.7,8.0,86.3,True,20260903
ORD-0000220,2026-06-21,淘宝/天猫,occasional_buyer,paid,delivered,78.0,0.0,10.0,88.0,True,20260903
ORD-0000221,2026-08-25,淘宝/天猫,occasional_buyer,paid,delivered,459.0,3.6,0.0,455.4,True,20260903
ORD-0000222,2026-06-21,官方商城,core_buyer,paid,delivered,39.0,3.9,0.0,35.1,True,20260903
ORD-0000223,2026-08-05,线下展会或快闪店,occasional_buyer,cancelled,cancelled,48.0,4.8,0.0,0.0,True,20260903
ORD-0000224,2026-07-18,淘宝/天猫,core_buyer,paid,delivered,78.0,3.9,0.0,74.1,True,20260903
ORD-0000225,2026-08-08,淘宝/天猫,occasional_buyer,paid,delivered,1398.0,0.0,0.0,1398.0,True,20260903
ORD-0000226,2026-07-25,官方商城,potential_buyer,paid,delivered,89.0,4.45,8.0,92.55,True,20260903
ORD-0000227,2026-08-09,官方商城,occasional_buyer,paid,delivered,89.0,0.0,10.0,99.0,True,20260903
ORD-0000228,2026-06-10,淘宝/天猫,core_buyer,paid,delivered,18.0,0.9,8.0,25.1,True,20260903
ORD-0000229,2026-07-22,淘宝/天猫,occasional_buyer,paid,delivered,57.0,1.95,8.0,63.05,True,20260903
ORD-0000230,2026-08-28,直播间,occasional_buyer,paid,delivered,699.0,0.0,0.0,699.0,True,20260903
ORD-0000231,2026-06-20,淘宝/天猫,occasional_buyer,paid,delivered,18.0,0.0,8.0,26.0,True,20260903
ORD-0000232,2026-06-20,B站会员购,core_buyer,paid,delivered,39.0,1.95,12.0,49.05,True,20260903
ORD-0000233,2026-06-11,B站会员购,core_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000234,2026-08-06,二手平台,occasional_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000235,2026-07-26,二手平台,occasional_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000236,2026-08-19,淘宝/天猫,core_buyer,paid,delivered,916.0,21.7,0.0,894.3,True,20260903
ORD-0000237,2026-06-21,其他,occasional_buyer,paid,delivered,147.0,4.95,0.0,142.05,True,20260903
