purchase_barrier,respondent_count,respondent_share
发货进度不透明｜预售时间太长｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
发货进度不透明｜预售时间太长｜售后或退换不方便,1,0.00411522633744856
发货进度不透明｜预售时间太长｜价格比预期高,1,0.00411522633744856
发货进度不透明｜设计不太喜欢｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
发货进度不透明｜设计不太喜欢｜售后或退换不方便,1,0.00411522633744856
发货进度不透明｜设计不太喜欢｜价格比预期高,1,0.00411522633744856
发货进度不透明｜材质、尺寸或实物效果说不清楚｜售后或退换不方便,1,0.00411522633744856
发货进度不透明｜材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
已经有很多同类周边｜预售时间太长｜设计不太喜欢,1,0.00411522633744856
担心不是正版｜不确定买回来怎么摆或怎么用｜售后或退换不方便,1,0.00411522633744856
已经有很多同类周边｜预售时间太长｜运费太高,1,0.00411522633744856
已经有很多同类周边｜售后或退换不方便｜设计不太喜欢,1,0.00411522633744856
已经有很多同类周边｜售后或退换不方便｜发货进度不透明,1,0.00411522633744856
已经有很多同类周边｜设计不太喜欢｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
已经有很多同类周边｜不确定买回来怎么摆或怎么用｜预售时间太长,1,0.00411522633744856
已经有很多同类周边｜价格比预期高｜预售时间太长,1,0.00411522633744856
已经有很多同类周边｜发货进度不透明｜担心不是正版,1,0.00411522633744856
已经有很多同类周边｜价格比预期高｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
已经有很多同类周边｜价格比预期高,1,0.00411522633744856
担心不是正版｜设计不太喜欢｜发货进度不透明,1,0.00411522633744856
担心不是正版｜设计不太喜欢,1,0.00411522633744856
担心不是正版｜材质、尺寸或实物效果说不清楚｜设计不太喜欢,1,0.00411522633744856
担心不是正版｜材质、尺寸或实物效果说不清楚｜已经有很多同类周边,1,0.00411522633744856
担心不是正版｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
担心不是正版｜预售时间太长｜价格比预期高,1,0.00411522633744856
担心不是正版｜预售时间太长,1,0.00411522633744856
担心不是正版｜运费太高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用｜已经有很多同类周边,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜价格比预期高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜价格比预期高｜担心不是正版,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜发货进度不透明,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜发货进度不透明｜价格比预期高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用｜售后或退换不方便,1,0.00411522633744856
担心不是正版｜运费太高｜预售时间太长,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜售后或退换不方便｜价格比预期高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜售后或退换不方便｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜发货进度不透明｜运费太高,1,0.00411522633744856
担心不是正版｜不确定买回来怎么摆或怎么用｜价格比预期高,1,0.00411522633744856
担心不是正版｜价格比预期高｜发货进度不透明,1,0.00411522633744856
担心不是正版｜价格比预期高｜设计不太喜欢,1,0.00411522633744856
担心不是正版｜发货进度不透明,1,0.00411522633744856
担心不是正版｜价格比预期高,1,0.00411522633744856
担心不是正版｜发货进度不透明｜设计不太喜欢,1,0.00411522633744856
担心不是正版｜发货进度不透明｜运费太高,1,0.00411522633744856
担心不是正版｜材质、尺寸或实物效果说不清楚｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
已经有很多同类周边｜运费太高｜担心不是正版,1,0.00411522633744856
已经有很多同类周边｜预售时间太长,1,0.00411522633744856
已经有很多同类周边｜预售时间太长｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
已经有很多同类周边｜预售时间太长｜售后或退换不方便,1,0.00411522633744856
已经有很多同类周边｜价格比预期高｜担心不是正版,1,0.00411522633744856
设计不太喜欢｜不确定买回来怎么摆或怎么用｜售后或退换不方便,1,0.00411522633744856
设计不太喜欢｜不确定买回来怎么摆或怎么用｜价格比预期高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜运费太高｜售后或退换不方便,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜运费太高｜已经有很多同类周边,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜运费太高｜价格比预期高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜设计不太喜欢｜价格比预期高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜设计不太喜欢｜售后或退换不方便,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜设计不太喜欢｜运费太高,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜担心不是正版｜预售时间太长,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜担心不是正版,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜已经有很多同类周边｜预售时间太长,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜设计不太喜欢｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
材质、尺寸或实物效果说不清楚｜已经有很多同类周边,1,0.00411522633744856
设计不太喜欢｜发货进度不透明,1,0.00411522633744856
设计不太喜欢｜发货进度不透明｜担心不是正版,1,0.00411522633744856
设计不太喜欢｜价格比预期高｜运费太高,1,0.00411522633744856
设计不太喜欢｜担心不是正版｜预售时间太长,1,0.00411522633744856
设计不太喜欢｜担心不是正版｜发货进度不透明,1,0.00411522633744856
设计不太喜欢｜担心不是正版｜价格比预期高,1,0.00411522633744856
设计不太喜欢｜材质、尺寸或实物效果说不清楚｜发货进度不透明,1,0.00411522633744856
设计不太喜欢｜运费太高｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
运费太高,1,0.00411522633744856
运费太高｜不确定买回来怎么摆或怎么用｜价格比预期高,1,0.00411522633744856
设计不太喜欢｜材质、尺寸或实物效果说不清楚｜预售时间太长,1,0.00411522633744856
运费太高｜不确定买回来怎么摆或怎么用｜售后或退换不方便,1,0.00411522633744856
运费太高｜价格比预期高｜发货进度不透明,1,0.00411522633744856
设计不太喜欢｜已经有很多同类周边｜价格比预期高,1,0.00411522633744856
设计不太喜欢｜售后或退换不方便｜发货进度不透明,1,0.00411522633744856
设计不太喜欢｜已经有很多同类周边｜运费太高,1,0.00411522633744856
设计不太喜欢｜价格比预期高｜预售时间太长,1,0.00411522633744856
设计不太喜欢｜价格比预期高｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
设计不太喜欢｜价格比预期高｜发货进度不透明,1,0.00411522633744856
运费太高｜已经有很多同类周边｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
运费太高｜售后或退换不方便,1,0.00411522633744856
运费太高｜发货进度不透明｜设计不太喜欢,1,0.00411522633744856
运费太高｜发货进度不透明,1,0.00411522633744856
运费太高｜价格比预期高｜售后或退换不方便,1,0.00411522633744856
运费太高｜价格比预期高｜担心不是正版,1,0.00411522633744856
运费太高｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
运费太高｜担心不是正版,1,0.00411522633744856
运费太高｜设计不太喜欢,1,0.00411522633744856
运费太高｜材质、尺寸或实物效果说不清楚｜已经有很多同类周边,1,0.00411522633744856
运费太高｜设计不太喜欢｜售后或退换不方便,1,0.00411522633744856
运费太高｜设计不太喜欢｜发货进度不透明,1,0.00411522633744856
运费太高｜预售时间太长,1,0.00411522633744856
运费太高｜预售时间太长｜价格比预期高,1,0.00411522633744856
运费太高｜预售时间太长｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
运费太高｜已经有很多同类周边｜设计不太喜欢,1,0.00411522633744856
预售时间太长｜不确定买回来怎么摆或怎么用｜价格比预期高,1,0.00411522633744856
预售时间太长｜不确定买回来怎么摆或怎么用｜发货进度不透明,1,0.00411522633744856
预售时间太长｜价格比预期高,1,0.00411522633744856
预售时间太长｜不确定买回来怎么摆或怎么用｜运费太高,1,0.00411522633744856
预售时间太长｜价格比预期高｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
预售时间太长｜发货进度不透明｜不确定买回来怎么摆或怎么用,1,0.00411522633744856
预售时间太长｜售后或退换不方便｜担心不是正版,1,0.00411522633744856
预售时间太长｜价格比预期高｜已经有很多同类周边,1,0.00411522633744856
预售时间太长｜已经有很多同类周边,1,0.00411522633744856
预售时间太长｜已经有很多同类周边｜价格比预期高,1,0.00411522633744856
预售时间太长｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
预售时间太长｜担心不是正版｜设计不太喜欢,1,0.00411522633744856
预售时间太长｜材质、尺寸或实物效果说不清楚｜设计不太喜欢,1,0.00411522633744856
预售时间太长｜设计不太喜欢｜材质、尺寸或实物效果说不清楚,1,0.00411522633744856
预售时间太长｜设计不太喜欢｜运费太高,1,0.00411522633744856
预售时间太长｜运费太高｜价格比预期高,1,0.00411522633744856
