operator,category,respondent_count,purchase_intent_mean,high_intent_share,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,prior_buyer_share,limited_preference_mean,monthly_budget_median,survey_evidence_grade,research_note,demand_score,demand_rank,demand_tier,evidence_confidence,intent_signal,portfolio_score,portfolio_action
塞雷娅,装饰摆件,1,4.0,1.0,150.0,150.0,150.0,1.0,4.0,750.0,D,样本不足，不进入决策,75.28,6,核心商业角色,62.75,81.875,54.28,样本不足，仅作定向访谈候选
塞雷娅,通行证,1,4.0,1.0,100.0,100.0,100.0,0.0,4.0,400.0,D,样本不足，不进入决策,75.28,6,核心商业角色,62.75,81.875,54.28,样本不足，仅作定向访谈候选
玛恩纳,手办模玩,1,5.0,1.0,1000.0,1000.0,1000.0,1.0,3.0,400.0,D,样本不足，不进入决策,69.05,12,增长验证角色,78.5,88.875,54.09,样本不足，仅作定向访谈候选
玛恩纳,毛绒玩偶,1,5.0,1.0,300.0,300.0,300.0,1.0,4.0,750.0,D,样本不足，不进入决策,69.05,12,增长验证角色,78.5,88.875,54.09,样本不足，仅作定向访谈候选
逻各斯,日用生活,2,4.0,1.0,225.0,187.5,262.5,0.5,4.5,125.0,D,样本不足，不进入决策,65.22,16,增长验证角色,80.0,81.875,53.63,样本不足，仅作定向访谈候选
令,日用生活,2,4.5,1.0,400.0,350.0,450.0,0.5,4.0,225.0,D,样本不足，不进入决策,61.14,21,增长验证角色,54.5,86.75,53.59,样本不足，仅作定向访谈候选
浊心斯卡蒂,亚克力制品,5,3.4,0.4,80.0,80.0,100.0,0.4,4.2,400.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,48.64285714285714,53.09,暂缓开发
浊心斯卡蒂,吧唧（徽章）,1,4.0,1.0,50.0,50.0,50.0,0.0,1.0,200.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,81.875,52.77,样本不足，仅作定向访谈候选
浊心斯卡蒂,日用生活,1,4.0,1.0,200.0,200.0,200.0,1.0,4.0,400.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,81.875,52.77,样本不足，仅作定向访谈候选
浊心斯卡蒂,通行证,1,4.0,1.0,50.0,50.0,50.0,0.0,3.0,200.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,81.875,52.77,样本不足，仅作定向访谈候选
逻各斯,手办模玩,4,3.25,0.75,800.0,725.0,850.0,0.75,3.5,200.0,D,样本不足，不进入决策,65.22,16,增长验证角色,80.0,61.57142857142857,52.45,样本不足，仅作定向访谈候选
令,手办模玩,2,4.0,1.0,650.0,575.0,725.0,0.5,4.5,475.0,D,样本不足，不进入决策,61.14,21,增长验证角色,54.5,81.875,51.97,样本不足，仅作定向访谈候选
德克萨斯,毛绒玩偶,2,4.0,1.0,175.0,162.5,187.5,1.0,3.5,400.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,81.875,51.56,样本不足，仅作定向访谈候选
德克萨斯,装饰摆件,2,4.0,1.0,175.0,162.5,187.5,0.5,3.5,625.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,81.875,51.56,样本不足，仅作定向访谈候选
W,亚克力制品,1,5.0,1.0,120.0,120.0,120.0,1.0,5.0,0.0,D,样本不足，不进入决策,60.39,23,小批量测试角色,70.0,88.875,50.79,样本不足，仅作定向访谈候选
W,装饰摆件,3,4.0,0.6666666666666666,200.0,175.0,200.0,0.0,3.6666666666666665,200.0,D,样本不足，不进入决策,60.39,23,小批量测试角色,70.0,69.57142857142857,50.41,样本不足，仅作定向访谈候选
阿米娅,亚克力制品,2,3.5,0.5,125.0,112.5,137.5,0.5,3.0,225.0,D,样本不足，不进入决策,76.1,5,核心商业角色,71.0,56.19642857142857,49.52,样本不足，仅作定向访谈候选
阿米娅,装饰摆件,2,3.5,0.5,200.0,150.0,250.0,1.0,4.5,400.0,D,样本不足，不进入决策,76.1,5,核心商业角色,71.0,56.19642857142857,49.52,样本不足，仅作定向访谈候选
德克萨斯,日用生活,1,4.0,1.0,300.0,300.0,300.0,0.0,5.0,1200.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,81.875,48.5,样本不足，仅作定向访谈候选
幽灵鲨,毛绒玩偶,4,4.0,0.75,200.0,175.0,225.0,1.0,4.75,50.0,D,样本不足，不进入决策,48.16,33,小批量测试角色,53.0,71.19642857142857,48.28,样本不足，仅作定向访谈候选
能天使,吧唧（徽章）,2,3.5,0.5,35.0,32.5,37.5,0.0,3.5,200.0,D,样本不足，不进入决策,70.26,11,增长验证角色,68.0,56.19642857142857,47.15,样本不足，仅作定向访谈候选
能天使,毛绒玩偶,2,3.5,0.5,175.0,162.5,187.5,0.0,4.0,125.0,D,样本不足，不进入决策,70.26,11,增长验证角色,68.0,56.19642857142857,47.15,样本不足，仅作定向访谈候选
阿米娅,通行证,2,3.0,0.5,65.0,57.5,72.5,0.0,4.5,50.0,D,样本不足，不进入决策,76.1,5,核心商业角色,71.0,47.94642857142857,46.78,样本不足，仅作定向访谈候选
令,亚克力制品,2,4.0,0.5,80.0,70.0,90.0,0.5,2.5,125.0,D,样本不足，不进入决策,61.14,21,增长验证角色,54.5,63.07142857142857,45.73,样本不足，仅作定向访谈候选
德克萨斯,吧唧（徽章）,2,4.0,0.5,35.0,32.5,37.5,0.5,4.5,50.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,63.07142857142857,45.32,样本不足，仅作定向访谈候选
温蒂,亚克力制品,1,5.0,1.0,100.0,100.0,100.0,0.0,4.0,400.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,88.875,44.85,样本不足，仅作定向访谈候选
浊心斯卡蒂,装饰摆件,2,3.0,0.5,200.0,150.0,250.0,0.5,4.5,400.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,47.94642857142857,44.84,样本不足，仅作定向访谈候选
玛恩纳,吧唧（徽章）,2,3.0,0.5,45.0,42.5,47.5,0.0,2.5,700.0,D,样本不足，不进入决策,69.05,12,增长验证角色,78.5,47.94642857142857,43.92,样本不足，仅作定向访谈候选
幽灵鲨,手办模玩,3,3.6666666666666665,0.6666666666666666,1000.0,900.0,1500.0,0.6666666666666666,3.6666666666666665,200.0,D,样本不足，不进入决策,48.16,33,小批量测试角色,53.0,64.44642857142857,43.35,样本不足，仅作定向访谈候选
史尔特尔,亚克力制品,4,2.75,0.25,80.0,80.0,97.5,0.5,4.25,200.0,D,样本不足，不进入决策,68.54,13,增长验证角色,57.5,32.80357142857143,43.28,样本不足，仅作定向访谈候选
维什戴尔,装饰摆件,1,3.0,0.0,150.0,150.0,150.0,0.0,3.0,0.0,D,样本不足，不进入决策,92.5,2,核心商业角色,80.0,24.732142857142854,43.02,样本不足，仅作定向访谈候选
黍,毛绒玩偶,1,5.0,1.0,250.0,250.0,250.0,1.0,1.0,50.0,D,样本不足，不进入决策,39.63,43,低成本观察角色,58.83,88.875,42.87,样本不足，仅作定向访谈候选
黍,通行证,1,5.0,1.0,80.0,80.0,80.0,1.0,4.0,400.0,D,样本不足，不进入决策,39.63,43,低成本观察角色,58.83,88.875,42.87,样本不足，仅作定向访谈候选
温蒂,日用生活,1,4.0,1.0,100.0,100.0,100.0,0.0,4.0,200.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,81.875,42.66,样本不足，仅作定向访谈候选
温蒂,装饰摆件,1,4.0,1.0,400.0,400.0,400.0,0.0,4.0,50.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,81.875,42.66,样本不足，仅作定向访谈候选
令,装饰摆件,3,3.333333333333333,0.3333333333333333,200.0,175.0,250.0,0.3333333333333333,4.0,225.0,D,样本不足，不进入决策,61.14,21,增长验证角色,54.5,46.517857142857146,42.63,样本不足，仅作定向访谈候选
斯卡蒂,亚克力制品,1,4.0,1.0,120.0,120.0,120.0,1.0,3.0,1200.0,D,样本不足，不进入决策,44.32,36,小批量测试角色,54.5,81.875,42.47,样本不足，仅作定向访谈候选
斯卡蒂,装饰摆件,1,4.0,1.0,150.0,150.0,150.0,1.0,5.0,200.0,D,样本不足，不进入决策,44.32,36,小批量测试角色,54.5,81.875,42.47,样本不足，仅作定向访谈候选
斯卡蒂,通行证,1,4.0,1.0,80.0,80.0,80.0,1.0,5.0,,D,样本不足，不进入决策,44.32,36,小批量测试角色,54.5,81.875,42.47,样本不足，仅作定向访谈候选
史尔特尔,手办模玩,3,2.6666666666666665,0.3333333333333333,800.0,800.0,1150.0,1.0,3.0,50.0,D,样本不足，不进入决策,68.54,13,增长验证角色,57.5,34.392857142857146,41.54,样本不足，仅作定向访谈候选
缪尔赛思,手办模玩,1,4.0,1.0,1000.0,1000.0,1000.0,0.0,4.0,,D,样本不足，不进入决策,40.72,41,低成本观察角色,61.83,81.875,41.1,样本不足，仅作定向访谈候选
令,吧唧（徽章）,3,3.0,0.3333333333333333,50.0,40.0,50.0,0.0,4.0,200.0,D,样本不足，不进入决策,61.14,21,增长验证角色,54.5,40.517857142857146,40.52,样本不足，仅作定向访谈候选
德克萨斯,通行证,2,3.0,0.5,65.0,57.5,72.5,0.5,3.5,400.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,47.94642857142857,40.3,样本不足，仅作定向访谈候选
诗怀雅,毛绒玩偶,2,4.0,1.0,200.0,175.0,225.0,1.0,4.0,800.0,D,样本不足，不进入决策,29.52,50,低成本观察角色,50.75,81.875,39.15,样本不足，仅作定向访谈候选
煌,吧唧（徽章）,1,5.0,1.0,40.0,40.0,40.0,1.0,4.0,,D,样本不足，不进入决策,28.9,51,低成本观察角色,48.5,88.875,38.77,样本不足，仅作定向访谈候选
银灰,日用生活,3,3.6666666666666665,0.3333333333333333,150.0,125.0,175.0,0.3333333333333333,4.333333333333333,400.0,D,样本不足，不进入决策,47.11,34,小批量测试角色,69.5,50.517857142857146,38.0,样本不足，仅作定向访谈候选
幽灵鲨,装饰摆件,5,3.0,0.2,100.0,100.0,100.0,0.6,4.0,50.0,D,样本不足，不进入决策,48.16,33,小批量测试角色,53.0,37.964285714285715,37.85,暂缓开发
拉普兰德,装饰摆件,2,4.0,0.5,350.0,325.0,375.0,0.5,4.0,125.0,D,样本不足，不进入决策,41.65,39,小批量测试角色,57.5,63.07142857142857,37.83,样本不足，仅作定向访谈候选
铃兰,日用生活,1,4.0,1.0,100.0,100.0,100.0,0.0,5.0,50.0,D,样本不足，不进入决策,31.34,49,低成本观察角色,55.25,81.875,37.52,样本不足，仅作定向访谈候选
德克萨斯,亚克力制品,6,2.1666666666666665,0.0,100.0,85.0,100.0,0.1666666666666666,3.5,400.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,16.982142857142858,37.15,暂缓开发
诗怀雅,吧唧（徽章）,1,4.0,1.0,50.0,50.0,50.0,1.0,4.0,200.0,D,样本不足，不进入决策,29.52,50,低成本观察角色,50.75,81.875,36.82,样本不足，仅作定向访谈候选
阿米娅,毛绒玩偶,1,3.0,0.0,300.0,300.0,300.0,0.0,4.0,0.0,D,样本不足，不进入决策,76.1,5,核心商业角色,71.0,24.732142857142854,36.76,样本不足，仅作定向访谈候选
阿米娅,手办模玩,2,2.5,0.0,1150.0,975.0,1325.0,0.5,3.5,50.0,D,样本不足，不进入决策,76.1,5,核心商业角色,71.0,17.732142857142858,36.75,样本不足，仅作定向访谈候选
斯卡蒂,吧唧（徽章）,2,3.5,0.5,50.0,45.0,55.0,1.0,4.5,200.0,D,样本不足，不进入决策,44.32,36,小批量测试角色,54.5,56.19642857142857,36.63,样本不足，仅作定向访谈候选
斯卡蒂,手办模玩,2,3.5,0.5,750.0,625.0,875.0,1.0,3.5,800.0,D,样本不足，不进入决策,44.32,36,小批量测试角色,54.5,56.19642857142857,36.63,样本不足，仅作定向访谈候选
煌,毛绒玩偶,1,4.0,1.0,150.0,150.0,150.0,0.0,4.0,750.0,D,样本不足，不进入决策,28.9,51,低成本观察角色,48.5,81.875,36.59,样本不足，仅作定向访谈候选
塞雷娅,亚克力制品,1,3.0,0.0,120.0,120.0,120.0,0.0,3.0,50.0,D,样本不足，不进入决策,75.28,6,核心商业角色,62.75,24.732142857142854,36.45,样本不足，仅作定向访谈候选
塞雷娅,日用生活,2,2.5,0.0,300.0,300.0,300.0,0.0,2.0,400.0,D,样本不足，不进入决策,75.28,6,核心商业角色,62.75,17.732142857142858,36.42,样本不足，仅作定向访谈候选
缪尔赛思,吧唧（徽章）,2,3.5,0.5,50.0,45.0,55.0,0.0,4.0,575.0,D,样本不足，不进入决策,40.72,41,低成本观察角色,61.83,56.19642857142857,35.17,样本不足，仅作定向访谈候选
浊心斯卡蒂,毛绒玩偶,1,3.0,0.0,150.0,150.0,150.0,0.0,4.0,50.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,24.732142857142854,34.93,样本不足，仅作定向访谈候选
棘刺,吧唧（徽章）,2,3.0,0.0,45.0,42.5,47.5,0.5,4.0,575.0,D,样本不足，不进入决策,65.49,15,增长验证角色,71.75,24.732142857142854,34.77,样本不足，仅作定向访谈候选
陈,亚克力制品,1,5.0,1.0,150.0,150.0,150.0,1.0,4.0,200.0,D,样本不足，不进入决策,18.08,58,低成本观察角色,46.25,88.875,34.64,样本不足，仅作定向访谈候选
陈,毛绒玩偶,1,5.0,1.0,300.0,300.0,300.0,1.0,4.0,400.0,D,样本不足，不进入决策,18.08,58,低成本观察角色,46.25,88.875,34.64,样本不足，仅作定向访谈候选
能天使,通行证,1,3.0,0.0,50.0,50.0,50.0,0.0,4.0,50.0,D,样本不足，不进入决策,70.26,11,增长验证角色,68.0,24.732142857142854,34.53,样本不足，仅作定向访谈候选
夕,毛绒玩偶,1,4.0,1.0,250.0,250.0,250.0,0.0,3.0,50.0,D,样本不足，不进入决策,23.38,55,低成本观察角色,46.25,81.875,34.48,样本不足，仅作定向访谈候选
拉普兰德,通行证,3,3.333333333333333,0.3333333333333333,50.0,50.0,65.0,0.3333333333333333,4.333333333333333,50.0,D,样本不足，不进入决策,41.65,39,小批量测试角色,57.5,46.517857142857146,34.25,样本不足，仅作定向访谈候选
伊芙利特,通行证,1,4.0,1.0,80.0,80.0,80.0,0.0,4.0,50.0,D,样本不足，不进入决策,22.62,56,低成本观察角色,51.5,81.875,34.19,样本不足，仅作定向访谈候选
温蒂,通行证,2,3.0,0.5,80.0,70.0,90.0,0.5,3.5,375.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,47.94642857142857,34.09,样本不足，仅作定向访谈候选
玛恩纳,装饰摆件,1,3.0,0.0,100.0,100.0,100.0,0.0,3.0,50.0,D,样本不足，不进入决策,69.05,12,增长验证角色,78.5,24.732142857142854,34.07,样本不足，仅作定向访谈候选
史尔特尔,毛绒玩偶,1,3.0,0.0,300.0,300.0,300.0,1.0,4.0,200.0,D,样本不足，不进入决策,68.54,13,增长验证角色,57.5,24.732142857142854,33.87,样本不足，仅作定向访谈候选
史尔特尔,装饰摆件,1,3.0,0.0,300.0,300.0,300.0,0.0,3.0,50.0,D,样本不足，不进入决策,68.54,13,增长验证角色,57.5,24.732142857142854,33.87,样本不足，仅作定向访谈候选
能天使,亚克力制品,2,2.0,0.0,60.0,60.0,60.0,0.5,3.5,50.0,D,样本不足，不进入决策,70.26,11,增长验证角色,68.0,15.482142857142858,33.64,样本不足，仅作定向访谈候选
能天使,装饰摆件,2,2.0,0.0,125.0,112.5,137.5,0.0,3.5,200.0,D,样本不足，不进入决策,70.26,11,增长验证角色,68.0,15.482142857142858,33.64,样本不足，仅作定向访谈候选
夜莺,亚克力制品,1,5.0,1.0,100.0,100.0,100.0,1.0,4.0,200.0,D,样本不足，不进入决策,14.76,60,低成本观察角色,47.75,88.875,33.38,样本不足，仅作定向访谈候选
夜莺,吧唧（徽章）,1,5.0,1.0,50.0,50.0,50.0,1.0,4.0,400.0,D,样本不足，不进入决策,14.76,60,低成本观察角色,47.75,88.875,33.38,样本不足，仅作定向访谈候选
阿米娅,吧唧（徽章）,1,1.0,0.0,60.0,60.0,60.0,0.0,3.0,200.0,D,样本不足，不进入决策,76.1,5,核心商业角色,71.0,13.732142857142858,33.32,样本不足，仅作定向访谈候选
玛恩纳,亚克力制品,2,2.0,0.0,90.0,75.0,105.0,0.0,3.5,225.0,D,样本不足，不进入决策,69.05,12,增长验证角色,78.5,15.482142857142858,33.15,样本不足，仅作定向访谈候选
诗怀雅,手办模玩,2,4.0,0.5,1400.0,1100.0,1700.0,0.5,4.0,200.0,D,样本不足，不进入决策,29.52,50,低成本观察角色,50.75,63.07142857142857,32.91,样本不足，仅作定向访谈候选
霍尔海雅,亚克力制品,1,4.0,1.0,60.0,60.0,60.0,0.0,5.0,400.0,D,样本不足，不进入决策,18.74,57,低成本观察角色,45.5,81.875,32.71,样本不足，仅作定向访谈候选
霍尔海雅,通行证,1,4.0,1.0,80.0,80.0,80.0,1.0,4.0,200.0,D,样本不足，不进入决策,18.74,57,低成本观察角色,45.5,81.875,32.71,样本不足，仅作定向访谈候选
棘刺,手办模玩,1,3.0,0.0,1500.0,1500.0,1500.0,0.0,3.0,50.0,D,样本不足，不进入决策,65.49,15,增长验证角色,71.75,24.732142857142854,32.71,样本不足，仅作定向访谈候选
棘刺,日用生活,1,3.0,0.0,100.0,100.0,100.0,1.0,5.0,50.0,D,样本不足，不进入决策,65.49,15,增长验证角色,71.75,24.732142857142854,32.71,样本不足，仅作定向访谈候选
煌,日用生活,2,4.0,0.5,500.0,500.0,500.0,1.0,4.5,800.0,D,样本不足，不进入决策,28.9,51,低成本观察角色,48.5,63.07142857142857,32.65,样本不足，仅作定向访谈候选
陈,手办模玩,1,4.0,1.0,800.0,800.0,800.0,1.0,3.0,0.0,D,样本不足，不进入决策,18.08,58,低成本观察角色,46.25,81.875,32.46,样本不足，仅作定向访谈候选
陈,日用生活,1,4.0,1.0,300.0,300.0,300.0,1.0,3.0,1200.0,D,样本不足，不进入决策,18.08,58,低成本观察角色,46.25,81.875,32.46,样本不足，仅作定向访谈候选
凯尔希,毛绒玩偶,1,3.0,0.0,200.0,200.0,200.0,1.0,4.0,50.0,D,样本不足，不进入决策,64.46,18,增长验证角色,80.0,24.732142857142854,32.32,样本不足，仅作定向访谈候选
凯尔希,通行证,1,3.0,0.0,80.0,80.0,80.0,0.0,1.0,0.0,D,样本不足，不进入决策,64.46,18,增长验证角色,80.0,24.732142857142854,32.32,样本不足，仅作定向访谈候选
浊心斯卡蒂,手办模玩,1,2.0,0.0,2000.0,2000.0,2000.0,0.0,5.0,200.0,D,样本不足，不进入决策,71.32,10,增长验证角色,57.5,15.482142857142858,32.05,样本不足，仅作定向访谈候选
泥岩,装饰摆件,2,3.0,0.0,150.0,125.0,175.0,0.5,4.0,125.0,D,样本不足，不进入决策,58.67,27,小批量测试角色,74.0,24.732142857142854,32.01,样本不足，仅作定向访谈候选
锏,装饰摆件,2,3.5,0.5,150.0,125.0,175.0,0.5,2.5,300.0,D,样本不足，不进入决策,32.81,47,低成本观察角色,46.25,56.19642857142857,31.96,样本不足，仅作定向访谈候选
温蒂,毛绒玩偶,2,2.5,0.5,325.0,287.5,362.5,0.0,4.0,225.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,40.94642857142857,31.77,样本不足，仅作定向访谈候选
能天使,日用生活,1,2.0,0.0,300.0,300.0,300.0,0.0,5.0,0.0,D,样本不足，不进入决策,70.26,11,增长验证角色,68.0,15.482142857142858,31.64,样本不足，仅作定向访谈候选
玛恩纳,日用生活,1,1.0,0.0,200.0,200.0,200.0,0.0,3.0,50.0,D,样本不足，不进入决策,69.05,12,增长验证角色,78.5,13.732142857142858,30.63,样本不足，仅作定向访谈候选
锏,手办模玩,3,3.333333333333333,0.3333333333333333,1500.0,1500.0,1750.0,1.0,3.6666666666666665,200.0,D,样本不足，不进入决策,32.81,47,低成本观察角色,46.25,46.517857142857146,30.45,样本不足，仅作定向访谈候选
夕,吧唧（徽章）,2,4.0,0.5,45.0,42.5,47.5,0.5,4.5,750.0,D,样本不足，不进入决策,23.38,55,低成本观察角色,46.25,63.07142857142857,30.42,样本不足，仅作定向访谈候选
W,毛绒玩偶,2,2.5,0.0,200.0,175.0,225.0,0.5,2.5,50.0,D,样本不足，不进入决策,60.39,23,小批量测试角色,70.0,17.732142857142858,30.38,样本不足，仅作定向访谈候选
煌,通行证,2,3.5,0.5,55.0,52.5,57.5,0.0,4.5,125.0,D,样本不足，不进入决策,28.9,51,低成本观察角色,48.5,56.19642857142857,30.37,样本不足，仅作定向访谈候选
德克萨斯,手办模玩,2,2.5,0.0,800.0,800.0,800.0,0.0,4.5,700.0,D,样本不足，不进入决策,60.13,25,小批量测试角色,57.5,17.732142857142858,30.28,样本不足，仅作定向访谈候选
泥岩,手办模玩,1,3.0,0.0,800.0,800.0,800.0,0.0,4.0,,D,样本不足，不进入决策,58.67,27,小批量测试角色,74.0,24.732142857142854,30.11,样本不足，仅作定向访谈候选
泥岩,日用生活,1,3.0,0.0,150.0,150.0,150.0,1.0,1.0,200.0,D,样本不足，不进入决策,58.67,27,小批量测试角色,74.0,24.732142857142854,30.11,样本不足，仅作定向访谈候选
棘刺,装饰摆件,1,2.0,0.0,100.0,100.0,100.0,0.0,4.0,50.0,D,样本不足，不进入决策,65.49,15,增长验证角色,71.75,15.482142857142858,29.82,样本不足，仅作定向访谈候选
凯尔希,亚克力制品,1,2.0,0.0,60.0,60.0,60.0,0.0,3.0,200.0,D,样本不足，不进入决策,64.46,18,增长验证角色,80.0,15.482142857142858,29.43,样本不足，仅作定向访谈候选
凯尔希,装饰摆件,1,1.0,0.0,150.0,150.0,150.0,0.0,4.0,50.0,D,样本不足，不进入决策,64.46,18,增长验证角色,80.0,13.732142857142858,28.88,样本不足，仅作定向访谈候选
W,通行证,1,2.0,0.0,60.0,60.0,60.0,0.0,4.0,200.0,D,样本不足，不进入决策,60.39,23,小批量测试角色,70.0,15.482142857142858,27.88,样本不足，仅作定向访谈候选
泥岩,亚克力制品,1,2.0,0.0,60.0,60.0,60.0,0.0,5.0,50.0,D,样本不足，不进入决策,58.67,27,小批量测试角色,74.0,15.482142857142858,27.22,样本不足，仅作定向访谈候选
温蒂,手办模玩,2,3.0,0.0,750.0,625.0,875.0,0.0,5.0,575.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,24.732142857142854,26.39,样本不足，仅作定向访谈候选
年,亚克力制品,3,3.0,0.6666666666666666,80.0,80.0,100.0,0.3333333333333333,4.333333333333333,0.0,D,样本不足，不进入决策,16.28,59,低成本观察角色,40.25,54.44642857142857,26.14,样本不足，仅作定向访谈候选
幽灵鲨,吧唧（徽章）,1,3.0,0.0,60.0,60.0,60.0,0.0,5.0,400.0,D,样本不足，不进入决策,48.16,33,小批量测试角色,53.0,24.732142857142854,26.1,样本不足，仅作定向访谈候选
银灰,手办模玩,1,3.0,0.0,1000.0,1000.0,1000.0,0.0,3.0,0.0,D,样本不足，不进入决策,47.11,34,小批量测试角色,69.5,24.732142857142854,25.7,样本不足，仅作定向访谈候选
斯卡蒂,毛绒玩偶,3,2.6666666666666665,0.0,200.0,175.0,225.0,1.0,3.0,200.0,D,样本不足，不进入决策,44.32,36,小批量测试角色,54.5,18.607142857142858,25.59,样本不足，仅作定向访谈候选
缪尔赛思,装饰摆件,4,2.75,0.0,225.0,137.5,325.0,0.5,3.0,200.0,D,样本不足，不进入决策,40.72,41,低成本观察角色,61.83,19.107142857142858,25.57,样本不足，仅作定向访谈候选
年,吧唧（徽章）,2,3.5,0.5,65.0,57.5,72.5,0.5,4.5,300.0,D,样本不足，不进入决策,16.28,59,低成本观察角色,40.25,56.19642857142857,25.25,样本不足，仅作定向访谈候选
温蒂,吧唧（徽章）,1,3.0,0.0,30.0,30.0,30.0,0.0,1.0,400.0,D,样本不足，不进入决策,44.82,35,小批量测试角色,60.5,24.732142857142854,24.82,样本不足，仅作定向访谈候选
拉普兰德,日用生活,1,3.0,0.0,200.0,200.0,200.0,1.0,4.0,400.0,D,样本不足，不进入决策,41.65,39,小批量测试角色,57.5,24.732142857142854,23.61,样本不足，仅作定向访谈候选
黍,装饰摆件,1,3.0,0.0,400.0,400.0,400.0,1.0,5.0,400.0,D,样本不足，不进入决策,39.63,43,低成本观察角色,58.83,24.732142857142854,22.84,样本不足，仅作定向访谈候选
铃兰,亚克力制品,1,3.0,0.0,80.0,80.0,80.0,1.0,4.0,200.0,D,样本不足，不进入决策,31.34,49,低成本观察角色,55.25,24.732142857142854,19.68,样本不足，仅作定向访谈候选
铃兰,手办模玩,1,3.0,0.0,500.0,500.0,500.0,0.0,3.0,400.0,D,样本不足，不进入决策,31.34,49,低成本观察角色,55.25,24.732142857142854,19.68,样本不足，仅作定向访谈候选
煌,亚克力制品,1,3.0,0.0,100.0,100.0,100.0,0.0,5.0,750.0,D,样本不足，不进入决策,28.9,51,低成本观察角色,48.5,24.732142857142854,18.75,样本不足，仅作定向访谈候选
艾雅法拉,手办模玩,1,3.0,0.0,800.0,800.0,800.0,0.0,5.0,200.0,D,样本不足，不进入决策,27.14,53,低成本观察角色,55.25,24.732142857142854,18.08,样本不足，仅作定向访谈候选
艾雅法拉,日用生活,1,3.0,0.0,150.0,150.0,150.0,1.0,3.0,200.0,D,样本不足，不进入决策,27.14,53,低成本观察角色,55.25,24.732142857142854,18.08,样本不足，仅作定向访谈候选
