case_id,order_id,sku_id,case_type,reason,requested_at,resolved_at,units,refund_amount,case_status,is_simulated,simulation_seed
AS-000020,ORD-0000354,荒芜拉普兰德-亚克力制品,refund,印刷偏色,2026-08-06,2026-08-10,1,48.0,closed,True,20260903
AS-000021,ORD-0000358,缄默德克萨斯-毛绒玩偶,refund,尺寸与预期不符,2026-07-26,2026-07-28,1,128.0,closed,True,20260903
AS-000022,ORD-0000367,纯烬艾雅法拉-手办模玩,refund,零件损坏,2026-06-19,2026-06-26,1,699.0,closed,True,20260903
AS-000023,ORD-0000367,黍-装饰摆件,return,运输破损,2026-06-28,2026-07-04,1,89.0,closed,True,20260903
AS-000024,ORD-0000398,缄默德克萨斯-手办模玩,refund,到货与宣传差异,2026-09-05,2026-09-12,1,699.0,closed,True,20260903
AS-000025,ORD-0000398,新约能天使-日用生活,return,尺码不合适,2026-09-02,2026-09-03,1,99.0,closed,True,20260903
AS-000026,ORD-0000399,怒潮凛冬-通行证,refund,印刷瑕疵,2026-08-29,2026-08-30,1,39.0,closed,True,20260903
AS-000027,ORD-0000433,真言-日用生活,return,功能异常,2026-08-01,2026-08-04,1,99.0,closed,True,20260903
AS-000028,ORD-0000447,死芒-日用生活,return,功能异常,2026-06-28,2026-06-29,1,99.0,closed,True,20260903
AS-000029,ORD-0000510,新约能天使-毛绒玩偶,return,填充不均,2026-08-14,2026-08-16,1,128.0,closed,True,20260903
AS-000030,ORD-0000514,结城理-日用生活,return,材质与预期不符,2026-06-06,2026-06-13,1,99.0,closed,True,20260903
AS-000031,ORD-0000547,荒芜拉普兰德-手办模玩,return,零件损坏,2026-07-26,2026-07-29,1,699.0,closed,True,20260903
AS-000032,ORD-0000578,余-日用生活,refund,材质与预期不符,2026-06-25,2026-06-27,1,99.0,closed,True,20260903
AS-000033,ORD-0000630,娜斯提-亚克力制品,exchange,尺寸与预期不符,2026-07-02,2026-07-09,1,0.0,closed,True,20260903
AS-000034,ORD-0000684,焰狐龙梓兰-毛绒玩偶,refund,尺寸与预期不符,2026-06-26,2026-06-27,1,128.0,closed,True,20260903
AS-000035,ORD-0000695,佩佩-装饰摆件,return,尺寸与预期不符,2026-07-29,2026-08-01,1,89.0,closed,True,20260903
AS-000036,ORD-0000702,凯尔希·思衡托-装饰摆件,return,运输破损,2026-06-09,2026-06-14,1,89.0,closed,True,20260903
AS-000037,ORD-0000706,结城理-装饰摆件,return,运输破损,2026-06-30,2026-07-04,1,89.0,closed,True,20260903
AS-000038,ORD-0000711,缇缇-毛绒玩偶,return,尺寸与预期不符,2026-08-31,2026-09-07,1,128.0,closed,True,20260903
AS-000039,ORD-0000716,缇缇-装饰摆件,return,尺寸与预期不符,2026-06-29,2026-07-05,1,89.0,closed,True,20260903
AS-000040,ORD-0000716,真言-毛绒玩偶,refund,尺寸与预期不符,2026-07-04,2026-07-05,1,128.0,closed,True,20260903
AS-000041,ORD-0000719,凛御银灰-装饰摆件,return,尺寸与预期不符,2026-07-31,2026-08-07,1,89.0,closed,True,20260903
AS-000042,ORD-0000743,司霆惊蛰-手办模玩,refund,到货与宣传差异,2026-06-23,2026-06-25,1,699.0,closed,True,20260903
AS-000043,ORD-0000758,塑心-手办模玩,return,到货与宣传差异,2026-06-21,2026-06-22,1,699.0,closed,True,20260903
AS-000044,ORD-0000772,Mon3tr-毛绒玩偶,return,尺寸与预期不符,2026-06-20,2026-06-21,1,128.0,closed,True,20260903
AS-000045,ORD-0000782,斩业星熊-通行证,return,重复购买,2026-08-04,2026-08-09,1,39.0,closed,True,20260903
AS-000046,ORD-0000791,纯烬艾雅法拉-毛绒玩偶,return,车线瑕疵,2026-06-20,2026-06-22,1,128.0,closed,True,20260903
AS-000047,ORD-0000806,新约能天使-日用生活,return,材质与预期不符,2026-07-03,2026-07-04,2,198.0,closed,True,20260903
AS-000048,ORD-0000870,佩佩-通行证,return,印刷瑕疵,2026-07-30,2026-08-03,1,39.0,closed,True,20260903
AS-000049,ORD-0000893,死芒-毛绒玩偶,return,尺寸与预期不符,2026-08-12,2026-08-19,1,128.0,closed,True,20260903
AS-000050,ORD-0000912,黍-手办模玩,refund,到货与宣传差异,2026-07-13,2026-07-18,1,699.0,closed,True,20260903
AS-000051,ORD-0000913,重岳-亚克力制品,exchange,表面划痕,2026-08-20,2026-08-24,1,0.0,closed,True,20260903
AS-000052,ORD-0000927,余-手办模玩,refund,涂装瑕疵,2026-06-22,2026-06-23,1,699.0,closed,True,20260903
AS-000053,ORD-0000936,凛御银灰-毛绒玩偶,refund,尺寸与预期不符,2026-06-09,2026-06-16,2,256.0,closed,True,20260903
AS-000054,ORD-0001000,望-日用生活,exchange,功能异常,2026-06-17,2026-06-18,1,0.0,closed,True,20260903
AS-000055,ORD-0001036,结城理-手办模玩,return,零件损坏,2026-07-08,2026-07-13,1,699.0,closed,True,20260903
AS-000056,ORD-0001043,Mon3tr-手办模玩,return,零件损坏,2026-07-25,2026-07-28,1,699.0,closed,True,20260903
AS-000057,ORD-0001046,归溟幽灵鲨-日用生活,return,功能异常,2026-07-28,2026-08-04,1,99.0,closed,True,20260903
AS-000058,ORD-0001063,怒潮凛冬-日用生活,exchange,尺码不合适,2026-07-14,2026-07-17,1,0.0,closed,True,20260903
AS-000059,ORD-0001073,谬因-装饰摆件,exchange,安装困难,2026-07-13,2026-07-16,1,0.0,closed,True,20260903
AS-000060,ORD-0001087,黍-亚克力制品,return,表面划痕,2026-07-30,2026-07-31,1,48.0,closed,True,20260903
AS-000061,ORD-0001097,余-手办模玩,exchange,到货与宣传差异,2026-06-20,2026-06-24,1,0.0,closed,True,20260903
AS-000062,ORD-0001118,重岳-吧唧（徽章）,return,表面划痕,2026-08-16,2026-08-17,1,18.0,closed,True,20260903
AS-000063,ORD-0001161,斩业星熊-通行证,return,重复购买,2026-08-15,2026-08-17,1,39.0,closed,True,20260903
AS-000064,ORD-0001179,娜斯提-手办模玩,refund,零件损坏,2026-07-27,2026-08-01,1,699.0,closed,True,20260903
AS-000065,ORD-0001181,缇缇-手办模玩,refund,零件损坏,2026-07-27,2026-07-28,1,699.0,closed,True,20260903
AS-000066,ORD-0001213,归溟幽灵鲨-吧唧（徽章）,refund,表面划痕,2026-07-18,2026-07-22,1,18.0,closed,True,20260903
AS-000067,ORD-0001215,结城理-日用生活,refund,材质与预期不符,2026-09-01,2026-09-06,1,99.0,closed,True,20260903
AS-000068,ORD-0001223,维娜·维多利亚-日用生活,refund,尺码不合适,2026-08-04,2026-08-10,1,99.0,closed,True,20260903
AS-000069,ORD-0001250,新约能天使-手办模玩,return,涂装瑕疵,2026-06-19,2026-06-24,1,699.0,closed,True,20260903
AS-000070,ORD-0001262,缄默德克萨斯-亚克力制品,refund,印刷偏色,2026-08-17,2026-08-20,1,48.0,closed,True,20260903
AS-000071,ORD-0001277,赤刃明霄陈-手办模玩,refund,到货与宣传差异,2026-09-02,2026-09-08,1,699.0,closed,True,20260903
AS-000072,ORD-0001289,维娜·维多利亚-通行证,exchange,印刷瑕疵,2026-07-19,2026-07-24,1,0.0,closed,True,20260903
AS-000073,ORD-0001330,佩佩-手办模玩,return,到货与宣传差异,2026-09-02,2026-09-05,1,699.0,closed,True,20260903
AS-000074,ORD-0001338,维娜·维多利亚-毛绒玩偶,refund,车线瑕疵,2026-08-08,2026-08-14,1,128.0,closed,True,20260903
AS-000075,ORD-0001339,新约能天使-亚克力制品,refund,尺寸与预期不符,2026-07-15,2026-07-16,1,48.0,closed,True,20260903
AS-000076,ORD-0001357,望-装饰摆件,return,运输破损,2026-07-24,2026-07-29,1,89.0,closed,True,20260903
AS-000077,ORD-0001366,荒芜拉普兰德-毛绒玩偶,return,填充不均,2026-07-11,2026-07-14,1,128.0,closed,True,20260903
AS-000078,ORD-0001377,斩业星熊-装饰摆件,refund,运输破损,2026-06-11,2026-06-16,1,89.0,closed,True,20260903
AS-000079,ORD-0001380,凛御银灰-毛绒玩偶,return,车线瑕疵,2026-08-08,2026-08-13,1,128.0,closed,True,20260903
AS-000080,ORD-0001386,娜斯提-手办模玩,refund,到货与宣传差异,2026-06-27,2026-06-28,1,699.0,closed,True,20260903
AS-000081,ORD-0001388,缇缇-通行证,return,印刷瑕疵,2026-08-07,2026-08-10,1,39.0,closed,True,20260903
AS-000082,ORD-0001408,真言-手办模玩,return,零件损坏,2026-08-31,2026-09-02,1,699.0,closed,True,20260903
AS-000083,ORD-0001410,望-通行证,return,印刷瑕疵,2026-06-26,2026-06-28,1,39.0,closed,True,20260903
AS-000084,ORD-0001433,司霆惊蛰-通行证,exchange,印刷瑕疵,2026-07-02,2026-07-03,1,0.0,closed,True,20260903
AS-000085,ORD-0001458,结城理-亚克力制品,refund,表面划痕,2026-09-09,2026-09-16,1,48.0,closed,True,20260903
AS-000086,ORD-0001462,予愿安洁莉娜-装饰摆件,exchange,安装困难,2026-06-28,2026-07-03,1,0.0,closed,True,20260903
AS-000087,ORD-0001513,斩业星熊-日用生活,exchange,功能异常,2026-08-13,2026-08-15,1,0.0,closed,True,20260903
AS-000088,ORD-0001516,怒潮凛冬-装饰摆件,exchange,尺寸与预期不符,2026-09-04,2026-09-09,1,0.0,closed,True,20260903
AS-000089,ORD-0001518,焰狐龙梓兰-通行证,refund,印刷瑕疵,2026-07-30,2026-08-03,1,39.0,closed,True,20260903
AS-000090,ORD-0001564,娜斯提-日用生活,exchange,尺码不合适,2026-07-17,2026-07-22,1,0.0,closed,True,20260903
AS-000091,ORD-0001565,黍-装饰摆件,return,运输破损,2026-07-22,2026-07-23,1,89.0,closed,True,20260903
AS-000092,ORD-0001583,怒潮凛冬-日用生活,refund,尺码不合适,2026-07-24,2026-07-27,1,99.0,closed,True,20260903
AS-000093,ORD-0001592,焰狐龙梓兰-通行证,refund,印刷瑕疵,2026-06-20,2026-06-24,1,39.0,closed,True,20260903
AS-000094,ORD-0001605,佩佩-手办模玩,return,零件损坏,2026-08-13,2026-08-16,1,699.0,closed,True,20260903
AS-000095,ORD-0001628,怒潮凛冬-毛绒玩偶,refund,填充不均,2026-08-09,2026-08-10,1,128.0,closed,True,20260903
AS-000096,ORD-0001635,怒潮凛冬-日用生活,return,功能异常,2026-08-22,2026-08-28,1,99.0,closed,True,20260903
AS-000097,ORD-0001668,凛御银灰-通行证,exchange,运输折损,2026-07-03,2026-07-06,1,0.0,closed,True,20260903
AS-000098,ORD-0001708,司霆惊蛰-日用生活,return,材质与预期不符,2026-07-04,2026-07-07,1,99.0,closed,True,20260903
AS-000099,ORD-0001736,贝洛内-日用生活,return,尺码不合适,2026-07-06,2026-07-08,1,99.0,closed,True,20260903
AS-000100,ORD-0001751,真言-装饰摆件,exchange,安装困难,2026-08-06,2026-08-10,1,0.0,closed,True,20260903
AS-000101,ORD-0001765,佩佩-装饰摆件,exchange,安装困难,2026-08-11,2026-08-16,1,0.0,closed,True,20260903
AS-000102,ORD-0001816,死芒-日用生活,refund,材质与预期不符,2026-08-10,2026-08-16,1,99.0,closed,True,20260903
AS-000103,ORD-0001828,荒芜拉普兰德-装饰摆件,return,运输破损,2026-08-09,2026-08-10,1,89.0,closed,True,20260903
AS-000104,ORD-0001877,酒神-毛绒玩偶,refund,填充不均,2026-08-25,2026-08-29,1,128.0,closed,True,20260903
AS-000105,ORD-0001878,谬因-日用生活,exchange,材质与预期不符,2026-07-02,2026-07-03,1,0.0,closed,True,20260903
AS-000106,ORD-0001884,酒神-日用生活,refund,材质与预期不符,2026-06-26,2026-06-28,1,99.0,closed,True,20260903
AS-000107,ORD-0001889,贝洛内-毛绒玩偶,return,车线瑕疵,2026-07-06,2026-07-09,1,128.0,closed,True,20260903
AS-000108,ORD-0001890,归溟幽灵鲨-手办模玩,return,零件损坏,2026-07-01,2026-07-05,1,699.0,closed,True,20260903
AS-000109,ORD-0001897,予愿安洁莉娜-手办模玩,return,零件损坏,2026-07-25,2026-07-29,1,699.0,closed,True,20260903
AS-000110,ORD-0001901,缪尔赛思-通行证,refund,运输折损,2026-08-07,2026-08-10,1,39.0,closed,True,20260903
AS-000111,ORD-0001912,司霆惊蛰-手办模玩,return,到货与宣传差异,2026-07-24,2026-07-25,1,699.0,closed,True,20260903
AS-000112,ORD-0001924,谬因-毛绒玩偶,return,尺寸与预期不符,2026-07-04,2026-07-07,1,128.0,closed,True,20260903
AS-000113,ORD-0001960,纯烬艾雅法拉-通行证,return,重复购买,2026-06-17,2026-06-24,1,39.0,closed,True,20260903
AS-000114,ORD-0001962,怒潮凛冬-日用生活,exchange,材质与预期不符,2026-06-14,2026-06-19,1,0.0,closed,True,20260903
AS-000115,ORD-0001979,结城理-通行证,refund,重复购买,2026-08-02,2026-08-06,1,39.0,closed,True,20260903
AS-000116,ORD-0001988,酒神-日用生活,exchange,尺码不合适,2026-07-15,2026-07-22,1,0.0,closed,True,20260903
AS-000117,ORD-0002006,归溟幽灵鲨-吧唧（徽章）,refund,表面划痕,2026-07-22,2026-07-26,1,18.0,closed,True,20260903
AS-000118,ORD-0002051,荒芜拉普兰德-亚克力制品,refund,印刷偏色,2026-06-16,2026-06-18,1,48.0,closed,True,20260903
AS-000119,ORD-0002079,荒芜拉普兰德-日用生活,refund,材质与预期不符,2026-07-19,2026-07-21,1,99.0,closed,True,20260903
AS-000120,ORD-0002088,缪尔赛思-日用生活,return,功能异常,2026-07-02,2026-07-04,1,99.0,closed,True,20260903
AS-000121,ORD-0002107,贝洛内-毛绒玩偶,exchange,填充不均,2026-08-24,2026-08-27,1,0.0,closed,True,20260903
AS-000122,ORD-0002124,凛御银灰-毛绒玩偶,refund,车线瑕疵,2026-08-04,2026-08-06,1,128.0,closed,True,20260903
AS-000123,ORD-0002125,余-吧唧（徽章）,return,表面划痕,2026-08-08,2026-08-14,1,18.0,closed,True,20260903
AS-000124,ORD-0002131,缇缇-毛绒玩偶,refund,填充不均,2026-07-23,2026-07-28,1,128.0,closed,True,20260903
AS-000125,ORD-0002140,凯尔希·思衡托-吧唧（徽章）,refund,表面划痕,2026-06-30,2026-07-04,1,18.0,closed,True,20260903
AS-000126,ORD-0002152,娜斯提-装饰摆件,return,安装困难,2026-07-19,2026-07-25,1,89.0,closed,True,20260903
AS-000127,ORD-0002157,缪尔赛思-通行证,return,运输折损,2026-07-01,2026-07-04,1,39.0,closed,True,20260903
AS-000128,ORD-0002197,新约能天使-手办模玩,exchange,零件损坏,2026-06-14,2026-06-20,1,0.0,closed,True,20260903
AS-000129,ORD-0002198,黍-毛绒玩偶,return,车线瑕疵,2026-08-02,2026-08-07,1,128.0,closed,True,20260903
AS-000130,ORD-0002233,余-装饰摆件,refund,尺寸与预期不符,2026-08-01,2026-08-04,1,89.0,closed,True,20260903
AS-000131,ORD-0002282,纯烬艾雅法拉-装饰摆件,exchange,安装困难,2026-06-13,2026-06-16,1,0.0,closed,True,20260903
AS-000132,ORD-0002283,怒潮凛冬-手办模玩,exchange,涂装瑕疵,2026-06-30,2026-07-05,1,0.0,closed,True,20260903
AS-000133,ORD-0002286,凯尔希·思衡托-毛绒玩偶,return,尺寸与预期不符,2026-06-30,2026-07-05,1,128.0,closed,True,20260903
AS-000134,ORD-0002292,缇缇-毛绒玩偶,exchange,填充不均,2026-06-26,2026-06-27,1,0.0,closed,True,20260903
AS-000135,ORD-0002302,望-日用生活,refund,尺码不合适,2026-06-26,2026-06-29,1,99.0,closed,True,20260903
AS-000136,ORD-0002338,予愿安洁莉娜-手办模玩,refund,涂装瑕疵,2026-09-02,2026-09-05,1,699.0,closed,True,20260903
AS-000137,ORD-0002344,缪尔赛思-手办模玩,exchange,零件损坏,2026-08-13,2026-08-16,1,0.0,closed,True,20260903
AS-000138,ORD-0002351,佩佩-手办模玩,return,涂装瑕疵,2026-07-20,2026-07-23,1,699.0,closed,True,20260903
AS-000139,ORD-0002368,贝洛内-手办模玩,return,零件损坏,2026-08-21,2026-08-25,1,699.0,closed,True,20260903
AS-000140,ORD-0002374,缇缇-亚克力制品,refund,印刷偏色,2026-07-03,2026-07-06,1,48.0,closed,True,20260903
AS-000141,ORD-0002383,贝洛内-手办模玩,exchange,到货与宣传差异,2026-07-02,2026-07-04,1,0.0,closed,True,20260903
AS-000142,ORD-0002440,归溟幽灵鲨-装饰摆件,refund,运输破损,2026-08-12,2026-08-15,1,89.0,closed,True,20260903
AS-000143,ORD-0002445,纯烬艾雅法拉-日用生活,return,材质与预期不符,2026-08-04,2026-08-09,1,99.0,closed,True,20260903
AS-000144,ORD-0002456,娜斯提-吧唧（徽章）,exchange,重复购买,2026-07-27,2026-08-03,1,0.0,closed,True,20260903
AS-000145,ORD-0002472,凛御银灰-亚克力制品,return,印刷偏色,2026-08-08,2026-08-14,1,48.0,closed,True,20260903
AS-000146,ORD-0002473,娜斯提-吧唧（徽章）,refund,重复购买,2026-07-24,2026-07-30,1,18.0,closed,True,20260903
AS-000147,ORD-0002529,新约能天使-手办模玩,return,到货与宣传差异,2026-07-30,2026-07-31,1,699.0,closed,True,20260903
AS-000148,ORD-0002593,维娜·维多利亚-手办模玩,return,到货与宣传差异,2026-08-06,2026-08-10,1,699.0,closed,True,20260903
AS-000149,ORD-0002608,怒潮凛冬-毛绒玩偶,return,尺寸与预期不符,2026-06-18,2026-06-20,1,128.0,closed,True,20260903
AS-000150,ORD-0002630,酒神-亚克力制品,refund,印刷偏色,2026-08-09,2026-08-16,1,48.0,closed,True,20260903
AS-000151,ORD-0002632,酒神-装饰摆件,exchange,尺寸与预期不符,2026-06-24,2026-06-29,1,0.0,closed,True,20260903
AS-000152,ORD-0002633,佩佩-手办模玩,return,到货与宣传差异,2026-06-27,2026-07-02,1,699.0,closed,True,20260903
AS-000153,ORD-0002648,死芒-装饰摆件,return,运输破损,2026-06-27,2026-07-01,1,89.0,closed,True,20260903
AS-000154,ORD-0002657,怒潮凛冬-日用生活,exchange,尺码不合适,2026-07-04,2026-07-10,1,0.0,closed,True,20260903
AS-000155,ORD-0002657,予愿安洁莉娜-手办模玩,refund,涂装瑕疵,2026-06-27,2026-07-02,1,699.0,closed,True,20260903
AS-000156,ORD-0002661,纯烬艾雅法拉-日用生活,return,功能异常,2026-06-07,2026-06-09,1,99.0,closed,True,20260903
AS-000157,ORD-0002668,赤刃明霄陈-手办模玩,refund,涂装瑕疵,2026-06-17,2026-06-21,1,699.0,closed,True,20260903
AS-000158,ORD-0002674,Mon3tr-亚克力制品,refund,尺寸与预期不符,2026-07-13,2026-07-19,1,48.0,closed,True,20260903
AS-000159,ORD-0002730,余-装饰摆件,return,安装困难,2026-08-01,2026-08-03,1,89.0,closed,True,20260903
AS-000160,ORD-0002784,缇缇-毛绒玩偶,return,车线瑕疵,2026-07-23,2026-07-27,1,128.0,closed,True,20260903
AS-000161,ORD-0002792,娜斯提-吧唧（徽章）,refund,别针松动,2026-07-03,2026-07-09,1,18.0,closed,True,20260903
AS-000162,ORD-0002794,赤刃明霄陈-毛绒玩偶,refund,填充不均,2026-08-24,2026-08-28,1,128.0,closed,True,20260903
AS-000163,ORD-0002835,Mon3tr-亚克力制品,exchange,印刷偏色,2026-07-03,2026-07-05,1,0.0,closed,True,20260903
AS-000164,ORD-0002866,焰狐龙梓兰-手办模玩,exchange,到货与宣传差异,2026-06-19,2026-06-26,1,0.0,closed,True,20260903
AS-000165,ORD-0002870,斩业星熊-手办模玩,return,到货与宣传差异,2026-07-06,2026-07-11,1,699.0,closed,True,20260903
AS-000166,ORD-0002884,司霆惊蛰-亚克力制品,refund,尺寸与预期不符,2026-08-26,2026-09-02,1,48.0,closed,True,20260903
AS-000167,ORD-0002901,焰狐龙梓兰-手办模玩,return,到货与宣传差异,2026-07-06,2026-07-09,1,699.0,closed,True,20260903
AS-000168,ORD-0002919,司霆惊蛰-手办模玩,refund,到货与宣传差异,2026-08-09,2026-08-13,1,699.0,closed,True,20260903
AS-000169,ORD-0002921,死芒-毛绒玩偶,refund,填充不均,2026-06-28,2026-07-04,1,128.0,closed,True,20260903
AS-000170,ORD-0002935,结城理-手办模玩,refund,到货与宣传差异,2026-07-26,2026-07-28,1,699.0,closed,True,20260903
AS-000171,ORD-0002948,缇缇-手办模玩,refund,到货与宣传差异,2026-06-27,2026-06-29,1,699.0,closed,True,20260903
AS-000172,ORD-0002949,维娜·维多利亚-手办模玩,return,到货与宣传差异,2026-07-31,2026-08-06,1,699.0,closed,True,20260903
AS-000173,ORD-0002951,余-日用生活,refund,功能异常,2026-07-08,2026-07-15,1,99.0,closed,True,20260903
AS-000174,ORD-0002986,余-手办模玩,exchange,到货与宣传差异,2026-07-05,2026-07-09,1,0.0,closed,True,20260903
AS-000175,ORD-0002988,死芒-通行证,return,重复购买,2026-08-15,2026-08-16,1,39.0,closed,True,20260903
AS-000176,ORD-0003002,缪尔赛思-毛绒玩偶,return,车线瑕疵,2026-06-16,2026-06-18,1,128.0,closed,True,20260903
AS-000177,ORD-0003010,死芒-亚克力制品,return,表面划痕,2026-06-11,2026-06-12,1,48.0,closed,True,20260903
AS-000178,ORD-0003013,缄默德克萨斯-日用生活,return,材质与预期不符,2026-08-03,2026-08-04,1,99.0,closed,True,20260903
AS-000179,ORD-0003020,荒芜拉普兰德-装饰摆件,return,安装困难,2026-07-24,2026-07-29,1,89.0,closed,True,20260903
AS-000180,ORD-0003028,纯烬艾雅法拉-手办模玩,return,到货与宣传差异,2026-07-30,2026-07-31,1,699.0,closed,True,20260903
AS-000181,ORD-0003046,赤刃明霄陈-吧唧（徽章）,return,表面划痕,2026-08-02,2026-08-05,1,18.0,closed,True,20260903
AS-000182,ORD-0003050,斩业星熊-装饰摆件,return,安装困难,2026-08-20,2026-08-23,1,89.0,closed,True,20260903
AS-000183,ORD-0003060,维娜·维多利亚-吧唧（徽章）,refund,别针松动,2026-06-29,2026-07-05,1,18.0,closed,True,20260903
AS-000184,ORD-0003063,荒芜拉普兰德-手办模玩,return,零件损坏,2026-07-17,2026-07-24,1,699.0,closed,True,20260903
AS-000185,ORD-0003072,贝洛内-亚克力制品,refund,印刷偏色,2026-09-10,2026-09-16,1,48.0,closed,True,20260903
AS-000186,ORD-0003101,余-装饰摆件,exchange,尺寸与预期不符,2026-06-19,2026-06-24,1,0.0,closed,True,20260903
AS-000187,ORD-0003101,余-日用生活,exchange,尺码不合适,2026-06-17,2026-06-20,1,0.0,closed,True,20260903
AS-000188,ORD-0003107,凛御银灰-日用生活,return,功能异常,2026-06-09,2026-06-14,1,99.0,closed,True,20260903
AS-000189,ORD-0003123,维娜·维多利亚-装饰摆件,refund,运输破损,2026-08-11,2026-08-16,1,89.0,closed,True,20260903
AS-000190,ORD-0003153,望-毛绒玩偶,refund,填充不均,2026-06-23,2026-06-28,1,128.0,closed,True,20260903
AS-000191,ORD-0003155,新约能天使-吧唧（徽章）,exchange,表面划痕,2026-08-10,2026-08-15,1,0.0,closed,True,20260903
AS-000192,ORD-0003159,焰狐龙梓兰-日用生活,refund,功能异常,2026-07-25,2026-07-30,1,99.0,closed,True,20260903
AS-000193,ORD-0003161,荒芜拉普兰德-装饰摆件,exchange,安装困难,2026-08-09,2026-08-10,1,0.0,closed,True,20260903
AS-000194,ORD-0003205,结城理-手办模玩,return,到货与宣传差异,2026-07-23,2026-07-28,1,699.0,closed,True,20260903
AS-000195,ORD-0003214,真言-装饰摆件,refund,运输破损,2026-06-27,2026-07-04,1,89.0,closed,True,20260903
AS-000196,ORD-0003226,司霆惊蛰-手办模玩,return,到货与宣传差异,2026-06-23,2026-06-26,1,699.0,closed,True,20260903
AS-000197,ORD-0003228,谬因-手办模玩,return,涂装瑕疵,2026-07-01,2026-07-03,1,699.0,closed,True,20260903
AS-000198,ORD-0003252,望-日用生活,exchange,材质与预期不符,2026-06-23,2026-06-25,1,0.0,closed,True,20260903
AS-000199,ORD-0003253,赤刃明霄陈-日用生活,refund,功能异常,2026-06-14,2026-06-16,1,99.0,closed,True,20260903
AS-000200,ORD-0003262,荒芜拉普兰德-装饰摆件,return,运输破损,2026-06-24,2026-06-25,1,89.0,closed,True,20260903
AS-000201,ORD-0003287,真言-吧唧（徽章）,return,别针松动,2026-09-04,2026-09-06,1,18.0,closed,True,20260903
AS-000202,ORD-0003320,余-手办模玩,refund,到货与宣传差异,2026-08-30,2026-09-06,1,699.0,closed,True,20260903
AS-000203,ORD-0003323,重岳-日用生活,return,功能异常,2026-08-03,2026-08-08,1,99.0,closed,True,20260903
AS-000204,ORD-0003352,赤刃明霄陈-日用生活,return,功能异常,2026-06-17,2026-06-22,1,99.0,closed,True,20260903
AS-000205,ORD-0003372,塑心-亚克力制品,exchange,尺寸与预期不符,2026-06-13,2026-06-20,1,0.0,closed,True,20260903
AS-000206,ORD-0003377,司霆惊蛰-装饰摆件,exchange,运输破损,2026-09-08,2026-09-15,1,0.0,closed,True,20260903
AS-000207,ORD-0003394,归溟幽灵鲨-吧唧（徽章）,refund,重复购买,2026-07-30,2026-08-02,1,18.0,closed,True,20260903
AS-000208,ORD-0003405,新约能天使-毛绒玩偶,refund,尺寸与预期不符,2026-09-01,2026-09-03,1,128.0,closed,True,20260903
AS-000209,ORD-0003421,归溟幽灵鲨-日用生活,return,材质与预期不符,2026-07-06,2026-07-08,1,99.0,closed,True,20260903
