sku_code,sku_id,operator,category,price,unit_cost,production_risk,launch_inventory,sold_units,product_name,supplier_id,purchase_lead_time_days,average_daily_demand_plan,safety_stock,reorder_point,initial_stock,sku_status,is_simulated,simulation_seed
AK-0023,维娜·维多利亚-通行证,维娜·维多利亚,通行证,39.0,12.48,0.2,610,522,维娜·维多利亚 通行证,SUP-PRINT-01,14,0.43,8,15,23,active,True,20260903
AK-0024,维娜·维多利亚-吧唧（徽章）,维娜·维多利亚,吧唧（徽章）,18.0,5.4,0.15,585,508,维娜·维多利亚 吧唧（徽章）,SUP-METAL-01,12,0.47,8,14,22,active,True,20260903
AK-0025,维娜·维多利亚-毛绒玩偶,维娜·维多利亚,毛绒玩偶,128.0,61.44,0.46,461,366,维娜·维多利亚 毛绒玩偶,SUP-PLUSH-01,40,0.48,8,28,36,active,True,20260903
AK-0026,维娜·维多利亚-手办模玩,维娜·维多利亚,手办模玩,699.0,433.38,0.8,430,312,维娜·维多利亚 手办模玩,SUP-FIGURE-01,90,0.5,10,55,65,active,True,20260903
AK-0027,维娜·维多利亚-装饰摆件,维娜·维多利亚,装饰摆件,89.0,37.38,0.38,561,455,维娜·维多利亚 装饰摆件,SUP-DECOR-01,25,0.51,8,21,29,active,True,20260903
AK-0028,维娜·维多利亚-日用生活,维娜·维多利亚,日用生活,99.0,45.54,0.52,476,372,维娜·维多利亚 日用生活,SUP-LIFESTYLE-01,30,0.48,8,23,31,active,True,20260903
AK-0029,纯烬艾雅法拉-亚克力制品,纯烬艾雅法拉,亚克力制品,48.0,16.8,0.24,660,558,纯烬艾雅法拉 亚克力制品,SUP-ACRYLIC-01,18,0.52,8,18,26,active,True,20260903
AK-0030,纯烬艾雅法拉-通行证,纯烬艾雅法拉,通行证,39.0,12.48,0.2,779,666,纯烬艾雅法拉 通行证,SUP-PRINT-01,14,0.43,8,15,23,active,True,20260903
AK-0031,纯烬艾雅法拉-吧唧（徽章）,纯烬艾雅法拉,吧唧（徽章）,18.0,5.4,0.15,704,611,纯烬艾雅法拉 吧唧（徽章）,SUP-METAL-01,12,0.47,8,14,22,active,True,20260903
AK-0032,纯烬艾雅法拉-毛绒玩偶,纯烬艾雅法拉,毛绒玩偶,128.0,61.44,0.46,627,498,纯烬艾雅法拉 毛绒玩偶,SUP-PLUSH-01,40,0.48,8,28,36,active,True,20260903
AK-0033,纯烬艾雅法拉-手办模玩,纯烬艾雅法拉,手办模玩,699.0,433.38,0.8,454,329,纯烬艾雅法拉 手办模玩,SUP-FIGURE-01,90,0.49,10,55,65,active,True,20260903
AK-0034,纯烬艾雅法拉-装饰摆件,纯烬艾雅法拉,装饰摆件,89.0,37.38,0.38,683,554,纯烬艾雅法拉 装饰摆件,SUP-DECOR-01,25,0.5,8,21,29,active,True,20260903
AK-0035,纯烬艾雅法拉-日用生活,纯烬艾雅法拉,日用生活,99.0,45.54,0.52,384,300,纯烬艾雅法拉 日用生活,SUP-LIFESTYLE-01,30,0.48,8,23,31,active,True,20260903
AK-0036,赤刃明霄陈-亚克力制品,赤刃明霄陈,亚克力制品,48.0,16.8,0.24,668,565,赤刃明霄陈 亚克力制品,SUP-ACRYLIC-01,18,0.51,8,18,26,active,True,20260903
AK-0037,赤刃明霄陈-通行证,赤刃明霄陈,通行证,39.0,12.48,0.2,428,366,赤刃明霄陈 通行证,SUP-PRINT-01,14,0.43,8,15,23,active,True,20260903
AK-0038,赤刃明霄陈-吧唧（徽章）,赤刃明霄陈,吧唧（徽章）,18.0,5.4,0.15,716,622,赤刃明霄陈 吧唧（徽章）,SUP-METAL-01,12,0.47,8,14,22,active,True,20260903
AK-0039,赤刃明霄陈-毛绒玩偶,赤刃明霄陈,毛绒玩偶,128.0,61.44,0.46,693,550,赤刃明霄陈 毛绒玩偶,SUP-PLUSH-01,40,0.48,8,28,36,active,True,20260903
AK-0040,赤刃明霄陈-手办模玩,赤刃明霄陈,手办模玩,699.0,433.38,0.8,405,294,赤刃明霄陈 手办模玩,SUP-FIGURE-01,90,0.49,10,55,65,active,True,20260903
AK-0041,赤刃明霄陈-装饰摆件,赤刃明霄陈,装饰摆件,89.0,37.38,0.38,543,441,赤刃明霄陈 装饰摆件,SUP-DECOR-01,25,0.5,8,21,29,active,True,20260903
AK-0042,赤刃明霄陈-日用生活,赤刃明霄陈,日用生活,99.0,45.54,0.52,430,336,赤刃明霄陈 日用生活,SUP-LIFESTYLE-01,30,0.48,8,23,31,active,True,20260903
AK-0043,焰狐龙梓兰-亚克力制品,焰狐龙梓兰,亚克力制品,48.0,16.8,0.24,626,529,焰狐龙梓兰 亚克力制品,SUP-ACRYLIC-01,18,0.51,8,18,26,active,True,20260903
AK-0044,焰狐龙梓兰-通行证,焰狐龙梓兰,通行证,39.0,12.48,0.2,423,362,焰狐龙梓兰 通行证,SUP-PRINT-01,14,0.42,8,14,22,active,True,20260903
AK-0045,焰狐龙梓兰-吧唧（徽章）,焰狐龙梓兰,吧唧（徽章）,18.0,5.4,0.15,509,442,焰狐龙梓兰 吧唧（徽章）,SUP-METAL-01,12,0.47,8,14,22,active,True,20260903
AK-0046,焰狐龙梓兰-毛绒玩偶,焰狐龙梓兰,毛绒玩偶,128.0,61.44,0.46,548,435,焰狐龙梓兰 毛绒玩偶,SUP-PLUSH-01,40,0.47,8,27,35,active,True,20260903
AK-0047,焰狐龙梓兰-手办模玩,焰狐龙梓兰,手办模玩,699.0,433.38,0.8,469,340,焰狐龙梓兰 手办模玩,SUP-FIGURE-01,90,0.49,10,55,65,active,True,20260903
AK-0048,焰狐龙梓兰-装饰摆件,焰狐龙梓兰,装饰摆件,89.0,37.38,0.38,615,499,焰狐龙梓兰 装饰摆件,SUP-DECOR-01,25,0.5,8,21,29,active,True,20260903
AK-0049,焰狐龙梓兰-日用生活,焰狐龙梓兰,日用生活,99.0,45.54,0.52,615,480,焰狐龙梓兰 日用生活,SUP-LIFESTYLE-01,30,0.47,8,23,31,active,True,20260903
AK-0050,凛御银灰-亚克力制品,凛御银灰,亚克力制品,48.0,16.8,0.24,599,506,凛御银灰 亚克力制品,SUP-ACRYLIC-01,18,0.5,8,17,25,active,True,20260903
AK-0051,凛御银灰-通行证,凛御银灰,通行证,39.0,12.48,0.2,668,571,凛御银灰 通行证,SUP-PRINT-01,14,0.41,8,14,22,active,True,20260903
AK-0052,凛御银灰-吧唧（徽章）,凛御银灰,吧唧（徽章）,18.0,5.4,0.15,697,605,凛御银灰 吧唧（徽章）,SUP-METAL-01,12,0.46,8,14,22,active,True,20260903
AK-0053,凛御银灰-毛绒玩偶,凛御银灰,毛绒玩偶,128.0,61.44,0.46,625,496,凛御银灰 毛绒玩偶,SUP-PLUSH-01,40,0.47,8,27,35,active,True,20260903
AK-0054,凛御银灰-手办模玩,凛御银灰,手办模玩,699.0,433.38,0.8,369,268,凛御银灰 手办模玩,SUP-FIGURE-01,90,0.48,10,54,64,active,True,20260903
AK-0055,凛御银灰-装饰摆件,凛御银灰,装饰摆件,89.0,37.38,0.38,393,319,凛御银灰 装饰摆件,SUP-DECOR-01,25,0.49,8,21,29,active,True,20260903
AK-0056,凛御银灰-日用生活,凛御银灰,日用生活,99.0,45.54,0.52,530,414,凛御银灰 日用生活,SUP-LIFESTYLE-01,30,0.47,8,23,31,active,True,20260903
AK-0057,归溟幽灵鲨-亚克力制品,归溟幽灵鲨,亚克力制品,48.0,16.8,0.24,545,461,归溟幽灵鲨 亚克力制品,SUP-ACRYLIC-01,18,0.5,8,17,25,active,True,20260903
AK-0058,归溟幽灵鲨-通行证,归溟幽灵鲨,通行证,39.0,12.48,0.2,593,507,归溟幽灵鲨 通行证,SUP-PRINT-01,14,0.41,8,14,22,active,True,20260903
AK-0059,归溟幽灵鲨-吧唧（徽章）,归溟幽灵鲨,吧唧（徽章）,18.0,5.4,0.15,663,576,归溟幽灵鲨 吧唧（徽章）,SUP-METAL-01,12,0.46,8,14,22,active,True,20260903
AK-0060,归溟幽灵鲨-毛绒玩偶,归溟幽灵鲨,毛绒玩偶,128.0,61.44,0.46,540,429,归溟幽灵鲨 毛绒玩偶,SUP-PLUSH-01,40,0.47,8,27,35,active,True,20260903
AK-0061,归溟幽灵鲨-手办模玩,归溟幽灵鲨,手办模玩,699.0,433.38,0.8,364,264,归溟幽灵鲨 手办模玩,SUP-FIGURE-01,90,0.48,10,54,64,active,True,20260903
AK-0062,归溟幽灵鲨-装饰摆件,归溟幽灵鲨,装饰摆件,89.0,37.38,0.38,506,411,归溟幽灵鲨 装饰摆件,SUP-DECOR-01,25,0.49,8,21,29,active,True,20260903
AK-0063,归溟幽灵鲨-日用生活,归溟幽灵鲨,日用生活,99.0,45.54,0.52,435,340,归溟幽灵鲨 日用生活,SUP-LIFESTYLE-01,30,0.47,8,23,31,active,True,20260903
AK-0064,黍-亚克力制品,黍,亚克力制品,48.0,16.8,0.24,621,525,黍 亚克力制品,SUP-ACRYLIC-01,18,0.52,8,18,26,active,True,20260903
AK-0065,黍-通行证,黍,通行证,39.0,12.48,0.2,554,474,黍 通行证,SUP-PRINT-01,14,0.43,8,15,23,active,True,20260903
AK-0066,黍-吧唧（徽章）,黍,吧唧（徽章）,18.0,5.4,0.15,656,570,黍 吧唧（徽章）,SUP-METAL-01,12,0.47,8,14,22,active,True,20260903
AK-0067,黍-毛绒玩偶,黍,毛绒玩偶,128.0,61.44,0.46,738,586,黍 毛绒玩偶,SUP-PLUSH-01,40,0.48,8,28,36,active,True,20260903
AK-0068,黍-手办模玩,黍,手办模玩,699.0,433.38,0.8,278,202,黍 手办模玩,SUP-FIGURE-01,90,0.49,10,55,65,active,True,20260903
AK-0069,黍-装饰摆件,黍,装饰摆件,89.0,37.38,0.38,598,485,黍 装饰摆件,SUP-DECOR-01,25,0.51,8,21,29,active,True,20260903
AK-0070,黍-日用生活,黍,日用生活,99.0,45.54,0.52,579,452,黍 日用生活,SUP-LIFESTYLE-01,30,0.48,8,23,31,active,True,20260903
AK-0071,Mon3tr-亚克力制品,Mon3tr,亚克力制品,48.0,16.8,0.24,673,569,Mon3tr 亚克力制品,SUP-ACRYLIC-01,18,0.49,8,17,25,active,True,20260903
AK-0072,Mon3tr-通行证,Mon3tr,通行证,39.0,12.48,0.2,510,436,Mon3tr 通行证,SUP-PRINT-01,14,0.4,8,14,22,active,True,20260903
AK-0073,Mon3tr-吧唧（徽章）,Mon3tr,吧唧（徽章）,18.0,5.4,0.15,605,525,Mon3tr 吧唧（徽章）,SUP-METAL-01,12,0.44,8,14,22,active,True,20260903
AK-0074,Mon3tr-毛绒玩偶,Mon3tr,毛绒玩偶,128.0,61.44,0.46,547,434,Mon3tr 毛绒玩偶,SUP-PLUSH-01,40,0.45,8,26,34,active,True,20260903
AK-0075,Mon3tr-手办模玩,Mon3tr,手办模玩,699.0,433.38,0.8,332,241,Mon3tr 手办模玩,SUP-FIGURE-01,90,0.47,10,53,63,active,True,20260903
AK-0076,Mon3tr-装饰摆件,Mon3tr,装饰摆件,89.0,37.38,0.38,562,456,Mon3tr 装饰摆件,SUP-DECOR-01,25,0.48,8,20,28,active,True,20260903
AK-0077,Mon3tr-日用生活,Mon3tr,日用生活,99.0,45.54,0.52,453,354,Mon3tr 日用生活,SUP-LIFESTYLE-01,30,0.45,8,22,30,active,True,20260903
AK-0078,重岳-亚克力制品,重岳,亚克力制品,48.0,16.8,0.24,506,428,重岳 亚克力制品,SUP-ACRYLIC-01,18,0.48,8,17,25,active,True,20260903
AK-0079,重岳-通行证,重岳,通行证,39.0,12.48,0.2,652,558,重岳 通行证,SUP-PRINT-01,14,0.39,8,14,22,active,True,20260903
AK-0080,重岳-吧唧（徽章）,重岳,吧唧（徽章）,18.0,5.4,0.15,756,656,重岳 吧唧（徽章）,SUP-METAL-01,12,0.43,8,14,22,active,True,20260903
AK-0081,重岳-毛绒玩偶,重岳,毛绒玩偶,128.0,61.44,0.46,342,272,重岳 毛绒玩偶,SUP-PLUSH-01,40,0.44,8,26,34,active,True,20260903
AK-0082,重岳-手办模玩,重岳,手办模玩,699.0,433.38,0.8,293,213,重岳 手办模玩,SUP-FIGURE-01,90,0.46,10,52,62,active,True,20260903
AK-0083,重岳-装饰摆件,重岳,装饰摆件,89.0,37.38,0.38,456,370,重岳 装饰摆件,SUP-DECOR-01,25,0.47,8,20,28,active,True,20260903
AK-0084,重岳-日用生活,重岳,日用生活,99.0,45.54,0.52,471,368,重岳 日用生活,SUP-LIFESTYLE-01,30,0.44,8,22,30,active,True,20260903
AK-0085,荒芜拉普兰德-亚克力制品,荒芜拉普兰德,亚克力制品,48.0,16.8,0.24,639,540,荒芜拉普兰德 亚克力制品,SUP-ACRYLIC-01,18,0.48,8,17,25,active,True,20260903
AK-0086,荒芜拉普兰德-通行证,荒芜拉普兰德,通行证,39.0,12.48,0.2,547,468,荒芜拉普兰德 通行证,SUP-PRINT-01,14,0.39,8,14,22,active,True,20260903
AK-0087,荒芜拉普兰德-吧唧（徽章）,荒芜拉普兰德,吧唧（徽章）,18.0,5.4,0.15,628,545,荒芜拉普兰德 吧唧（徽章）,SUP-METAL-01,12,0.43,8,14,22,active,True,20260903
AK-0088,荒芜拉普兰德-毛绒玩偶,荒芜拉普兰德,毛绒玩偶,128.0,61.44,0.46,488,387,荒芜拉普兰德 毛绒玩偶,SUP-PLUSH-01,40,0.44,8,26,34,active,True,20260903
AK-0089,荒芜拉普兰德-手办模玩,荒芜拉普兰德,手办模玩,699.0,433.38,0.8,304,221,荒芜拉普兰德 手办模玩,SUP-FIGURE-01,90,0.46,10,52,62,active,True,20260903
AK-0090,荒芜拉普兰德-装饰摆件,荒芜拉普兰德,装饰摆件,89.0,37.38,0.38,496,403,荒芜拉普兰德 装饰摆件,SUP-DECOR-01,25,0.47,8,20,28,active,True,20260903
AK-0091,荒芜拉普兰德-日用生活,荒芜拉普兰德,日用生活,99.0,45.54,0.52,535,418,荒芜拉普兰德 日用生活,SUP-LIFESTYLE-01,30,0.44,8,22,30,active,True,20260903
AK-0092,望-亚克力制品,望,亚克力制品,48.0,16.8,0.24,438,370,望 亚克力制品,SUP-ACRYLIC-01,18,0.48,8,17,25,active,True,20260903
AK-0093,望-通行证,望,通行证,39.0,12.48,0.2,581,497,望 通行证,SUP-PRINT-01,14,0.39,8,14,22,active,True,20260903
AK-0094,望-吧唧（徽章）,望,吧唧（徽章）,18.0,5.4,0.15,565,491,望 吧唧（徽章）,SUP-METAL-01,12,0.43,8,14,22,active,True,20260903
AK-0095,望-毛绒玩偶,望,毛绒玩偶,128.0,61.44,0.46,708,562,望 毛绒玩偶,SUP-PLUSH-01,40,0.44,8,26,34,active,True,20260903
AK-0096,望-手办模玩,望,手办模玩,699.0,433.38,0.8,345,250,望 手办模玩,SUP-FIGURE-01,90,0.45,9,50,59,active,True,20260903
AK-0097,望-装饰摆件,望,装饰摆件,89.0,37.38,0.38,527,428,望 装饰摆件,SUP-DECOR-01,25,0.47,8,20,28,active,True,20260903
AK-0098,望-日用生活,望,日用生活,99.0,45.54,0.52,433,338,望 日用生活,SUP-LIFESTYLE-01,30,0.44,8,22,30,active,True,20260903
AK-0099,结城理-亚克力制品,结城理,亚克力制品,48.0,16.8,0.24,586,495,结城理 亚克力制品,SUP-ACRYLIC-01,18,0.48,8,17,25,active,True,20260903
AK-0100,结城理-通行证,结城理,通行证,39.0,12.48,0.2,449,384,结城理 通行证,SUP-PRINT-01,14,0.39,8,14,22,active,True,20260903
AK-0101,结城理-吧唧（徽章）,结城理,吧唧（徽章）,18.0,5.4,0.15,817,709,结城理 吧唧（徽章）,SUP-METAL-01,12,0.43,8,14,22,active,True,20260903
AK-0102,结城理-毛绒玩偶,结城理,毛绒玩偶,128.0,61.44,0.46,571,453,结城理 毛绒玩偶,SUP-PLUSH-01,40,0.44,8,26,34,active,True,20260903
AK-0103,结城理-手办模玩,结城理,手办模玩,699.0,433.38,0.8,317,230,结城理 手办模玩,SUP-FIGURE-01,90,0.45,9,50,59,active,True,20260903
AK-0104,结城理-装饰摆件,结城理,装饰摆件,89.0,37.38,0.38,448,364,结城理 装饰摆件,SUP-DECOR-01,25,0.47,8,20,28,active,True,20260903
AK-0105,结城理-日用生活,结城理,日用生活,99.0,45.54,0.52,523,408,结城理 日用生活,SUP-LIFESTYLE-01,30,0.44,8,22,30,active,True,20260903
AK-0106,缄默德克萨斯-亚克力制品,缄默德克萨斯,亚克力制品,48.0,16.8,0.24,925,782,缄默德克萨斯 亚克力制品,SUP-ACRYLIC-01,18,0.47,8,17,25,active,True,20260903
AK-0107,缄默德克萨斯-通行证,缄默德克萨斯,通行证,39.0,12.48,0.2,563,482,缄默德克萨斯 通行证,SUP-PRINT-01,14,0.38,8,14,22,active,True,20260903
AK-0108,缄默德克萨斯-吧唧（徽章）,缄默德克萨斯,吧唧（徽章）,18.0,5.4,0.15,590,512,缄默德克萨斯 吧唧（徽章）,SUP-METAL-01,12,0.43,8,14,22,active,True,20260903
AK-0109,缄默德克萨斯-毛绒玩偶,缄默德克萨斯,毛绒玩偶,128.0,61.44,0.46,494,392,缄默德克萨斯 毛绒玩偶,SUP-PLUSH-01,40,0.43,8,26,34,active,True,20260903
AK-0110,缄默德克萨斯-手办模玩,缄默德克萨斯,手办模玩,699.0,433.38,0.8,383,278,缄默德克萨斯 手办模玩,SUP-FIGURE-01,90,0.45,9,50,59,active,True,20260903
AK-0111,缄默德克萨斯-装饰摆件,缄默德克萨斯,装饰摆件,89.0,37.38,0.38,515,418,缄默德克萨斯 装饰摆件,SUP-DECOR-01,25,0.46,8,20,28,active,True,20260903
AK-0112,缄默德克萨斯-日用生活,缄默德克萨斯,日用生活,99.0,45.54,0.52,573,447,缄默德克萨斯 日用生活,SUP-LIFESTYLE-01,30,0.43,8,21,29,active,True,20260903
AK-0113,死芒-亚克力制品,死芒,亚克力制品,48.0,16.8,0.24,588,497,死芒 亚克力制品,SUP-ACRYLIC-01,18,0.46,8,17,25,active,True,20260903
AK-0114,死芒-通行证,死芒,通行证,39.0,12.48,0.2,533,456,死芒 通行证,SUP-PRINT-01,14,0.38,8,14,22,active,True,20260903
AK-0115,死芒-吧唧（徽章）,死芒,吧唧（徽章）,18.0,5.4,0.15,473,411,死芒 吧唧（徽章）,SUP-METAL-01,12,0.42,8,14,22,active,True,20260903
AK-0116,死芒-毛绒玩偶,死芒,毛绒玩偶,128.0,61.44,0.46,595,472,死芒 毛绒玩偶,SUP-PLUSH-01,40,0.43,8,26,34,active,True,20260903
AK-0117,死芒-手办模玩,死芒,手办模玩,699.0,433.38,0.8,405,294,死芒 手办模玩,SUP-FIGURE-01,90,0.44,9,49,58,active,True,20260903
AK-0118,死芒-装饰摆件,死芒,装饰摆件,89.0,37.38,0.38,434,352,死芒 装饰摆件,SUP-DECOR-01,25,0.45,8,20,28,active,True,20260903
AK-0119,死芒-日用生活,死芒,日用生活,99.0,45.54,0.52,591,461,死芒 日用生活,SUP-LIFESTYLE-01,30,0.43,8,21,29,active,True,20260903
AK-0120,真言-亚克力制品,真言,亚克力制品,48.0,16.8,0.24,716,605,真言 亚克力制品,SUP-ACRYLIC-01,18,0.46,8,17,25,active,True,20260903
AK-0121,真言-通行证,真言,通行证,39.0,12.48,0.2,459,393,真言 通行证,SUP-PRINT-01,14,0.37,8,14,22,active,True,20260903
AK-0122,真言-吧唧（徽章）,真言,吧唧（徽章）,18.0,5.4,0.15,568,493,真言 吧唧（徽章）,SUP-METAL-01,12,0.42,8,14,22,active,True,20260903
AK-0123,真言-毛绒玩偶,真言,毛绒玩偶,128.0,61.44,0.46,519,412,真言 毛绒玩偶,SUP-PLUSH-01,40,0.43,8,26,34,active,True,20260903
AK-0124,真言-手办模玩,真言,手办模玩,699.0,433.38,0.8,385,279,真言 手办模玩,SUP-FIGURE-01,90,0.44,9,49,58,active,True,20260903
AK-0125,真言-装饰摆件,真言,装饰摆件,89.0,37.38,0.38,479,389,真言 装饰摆件,SUP-DECOR-01,25,0.45,8,20,28,active,True,20260903
AK-0126,真言-日用生活,真言,日用生活,99.0,45.54,0.52,379,296,真言 日用生活,SUP-LIFESTYLE-01,30,0.43,8,21,29,active,True,20260903
AK-0127,缪尔赛思-亚克力制品,缪尔赛思,亚克力制品,48.0,16.8,0.24,596,504,缪尔赛思 亚克力制品,SUP-ACRYLIC-01,18,0.49,8,17,25,active,True,20260903
AK-0128,缪尔赛思-通行证,缪尔赛思,通行证,39.0,12.48,0.2,463,396,缪尔赛思 通行证,SUP-PRINT-01,14,0.4,8,14,22,active,True,20260903
AK-0129,缪尔赛思-吧唧（徽章）,缪尔赛思,吧唧（徽章）,18.0,5.4,0.15,655,569,缪尔赛思 吧唧（徽章）,SUP-METAL-01,12,0.44,8,14,22,active,True,20260903
AK-0130,缪尔赛思-毛绒玩偶,缪尔赛思,毛绒玩偶,128.0,61.44,0.46,552,438,缪尔赛思 毛绒玩偶,SUP-PLUSH-01,40,0.45,8,26,34,active,True,20260903
AK-0131,缪尔赛思-手办模玩,缪尔赛思,手办模玩,699.0,433.38,0.8,474,344,缪尔赛思 手办模玩,SUP-FIGURE-01,90,0.46,10,52,62,active,True,20260903
AK-0132,缪尔赛思-装饰摆件,缪尔赛思,装饰摆件,89.0,37.38,0.38,648,526,缪尔赛思 装饰摆件,SUP-DECOR-01,25,0.48,8,20,28,active,True,20260903
AK-0133,缪尔赛思-日用生活,缪尔赛思,日用生活,99.0,45.54,0.52,565,441,缪尔赛思 日用生活,SUP-LIFESTYLE-01,30,0.45,8,22,30,active,True,20260903
AK-0134,贝洛内-亚克力制品,贝洛内,亚克力制品,48.0,16.8,0.24,615,520,贝洛内 亚克力制品,SUP-ACRYLIC-01,18,0.45,8,17,25,active,True,20260903
AK-0135,贝洛内-通行证,贝洛内,通行证,39.0,12.48,0.2,638,546,贝洛内 通行证,SUP-PRINT-01,14,0.37,8,14,22,active,True,20260903
AK-0136,贝洛内-吧唧（徽章）,贝洛内,吧唧（徽章）,18.0,5.4,0.15,341,296,贝洛内 吧唧（徽章）,SUP-METAL-01,12,0.41,8,13,21,active,True,20260903
AK-0137,贝洛内-毛绒玩偶,贝洛内,毛绒玩偶,128.0,61.44,0.46,609,483,贝洛内 毛绒玩偶,SUP-PLUSH-01,40,0.42,8,25,33,active,True,20260903
AK-0138,贝洛内-手办模玩,贝洛内,手办模玩,699.0,433.38,0.8,270,196,贝洛内 手办模玩,SUP-FIGURE-01,90,0.43,9,48,57,active,True,20260903
AK-0139,贝洛内-装饰摆件,贝洛内,装饰摆件,89.0,37.38,0.38,394,320,贝洛内 装饰摆件,SUP-DECOR-01,25,0.44,8,19,27,active,True,20260903
AK-0140,贝洛内-日用生活,贝洛内,日用生活,99.0,45.54,0.52,426,333,贝洛内 日用生活,SUP-LIFESTYLE-01,30,0.42,8,21,29,active,True,20260903
AK-0141,司霆惊蛰-亚克力制品,司霆惊蛰,亚克力制品,48.0,16.8,0.24,499,422,司霆惊蛰 亚克力制品,SUP-ACRYLIC-01,18,0.45,8,17,25,active,True,20260903
