sku_id,operator,category,heat_score,price,unit_cost,live_fit,production_risk,page_views,orders,launch_inventory,sold_units,return_units,is_simulated,simulation_seed
焰狐龙梓兰-亚克力制品,焰狐龙梓兰,亚克力制品,58.8667,48.0,16.8,0.88,0.24,5814,481,626,529,20,True,20260901
焰狐龙梓兰-通行证,焰狐龙梓兰,通行证,58.8667,39.0,12.48,0.82,0.2,4265,286,423,362,12,True,20260901
焰狐龙梓兰-吧唧（徽章）,焰狐龙梓兰,吧唧（徽章）,58.8667,18.0,5.4,0.92,0.15,5424,429,509,442,9,True,20260901
焰狐龙梓兰-毛绒玩偶,焰狐龙梓兰,毛绒玩偶,58.8667,128.0,61.44,0.82,0.46,4594,382,548,435,21,True,20260901
焰狐龙梓兰-手办模玩,焰狐龙梓兰,手办模玩,58.8667,699.0,433.38,0.55,0.8,3872,269,469,340,24,True,20260901
焰狐龙梓兰-装饰摆件,焰狐龙梓兰,装饰摆件,58.8667,89.0,37.38,0.76,0.38,5542,438,615,499,25,True,20260901
焰狐龙梓兰-日用生活,焰狐龙梓兰,日用生活,58.8667,99.0,45.54,0.72,0.52,5565,412,615,480,26,True,20260901
凛御银灰-亚克力制品,凛御银灰,亚克力制品,57.2333,48.0,16.8,0.88,0.24,4602,413,599,506,19,True,20260901
凛御银灰-通行证,凛御银灰,通行证,57.2333,39.0,12.48,0.82,0.2,5531,421,668,571,18,True,20260901
凛御银灰-吧唧（徽章）,凛御银灰,吧唧（徽章）,57.2333,18.0,5.4,0.92,0.15,5677,435,697,605,19,True,20260901
凛御银灰-毛绒玩偶,凛御银灰,毛绒玩偶,57.2333,128.0,61.44,0.82,0.46,5656,462,625,496,28,True,20260901
凛御银灰-手办模玩,凛御银灰,手办模玩,57.2333,699.0,433.38,0.55,0.8,3299,208,369,268,21,True,20260901
凛御银灰-装饰摆件,凛御银灰,装饰摆件,57.2333,89.0,37.38,0.76,0.38,4539,300,393,319,15,True,20260901
凛御银灰-日用生活,凛御银灰,日用生活,57.2333,99.0,45.54,0.72,0.52,4740,368,530,414,22,True,20260901
归溟幽灵鲨-亚克力制品,归溟幽灵鲨,亚克力制品,57.1167,48.0,16.8,0.88,0.24,5908,445,545,461,16,True,20260901
归溟幽灵鲨-通行证,归溟幽灵鲨,通行证,57.1167,39.0,12.48,0.82,0.2,5400,381,593,507,14,True,20260901
归溟幽灵鲨-吧唧（徽章）,归溟幽灵鲨,吧唧（徽章）,57.1167,18.0,5.4,0.92,0.15,5513,507,663,576,13,True,20260901
归溟幽灵鲨-毛绒玩偶,归溟幽灵鲨,毛绒玩偶,57.1167,128.0,61.44,0.82,0.46,4585,381,540,429,25,True,20260901
归溟幽灵鲨-手办模玩,归溟幽灵鲨,手办模玩,57.1167,699.0,433.38,0.55,0.8,3301,205,364,264,22,True,20260901
归溟幽灵鲨-装饰摆件,归溟幽灵鲨,装饰摆件,57.1167,89.0,37.38,0.76,0.38,4499,332,506,411,17,True,20260901
归溟幽灵鲨-日用生活,归溟幽灵鲨,日用生活,57.1167,99.0,45.54,0.72,0.52,4219,286,435,340,19,True,20260901
黍-亚克力制品,黍,亚克力制品,55.8333,48.0,16.8,0.88,0.24,6124,482,621,525,17,True,20260901
黍-通行证,黍,通行证,55.8333,39.0,12.48,0.82,0.2,5415,379,554,474,16,True,20260901
黍-吧唧（徽章）,黍,吧唧（徽章）,55.8333,18.0,5.4,0.92,0.15,5907,511,656,570,13,True,20260901
黍-毛绒玩偶,黍,毛绒玩偶,55.8333,128.0,61.44,0.82,0.46,5957,458,738,586,30,True,20260901
黍-手办模玩,黍,手办模玩,55.8333,699.0,433.38,0.55,0.8,2690,174,278,202,15,True,20260901
黍-装饰摆件,黍,装饰摆件,55.8333,89.0,37.38,0.76,0.38,5139,397,598,485,24,True,20260901
黍-日用生活,黍,日用生活,55.8333,99.0,45.54,0.72,0.52,4615,376,579,452,25,True,20260901
Mon3tr-亚克力制品,Mon3tr,亚克力制品,54.4333,48.0,16.8,0.88,0.24,5020,452,673,569,19,True,20260901
Mon3tr-通行证,Mon3tr,通行证,54.4333,39.0,12.48,0.82,0.2,5137,386,510,436,11,True,20260901
Mon3tr-吧唧（徽章）,Mon3tr,吧唧（徽章）,54.4333,18.0,5.4,0.92,0.15,5337,431,605,525,10,True,20260901
Mon3tr-毛绒玩偶,Mon3tr,毛绒玩偶,54.4333,128.0,61.44,0.82,0.46,5025,377,547,434,27,True,20260901
Mon3tr-手办模玩,Mon3tr,手办模玩,54.4333,699.0,433.38,0.55,0.8,2885,195,332,241,18,True,20260901
Mon3tr-装饰摆件,Mon3tr,装饰摆件,54.4333,89.0,37.38,0.76,0.38,4684,373,562,456,18,True,20260901
Mon3tr-日用生活,Mon3tr,日用生活,54.4333,99.0,45.54,0.72,0.52,4755,315,453,354,18,True,20260901
重岳-亚克力制品,重岳,亚克力制品,52.5667,48.0,16.8,0.88,0.24,5033,358,506,428,22,True,20260901
重岳-通行证,重岳,通行证,52.5667,39.0,12.48,0.82,0.2,5350,450,652,558,18,True,20260901
重岳-吧唧（徽章）,重岳,吧唧（徽章）,52.5667,18.0,5.4,0.92,0.15,6191,539,756,656,11,True,20260901
重岳-毛绒玩偶,重岳,毛绒玩偶,52.5667,128.0,61.44,0.82,0.46,4465,261,342,272,13,True,20260901
重岳-手办模玩,重岳,手办模玩,52.5667,699.0,433.38,0.55,0.8,3013,172,293,213,17,True,20260901
重岳-装饰摆件,重岳,装饰摆件,52.5667,89.0,37.38,0.76,0.38,4319,307,456,370,14,True,20260901
重岳-日用生活,重岳,日用生活,52.5667,99.0,45.54,0.72,0.52,4637,345,471,368,21,True,20260901
荒芜拉普兰德-亚克力制品,荒芜拉普兰德,亚克力制品,52.45,48.0,16.8,0.88,0.24,5869,510,639,540,19,True,20260901
荒芜拉普兰德-通行证,荒芜拉普兰德,通行证,52.45,39.0,12.48,0.82,0.2,5233,427,547,468,11,True,20260901
荒芜拉普兰德-吧唧（徽章）,荒芜拉普兰德,吧唧（徽章）,52.45,18.0,5.4,0.92,0.15,5623,467,628,545,13,True,20260901
荒芜拉普兰德-毛绒玩偶,荒芜拉普兰德,毛绒玩偶,52.45,128.0,61.44,0.82,0.46,4361,356,488,387,17,True,20260901
荒芜拉普兰德-手办模玩,荒芜拉普兰德,手办模玩,52.45,699.0,433.38,0.55,0.8,2719,173,304,221,19,True,20260901
荒芜拉普兰德-装饰摆件,荒芜拉普兰德,装饰摆件,52.45,89.0,37.38,0.76,0.38,4398,318,496,403,16,True,20260901
荒芜拉普兰德-日用生活,荒芜拉普兰德,日用生活,52.45,99.0,45.54,0.72,0.52,4770,356,535,418,25,True,20260901
望-亚克力制品,望,亚克力制品,52.1,48.0,16.8,0.88,0.24,4661,363,438,370,16,True,20260901
望-通行证,望,通行证,52.1,39.0,12.48,0.82,0.2,5113,381,581,497,16,True,20260901
望-吧唧（徽章）,望,吧唧（徽章）,52.1,18.0,5.4,0.92,0.15,5991,432,565,491,11,True,20260901
望-毛绒玩偶,望,毛绒玩偶,52.1,128.0,61.44,0.82,0.46,5582,463,708,562,26,True,20260901
望-手办模玩,望,手办模玩,52.1,699.0,433.38,0.55,0.8,3985,226,345,250,19,True,20260901
望-装饰摆件,望,装饰摆件,52.1,89.0,37.38,0.76,0.38,4472,363,527,428,23,True,20260901
望-日用生活,望,日用生活,52.1,99.0,45.54,0.72,0.52,3658,266,433,338,17,True,20260901
结城理-亚克力制品,结城理,亚克力制品,52.1,48.0,16.8,0.88,0.24,5094,389,586,495,19,True,20260901
结城理-通行证,结城理,通行证,52.1,39.0,12.48,0.82,0.2,4191,308,449,384,13,True,20260901
结城理-吧唧（徽章）,结城理,吧唧（徽章）,52.1,18.0,5.4,0.92,0.15,7029,610,817,709,22,True,20260901
结城理-毛绒玩偶,结城理,毛绒玩偶,52.1,128.0,61.44,0.82,0.46,5374,394,571,453,22,True,20260901
结城理-手办模玩,结城理,手办模玩,52.1,699.0,433.38,0.55,0.8,2895,213,317,230,18,True,20260901
结城理-装饰摆件,结城理,装饰摆件,52.1,89.0,37.38,0.76,0.38,4594,307,448,364,17,True,20260901
结城理-日用生活,结城理,日用生活,52.1,99.0,45.54,0.72,0.52,4437,321,523,408,24,True,20260901
缄默德克萨斯-亚克力制品,缄默德克萨斯,亚克力制品,51.05,48.0,16.8,0.88,0.24,6635,610,925,782,24,True,20260901
缄默德克萨斯-通行证,缄默德克萨斯,通行证,51.05,39.0,12.48,0.82,0.2,4496,369,563,482,15,True,20260901
缄默德克萨斯-吧唧（徽章）,缄默德克萨斯,吧唧（徽章）,51.05,18.0,5.4,0.92,0.15,5437,442,590,512,13,True,20260901
缄默德克萨斯-毛绒玩偶,缄默德克萨斯,毛绒玩偶,51.05,128.0,61.44,0.82,0.46,4410,342,494,392,19,True,20260901
缄默德克萨斯-手办模玩,缄默德克萨斯,手办模玩,51.05,699.0,433.38,0.55,0.8,2989,219,383,278,20,True,20260901
缄默德克萨斯-装饰摆件,缄默德克萨斯,装饰摆件,51.05,89.0,37.38,0.76,0.38,4433,332,515,418,19,True,20260901
缄默德克萨斯-日用生活,缄默德克萨斯,日用生活,51.05,99.0,45.54,0.72,0.52,4778,387,573,447,23,True,20260901
死芒-亚克力制品,死芒,亚克力制品,49.65,48.0,16.8,0.88,0.24,5383,424,588,497,21,True,20260901
死芒-通行证,死芒,通行证,49.65,39.0,12.48,0.82,0.2,4643,382,533,456,16,True,20260901
死芒-吧唧（徽章）,死芒,吧唧（徽章）,49.65,18.0,5.4,0.92,0.15,4951,408,473,411,12,True,20260901
死芒-毛绒玩偶,死芒,毛绒玩偶,49.65,128.0,61.44,0.82,0.46,4881,366,595,472,25,True,20260901
死芒-手办模玩,死芒,手办模玩,49.65,699.0,433.38,0.55,0.8,3792,257,405,294,24,True,20260901
死芒-装饰摆件,死芒,装饰摆件,49.65,89.0,37.38,0.76,0.38,4437,282,434,352,19,True,20260901
死芒-日用生活,死芒,日用生活,49.65,99.0,45.54,0.72,0.52,5187,366,591,461,22,True,20260901
真言-亚克力制品,真言,亚克力制品,49.4167,48.0,16.8,0.88,0.24,5825,470,716,605,23,True,20260901
真言-通行证,真言,通行证,49.4167,39.0,12.48,0.82,0.2,4504,343,459,393,14,True,20260901
真言-吧唧（徽章）,真言,吧唧（徽章）,49.4167,18.0,5.4,0.92,0.15,6056,439,568,493,15,True,20260901
真言-毛绒玩偶,真言,毛绒玩偶,49.4167,128.0,61.44,0.82,0.46,4579,351,519,412,22,True,20260901
真言-手办模玩,真言,手办模玩,49.4167,699.0,433.38,0.55,0.8,3540,230,385,279,20,True,20260901
真言-装饰摆件,真言,装饰摆件,49.4167,89.0,37.38,0.76,0.38,4321,310,479,389,17,True,20260901
真言-日用生活,真言,日用生活,49.4167,99.0,45.54,0.72,0.52,4568,277,379,296,14,True,20260901
缪尔赛思-亚克力制品,缪尔赛思,亚克力制品,48.95,48.0,16.8,0.88,0.24,5485,416,596,504,15,True,20260901
缪尔赛思-通行证,缪尔赛思,通行证,48.95,39.0,12.48,0.82,0.2,4934,370,463,396,14,True,20260901
缪尔赛思-吧唧（徽章）,缪尔赛思,吧唧（徽章）,48.95,18.0,5.4,0.92,0.15,5593,469,655,569,14,True,20260901
缪尔赛思-毛绒玩偶,缪尔赛思,毛绒玩偶,48.95,128.0,61.44,0.82,0.46,4910,359,552,438,19,True,20260901
缪尔赛思-手办模玩,缪尔赛思,手办模玩,48.95,699.0,433.38,0.55,0.8,4180,286,474,344,25,True,20260901
缪尔赛思-装饰摆件,缪尔赛思,装饰摆件,48.95,89.0,37.38,0.76,0.38,5356,420,648,526,26,True,20260901
缪尔赛思-日用生活,缪尔赛思,日用生活,48.95,99.0,45.54,0.72,0.52,4617,375,565,441,26,True,20260901
贝洛内-亚克力制品,贝洛内,亚克力制品,47.7833,48.0,16.8,0.88,0.24,5122,413,615,520,22,True,20260901
贝洛内-通行证,贝洛内,通行证,47.7833,39.0,12.48,0.82,0.2,5231,448,638,546,14,True,20260901
贝洛内-吧唧（徽章）,贝洛内,吧唧（徽章）,47.7833,18.0,5.4,0.92,0.15,3384,270,341,296,5,True,20260901
贝洛内-毛绒玩偶,贝洛内,毛绒玩偶,47.7833,128.0,61.44,0.82,0.46,5240,422,609,483,18,True,20260901
贝洛内-手办模玩,贝洛内,手办模玩,47.7833,699.0,433.38,0.55,0.8,2843,156,270,196,15,True,20260901
贝洛内-装饰摆件,贝洛内,装饰摆件,47.7833,89.0,37.38,0.76,0.38,5042,305,394,320,16,True,20260901
贝洛内-日用生活,贝洛内,日用生活,47.7833,99.0,45.54,0.72,0.52,4520,305,426,333,20,True,20260901
司霆惊蛰-亚克力制品,司霆惊蛰,亚克力制品,47.55,48.0,16.8,0.88,0.24,5022,381,499,422,16,True,20260901
司霆惊蛰-通行证,司霆惊蛰,通行证,47.55,39.0,12.48,0.82,0.2,5189,434,639,547,14,True,20260901
司霆惊蛰-吧唧（徽章）,司霆惊蛰,吧唧（徽章）,47.55,18.0,5.4,0.92,0.15,5169,461,580,504,15,True,20260901
司霆惊蛰-毛绒玩偶,司霆惊蛰,毛绒玩偶,47.55,128.0,61.44,0.82,0.46,4968,364,543,431,25,True,20260901
司霆惊蛰-手办模玩,司霆惊蛰,手办模玩,47.55,699.0,433.38,0.55,0.8,4100,256,404,293,24,True,20260901
司霆惊蛰-装饰摆件,司霆惊蛰,装饰摆件,47.55,89.0,37.38,0.76,0.38,3691,275,358,291,14,True,20260901
司霆惊蛰-日用生活,司霆惊蛰,日用生活,47.55,99.0,45.54,0.72,0.52,4032,320,451,352,20,True,20260901
余-亚克力制品,余,亚克力制品,46.7333,48.0,16.8,0.88,0.24,5164,406,596,504,14,True,20260901
余-通行证,余,通行证,46.7333,39.0,12.48,0.82,0.2,4837,366,479,410,16,True,20260901
余-吧唧（徽章）,余,吧唧（徽章）,46.7333,18.0,5.4,0.92,0.15,5243,411,594,516,13,True,20260901
余-毛绒玩偶,余,毛绒玩偶,46.7333,128.0,61.44,0.82,0.46,4664,337,523,415,23,True,20260901
余-手办模玩,余,手办模玩,46.7333,699.0,433.38,0.55,0.8,2692,156,259,188,15,True,20260901
余-装饰摆件,余,装饰摆件,46.7333,89.0,37.38,0.76,0.38,4149,319,499,405,17,True,20260901
余-日用生活,余,日用生活,46.7333,99.0,45.54,0.72,0.52,4576,309,476,372,21,True,20260901
酒神-亚克力制品,酒神,亚克力制品,46.15,48.0,16.8,0.88,0.24,5258,464,603,510,13,True,20260901
酒神-通行证,酒神,通行证,46.15,39.0,12.48,0.82,0.2,4926,421,567,485,11,True,20260901
酒神-吧唧（徽章）,酒神,吧唧（徽章）,46.15,18.0,5.4,0.92,0.15,4155,353,519,451,8,True,20260901
酒神-毛绒玩偶,酒神,毛绒玩偶,46.15,128.0,61.44,0.82,0.46,4221,324,470,373,21,True,20260901
酒神-手办模玩,酒神,手办模玩,46.15,699.0,433.38,0.55,0.8,3669,268,411,298,23,True,20260901
酒神-装饰摆件,酒神,装饰摆件,46.15,89.0,37.38,0.76,0.38,4899,356,517,420,19,True,20260901
酒神-日用生活,酒神,日用生活,46.15,99.0,45.54,0.72,0.52,4909,413,598,467,31,True,20260901
斩业星熊-亚克力制品,斩业星熊,亚克力制品,45.581,48.0,16.8,0.88,0.24,4419,345,488,413,14,True,20260901
斩业星熊-通行证,斩业星熊,通行证,45.581,39.0,12.48,0.82,0.2,4334,305,362,310,12,True,20260901
斩业星熊-吧唧（徽章）,斩业星熊,吧唧（徽章）,45.581,18.0,5.4,0.92,0.15,6214,492,732,636,23,True,20260901
斩业星熊-毛绒玩偶,斩业星熊,毛绒玩偶,45.581,128.0,61.44,0.82,0.46,5413,350,534,424,27,True,20260901
斩业星熊-手办模玩,斩业星熊,手办模玩,45.581,699.0,433.38,0.55,0.8,3085,212,340,247,21,True,20260901
斩业星熊-装饰摆件,斩业星熊,装饰摆件,45.581,89.0,37.38,0.76,0.38,3546,223,320,260,14,True,20260901
斩业星熊-日用生活,斩业星熊,日用生活,45.581,99.0,45.54,0.72,0.52,4076,260,414,323,19,True,20260901
怒潮凛冬-亚克力制品,怒潮凛冬,亚克力制品,40.9,48.0,16.8,0.88,0.24,4377,357,558,472,12,True,20260901
怒潮凛冬-通行证,怒潮凛冬,通行证,40.9,39.0,12.48,0.82,0.2,3553,245,320,274,9,True,20260901
怒潮凛冬-吧唧（徽章）,怒潮凛冬,吧唧（徽章）,40.9,18.0,5.4,0.92,0.15,5371,402,500,434,7,True,20260901
怒潮凛冬-毛绒玩偶,怒潮凛冬,毛绒玩偶,40.9,128.0,61.44,0.82,0.46,5297,469,692,549,32,True,20260901
怒潮凛冬-手办模玩,怒潮凛冬,手办模玩,40.9,699.0,433.38,0.55,0.8,3148,201,292,212,16,True,20260901
怒潮凛冬-装饰摆件,怒潮凛冬,装饰摆件,40.9,89.0,37.38,0.76,0.38,3952,322,479,389,16,True,20260901
怒潮凛冬-日用生活,怒潮凛冬,日用生活,40.9,99.0,45.54,0.72,0.52,4682,309,465,363,19,True,20260901
塑心-亚克力制品,塑心,亚克力制品,40.9,48.0,16.8,0.88,0.24,5733,465,595,503,16,True,20260901
塑心-通行证,塑心,通行证,40.9,39.0,12.48,0.82,0.2,4160,312,386,330,11,True,20260901
塑心-吧唧（徽章）,塑心,吧唧（徽章）,40.9,18.0,5.4,0.92,0.15,5020,416,553,480,10,True,20260901
塑心-毛绒玩偶,塑心,毛绒玩偶,40.9,128.0,61.44,0.82,0.46,4443,399,558,443,24,True,20260901
塑心-手办模玩,塑心,手办模玩,40.9,699.0,433.38,0.55,0.8,3384,211,372,270,24,True,20260901
塑心-装饰摆件,塑心,装饰摆件,40.9,89.0,37.38,0.76,0.38,4164,278,401,326,15,True,20260901
塑心-日用生活,塑心,日用生活,40.9,99.0,45.54,0.72,0.52,4283,334,542,423,27,True,20260901
佩佩-亚克力制品,佩佩,亚克力制品,40.7833,48.0,16.8,0.88,0.24,5179,346,451,381,12,True,20260901
佩佩-通行证,佩佩,通行证,40.7833,39.0,12.48,0.82,0.2,4122,291,420,359,9,True,20260901
佩佩-吧唧（徽章）,佩佩,吧唧（徽章）,40.7833,18.0,5.4,0.92,0.15,4265,388,545,473,13,True,20260901
佩佩-毛绒玩偶,佩佩,毛绒玩偶,40.7833,128.0,61.44,0.82,0.46,4003,306,484,384,19,True,20260901
佩佩-手办模玩,佩佩,手办模玩,40.7833,699.0,433.38,0.55,0.8,3029,171,295,214,17,True,20260901
佩佩-装饰摆件,佩佩,装饰摆件,40.7833,89.0,37.38,0.76,0.38,4219,325,500,406,14,True,20260901
佩佩-日用生活,佩佩,日用生活,40.7833,99.0,45.54,0.72,0.52,3082,243,419,327,18,True,20260901
娜斯提-亚克力制品,娜斯提,亚克力制品,38.6833,48.0,16.8,0.88,0.24,4557,389,608,514,19,True,20260901
娜斯提-通行证,娜斯提,通行证,38.6833,39.0,12.48,0.82,0.2,4193,318,480,411,12,True,20260901
娜斯提-吧唧（徽章）,娜斯提,吧唧（徽章）,38.6833,18.0,5.4,0.92,0.15,5125,463,594,516,15,True,20260901
娜斯提-毛绒玩偶,娜斯提,毛绒玩偶,38.6833,128.0,61.44,0.82,0.46,5124,362,604,479,20,True,20260901
娜斯提-手办模玩,娜斯提,手办模玩,38.6833,699.0,433.38,0.55,0.8,2986,183,293,213,17,True,20260901
娜斯提-装饰摆件,娜斯提,装饰摆件,38.6833,89.0,37.38,0.76,0.38,3804,315,472,383,16,True,20260901
娜斯提-日用生活,娜斯提,日用生活,38.6833,99.0,45.54,0.72,0.52,4194,311,501,391,22,True,20260901
谬因-亚克力制品,谬因,亚克力制品,37.6333,48.0,16.8,0.88,0.24,3883,285,420,355,12,True,20260901
谬因-通行证,谬因,通行证,37.6333,39.0,12.48,0.82,0.2,4444,334,452,387,14,True,20260901
谬因-吧唧（徽章）,谬因,吧唧（徽章）,37.6333,18.0,5.4,0.92,0.15,4539,327,406,353,6,True,20260901
谬因-毛绒玩偶,谬因,毛绒玩偶,37.6333,128.0,61.44,0.82,0.46,4424,371,533,423,22,True,20260901
谬因-手办模玩,谬因,手办模玩,37.6333,699.0,433.38,0.55,0.8,2727,157,278,202,15,True,20260901
谬因-装饰摆件,谬因,装饰摆件,37.6333,89.0,37.38,0.76,0.38,3228,252,366,297,14,True,20260901
谬因-日用生活,谬因,日用生活,37.6333,99.0,45.54,0.72,0.52,4200,290,434,339,17,True,20260901
缇缇-亚克力制品,缇缇,亚克力制品,32.7333,48.0,16.8,0.88,0.24,4253,299,446,377,13,True,20260901
缇缇-通行证,缇缇,通行证,32.7333,39.0,12.48,0.82,0.2,4101,317,432,370,16,True,20260901
缇缇-吧唧（徽章）,缇缇,吧唧（徽章）,32.7333,18.0,5.4,0.92,0.15,5153,393,517,449,16,True,20260901
缇缇-毛绒玩偶,缇缇,毛绒玩偶,32.7333,128.0,61.44,0.82,0.46,4443,336,544,432,23,True,20260901
缇缇-手办模玩,缇缇,手办模玩,32.7333,699.0,433.38,0.55,0.8,2677,135,231,168,14,True,20260901
缇缇-装饰摆件,缇缇,装饰摆件,32.7333,89.0,37.38,0.76,0.38,3042,193,282,229,7,True,20260901
缇缇-日用生活,缇缇,日用生活,32.7333,99.0,45.54,0.72,0.52,3038,190,285,223,14,True,20260901
