operator,category,respondent_count,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,good_value_price_median,expensive_price_median,too_expensive_price_median,directional_price_floor,directional_price_ceiling
凯尔希,装饰摆件,1,150.0,150.0,150.0,150.5,,,150.5,150.0
塞雷娅,装饰摆件,1,150.0,150.0,150.0,75.5,,,75.5,150.0
斯卡蒂,装饰摆件,1,150.0,150.0,150.0,50.0,,,50.0,150.0
泥岩,日用生活,1,150.0,150.0,150.0,50.0,,,50.0,150.0
浊心斯卡蒂,毛绒玩偶,1,150.0,150.0,150.0,115.5,,,115.5,150.0
煌,毛绒玩偶,1,150.0,150.0,150.0,312.5,,,312.5,150.0
维什戴尔,装饰摆件,1,150.0,150.0,150.0,75.5,,,75.5,150.0
艾雅法拉,日用生活,1,150.0,150.0,150.0,50.0,,,50.0,150.0
铃兰,毛绒玩偶,1,150.0,150.0,150.0,115.5,,,115.5,150.0
陈,亚克力制品,1,150.0,150.0,150.0,30.0,,,30.0,150.0
W,亚克力制品,1,120.0,120.0,120.0,100.0,,,100.0,120.0
塞雷娅,亚克力制品,1,120.0,120.0,120.0,100.0,,,100.0,120.0
斯卡蒂,亚克力制品,1,120.0,120.0,120.0,100.0,,,100.0,120.0
伊芙利特,亚克力制品,1,100.0,100.0,100.0,30.0,,,30.0,100.0
伊芙利特,日用生活,1,100.0,100.0,100.0,50.0,,,50.0,100.0
塞雷娅,通行证,1,100.0,100.0,100.0,50.5,,,50.5,100.0
夕,日用生活,1,100.0,100.0,100.0,75.5,,,75.5,100.0
夕,装饰摆件,1,100.0,100.0,100.0,150.5,,,150.5,100.0
夜莺,亚克力制品,1,100.0,100.0,100.0,40.5,,,40.5,100.0
棘刺,日用生活,1,100.0,100.0,100.0,50.0,,,50.0,100.0
棘刺,装饰摆件,1,100.0,100.0,100.0,75.5,,,75.5,100.0
温蒂,亚克力制品,1,100.0,100.0,100.0,30.0,,,30.0,100.0
温蒂,日用生活,1,100.0,100.0,100.0,150.5,,,150.5,100.0
煌,亚克力制品,1,100.0,100.0,100.0,65.5,,,65.5,100.0
玛恩纳,装饰摆件,1,100.0,100.0,100.0,150.5,,,150.5,100.0
铃兰,日用生活,1,100.0,100.0,100.0,50.0,,,50.0,100.0
霍尔海雅,装饰摆件,1,100.0,100.0,100.0,50.0,,,50.0,100.0
伊芙利特,通行证,1,80.0,80.0,80.0,20.0,,,20.0,80.0
凯尔希,通行证,1,80.0,80.0,80.0,20.0,,,20.0,80.0
斯卡蒂,通行证,1,80.0,80.0,80.0,30.5,,,30.5,80.0
铃兰,亚克力制品,1,80.0,80.0,80.0,40.5,,,40.5,80.0
霍尔海雅,通行证,1,80.0,80.0,80.0,30.5,,,30.5,80.0
黍,通行证,1,80.0,80.0,80.0,30.5,,,30.5,80.0
W,通行证,1,60.0,60.0,60.0,30.5,,,30.5,60.0
凯尔希,亚克力制品,1,60.0,60.0,60.0,40.5,,,40.5,60.0
幽灵鲨,吧唧（徽章）,1,60.0,60.0,60.0,15.0,,,15.0,60.0
泥岩,亚克力制品,1,60.0,60.0,60.0,65.5,,,65.5,60.0
阿米娅,吧唧（徽章）,1,60.0,60.0,60.0,30.5,,,30.5,60.0
霍尔海雅,亚克力制品,1,60.0,60.0,60.0,40.5,,,40.5,60.0
夜莺,吧唧（徽章）,1,50.0,50.0,50.0,30.5,,,30.5,50.0
浊心斯卡蒂,吧唧（徽章）,1,50.0,50.0,50.0,15.0,,,15.0,50.0
浊心斯卡蒂,通行证,1,50.0,50.0,50.0,30.5,,,30.5,50.0
能天使,通行证,1,50.0,50.0,50.0,20.0,,,20.0,50.0
诗怀雅,吧唧（徽章）,1,50.0,50.0,50.0,30.5,,,30.5,50.0
煌,吧唧（徽章）,1,40.0,40.0,40.0,45.0,,,45.0,40.0
温蒂,吧唧（徽章）,1,30.0,30.0,30.0,20.5,,,20.5,30.0
