po_id,supplier_id,sku_id,order_date,expected_date,received_date,quantity_ordered,quantity_received,unit_purchase_cost,purchase_amount,purchase_status,is_simulated,simulation_seed
PO-000039,SUP-LIFESTYLE-01,予愿安洁莉娜-日用生活,2026-06-22,2026-07-22,2026-07-29,24,24,45.54,1092.96,received,True,20260903
PO-000040,SUP-ACRYLIC-01,维娜·维多利亚-亚克力制品,2026-06-19,2026-07-07,2026-07-07,24,24,16.8,403.2,received,True,20260903
PO-000041,SUP-ACRYLIC-01,维娜·维多利亚-亚克力制品,2026-07-29,2026-08-16,2026-08-16,24,24,16.8,403.2,received,True,20260903
PO-000042,SUP-PRINT-01,维娜·维多利亚-通行证,2026-06-19,2026-07-03,2026-07-03,24,24,12.48,299.52,received,True,20260903
PO-000043,SUP-PRINT-01,维娜·维多利亚-通行证,2026-07-26,2026-08-09,2026-08-13,24,24,12.48,299.52,received,True,20260903
PO-000044,SUP-METAL-01,维娜·维多利亚-吧唧（徽章）,2026-06-16,2026-06-28,2026-06-28,24,24,5.4,129.6,received,True,20260903
PO-000045,SUP-METAL-01,维娜·维多利亚-吧唧（徽章）,2026-07-22,2026-08-03,2026-08-03,24,24,5.4,129.6,received,True,20260903
PO-000046,SUP-PLUSH-01,维娜·维多利亚-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,28,28,61.44,1720.32,received,True,20260903
PO-000047,SUP-PLUSH-01,维娜·维多利亚-毛绒玩偶,2026-08-16,2026-09-25,,29,0,61.44,1781.76,open,True,20260903
PO-000048,SUP-FIGURE-01,维娜·维多利亚-手办模玩,2026-06-19,2026-09-17,,55,0,433.38,23835.9,open,True,20260903
PO-000049,SUP-DECOR-01,维娜·维多利亚-装饰摆件,2026-06-17,2026-07-12,2026-07-12,24,24,37.38,897.12,received,True,20260903
PO-000050,SUP-DECOR-01,维娜·维多利亚-装饰摆件,2026-07-28,2026-08-22,2026-08-22,24,23,37.38,897.12,received,True,20260903
PO-000051,SUP-LIFESTYLE-01,维娜·维多利亚-日用生活,2026-06-21,2026-07-21,2026-07-21,24,22,45.54,1092.96,received,True,20260903
PO-000052,SUP-LIFESTYLE-01,维娜·维多利亚-日用生活,2026-08-12,2026-09-11,,24,0,45.54,1092.96,open,True,20260903
PO-000053,SUP-ACRYLIC-01,纯烬艾雅法拉-亚克力制品,2026-06-25,2026-07-13,2026-07-13,24,24,16.8,403.2,received,True,20260903
PO-000054,SUP-ACRYLIC-01,纯烬艾雅法拉-亚克力制品,2026-08-17,2026-09-04,,24,0,16.8,403.2,open,True,20260903
PO-000055,SUP-PRINT-01,纯烬艾雅法拉-通行证,2026-06-16,2026-06-30,2026-06-30,24,24,12.48,299.52,received,True,20260903
PO-000056,SUP-PRINT-01,纯烬艾雅法拉-通行证,2026-08-11,2026-08-25,2026-08-25,24,24,12.48,299.52,received,True,20260903
PO-000057,SUP-METAL-01,纯烬艾雅法拉-吧唧（徽章）,2026-06-23,2026-07-05,2026-07-05,24,24,5.4,129.6,received,True,20260903
PO-000058,SUP-METAL-01,纯烬艾雅法拉-吧唧（徽章）,2026-08-10,2026-08-22,2026-08-22,24,24,5.4,129.6,received,True,20260903
PO-000059,SUP-PLUSH-01,纯烬艾雅法拉-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,28,28,61.44,1720.32,received,True,20260903
PO-000060,SUP-FIGURE-01,纯烬艾雅法拉-手办模玩,2026-06-18,2026-09-16,,56,0,433.38,24269.28,open,True,20260903
PO-000061,SUP-DECOR-01,纯烬艾雅法拉-装饰摆件,2026-06-14,2026-07-09,2026-07-09,24,24,37.38,897.12,received,True,20260903
PO-000062,SUP-DECOR-01,纯烬艾雅法拉-装饰摆件,2026-08-29,2026-09-23,,24,0,37.38,897.12,open,True,20260903
PO-000063,SUP-LIFESTYLE-01,纯烬艾雅法拉-日用生活,2026-06-08,2026-07-08,2026-07-09,24,24,45.54,1092.96,received,True,20260903
PO-000064,SUP-LIFESTYLE-01,纯烬艾雅法拉-日用生活,2026-07-27,2026-08-26,,24,0,45.54,1092.96,open,True,20260903
PO-000065,SUP-ACRYLIC-01,赤刃明霄陈-亚克力制品,2026-06-21,2026-07-09,2026-07-09,24,24,16.8,403.2,received,True,20260903
PO-000066,SUP-ACRYLIC-01,赤刃明霄陈-亚克力制品,2026-08-11,2026-08-29,,24,0,16.8,403.2,open,True,20260903
PO-000067,SUP-PRINT-01,赤刃明霄陈-通行证,2026-06-19,2026-07-03,2026-07-03,24,24,12.48,299.52,received,True,20260903
PO-000068,SUP-METAL-01,赤刃明霄陈-吧唧（徽章）,2026-06-11,2026-06-23,2026-06-23,24,24,5.4,129.6,received,True,20260903
PO-000069,SUP-METAL-01,赤刃明霄陈-吧唧（徽章）,2026-07-28,2026-08-09,2026-08-09,24,24,5.4,129.6,received,True,20260903
PO-000070,SUP-PLUSH-01,赤刃明霄陈-毛绒玩偶,2026-06-21,2026-07-31,2026-07-31,29,29,61.44,1781.76,received,True,20260903
PO-000071,SUP-FIGURE-01,赤刃明霄陈-手办模玩,2026-06-18,2026-09-16,,55,0,433.38,23835.9,open,True,20260903
PO-000072,SUP-DECOR-01,赤刃明霄陈-装饰摆件,2026-06-15,2026-07-10,2026-07-10,24,24,37.38,897.12,received,True,20260903
PO-000073,SUP-DECOR-01,赤刃明霄陈-装饰摆件,2026-08-19,2026-09-13,,24,0,37.38,897.12,open,True,20260903
PO-000074,SUP-LIFESTYLE-01,赤刃明霄陈-日用生活,2026-06-21,2026-07-21,2026-07-21,26,26,45.54,1184.04,received,True,20260903
PO-000075,SUP-LIFESTYLE-01,赤刃明霄陈-日用生活,2026-08-06,2026-09-05,,24,0,45.54,1092.96,open,True,20260903
PO-000076,SUP-ACRYLIC-01,焰狐龙梓兰-亚克力制品,2026-06-17,2026-07-05,2026-07-05,24,24,16.8,403.2,received,True,20260903
PO-000077,SUP-ACRYLIC-01,焰狐龙梓兰-亚克力制品,2026-07-31,2026-08-18,2026-08-18,24,24,16.8,403.2,received,True,20260903
PO-000078,SUP-PRINT-01,焰狐龙梓兰-通行证,2026-06-20,2026-07-04,2026-07-04,24,24,12.48,299.52,received,True,20260903
PO-000079,SUP-METAL-01,焰狐龙梓兰-吧唧（徽章）,2026-06-22,2026-07-04,2026-07-04,24,24,5.4,129.6,received,True,20260903
PO-000080,SUP-PLUSH-01,焰狐龙梓兰-毛绒玩偶,2026-06-14,2026-07-24,2026-07-24,27,27,61.44,1658.88,received,True,20260903
PO-000081,SUP-PLUSH-01,焰狐龙梓兰-毛绒玩偶,2026-08-27,2026-10-06,,27,0,61.44,1658.88,open,True,20260903
PO-000082,SUP-FIGURE-01,焰狐龙梓兰-手办模玩,2026-07-05,2026-10-03,,55,0,433.38,23835.9,open,True,20260903
PO-000083,SUP-DECOR-01,焰狐龙梓兰-装饰摆件,2026-06-11,2026-07-06,2026-07-10,24,24,37.38,897.12,received,True,20260903
PO-000084,SUP-DECOR-01,焰狐龙梓兰-装饰摆件,2026-07-25,2026-08-19,2026-08-19,24,24,37.38,897.12,received,True,20260903
PO-000085,SUP-LIFESTYLE-01,焰狐龙梓兰-日用生活,2026-06-23,2026-07-23,2026-07-23,24,24,45.54,1092.96,received,True,20260903
PO-000086,SUP-LIFESTYLE-01,焰狐龙梓兰-日用生活,2026-08-03,2026-09-02,,26,0,45.54,1184.04,open,True,20260903
PO-000087,SUP-ACRYLIC-01,凛御银灰-亚克力制品,2026-06-20,2026-07-08,2026-07-08,24,24,16.8,403.2,received,True,20260903
PO-000088,SUP-ACRYLIC-01,凛御银灰-亚克力制品,2026-08-24,2026-09-11,,24,0,16.8,403.2,open,True,20260903
PO-000089,SUP-PRINT-01,凛御银灰-通行证,2026-06-22,2026-07-06,2026-07-06,24,24,12.48,299.52,received,True,20260903
PO-000090,SUP-METAL-01,凛御银灰-吧唧（徽章）,2026-07-10,2026-07-22,2026-07-22,24,24,5.4,129.6,received,True,20260903
PO-000091,SUP-METAL-01,凛御银灰-吧唧（徽章）,2026-08-08,2026-08-20,2026-08-20,24,24,5.4,129.6,received,True,20260903
PO-000092,SUP-PLUSH-01,凛御银灰-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,28,28,61.44,1720.32,received,True,20260903
PO-000093,SUP-PLUSH-01,凛御银灰-毛绒玩偶,2026-08-02,2026-09-11,,28,0,61.44,1720.32,open,True,20260903
PO-000094,SUP-FIGURE-01,凛御银灰-手办模玩,2026-06-28,2026-09-26,,54,0,433.38,23402.52,open,True,20260903
PO-000095,SUP-DECOR-01,凛御银灰-装饰摆件,2026-06-16,2026-07-11,2026-07-11,24,24,37.38,897.12,received,True,20260903
PO-000096,SUP-DECOR-01,凛御银灰-装饰摆件,2026-07-26,2026-08-20,2026-08-23,24,24,37.38,897.12,received,True,20260903
PO-000097,SUP-LIFESTYLE-01,凛御银灰-日用生活,2026-06-23,2026-07-23,2026-07-27,24,24,45.54,1092.96,received,True,20260903
PO-000098,SUP-LIFESTYLE-01,凛御银灰-日用生活,2026-07-27,2026-08-26,2026-08-26,24,24,45.54,1092.96,received,True,20260903
PO-000099,SUP-LIFESTYLE-01,凛御银灰-日用生活,2026-08-28,2026-09-27,,24,0,45.54,1092.96,open,True,20260903
PO-000100,SUP-ACRYLIC-01,归溟幽灵鲨-亚克力制品,2026-06-11,2026-06-29,2026-06-29,24,24,16.8,403.2,received,True,20260903
PO-000101,SUP-ACRYLIC-01,归溟幽灵鲨-亚克力制品,2026-07-28,2026-08-15,2026-08-15,24,24,16.8,403.2,received,True,20260903
PO-000102,SUP-ACRYLIC-01,归溟幽灵鲨-亚克力制品,2026-08-23,2026-09-10,,24,0,16.8,403.2,open,True,20260903
PO-000103,SUP-PRINT-01,归溟幽灵鲨-通行证,2026-06-21,2026-07-05,2026-07-05,24,24,12.48,299.52,received,True,20260903
PO-000104,SUP-PRINT-01,归溟幽灵鲨-通行证,2026-07-30,2026-08-13,2026-08-13,24,24,12.48,299.52,received,True,20260903
PO-000105,SUP-METAL-01,归溟幽灵鲨-吧唧（徽章）,2026-06-23,2026-07-05,2026-07-05,24,24,5.4,129.6,received,True,20260903
PO-000106,SUP-METAL-01,归溟幽灵鲨-吧唧（徽章）,2026-07-30,2026-08-11,2026-08-11,24,24,5.4,129.6,received,True,20260903
PO-000107,SUP-PLUSH-01,归溟幽灵鲨-毛绒玩偶,2026-06-18,2026-07-28,2026-07-28,27,27,61.44,1658.88,received,True,20260903
PO-000108,SUP-PLUSH-01,归溟幽灵鲨-毛绒玩偶,2026-08-11,2026-09-20,,27,0,61.44,1658.88,open,True,20260903
PO-000109,SUP-FIGURE-01,归溟幽灵鲨-手办模玩,2026-06-15,2026-09-13,,55,0,433.38,23835.9,open,True,20260903
PO-000110,SUP-DECOR-01,归溟幽灵鲨-装饰摆件,2026-06-23,2026-07-18,2026-07-18,24,24,37.38,897.12,received,True,20260903
PO-000111,SUP-DECOR-01,归溟幽灵鲨-装饰摆件,2026-08-01,2026-08-26,2026-08-26,24,24,37.38,897.12,received,True,20260903
PO-000112,SUP-LIFESTYLE-01,归溟幽灵鲨-日用生活,2026-06-25,2026-07-25,2026-07-25,24,24,45.54,1092.96,received,True,20260903
PO-000113,SUP-ACRYLIC-01,黍-亚克力制品,2026-06-18,2026-07-06,2026-07-06,24,24,16.8,403.2,received,True,20260903
PO-000114,SUP-ACRYLIC-01,黍-亚克力制品,2026-07-26,2026-08-13,2026-08-13,24,24,16.8,403.2,received,True,20260903
PO-000115,SUP-PRINT-01,黍-通行证,2026-06-12,2026-06-26,2026-06-26,24,24,12.48,299.52,received,True,20260903
PO-000116,SUP-PRINT-01,黍-通行证,2026-08-08,2026-08-22,2026-08-26,24,24,12.48,299.52,received,True,20260903
PO-000117,SUP-METAL-01,黍-吧唧（徽章）,2026-06-08,2026-06-20,2026-06-20,24,24,5.4,129.6,received,True,20260903
PO-000118,SUP-METAL-01,黍-吧唧（徽章）,2026-07-31,2026-08-12,2026-08-12,24,24,5.4,129.6,received,True,20260903
PO-000119,SUP-PLUSH-01,黍-毛绒玩偶,2026-06-19,2026-07-29,2026-07-30,29,27,61.44,1781.76,received,True,20260903
PO-000120,SUP-PLUSH-01,黍-毛绒玩偶,2026-08-17,2026-09-26,,28,0,61.44,1720.32,open,True,20260903
PO-000121,SUP-FIGURE-01,黍-手办模玩,2026-06-27,2026-09-25,,55,0,433.38,23835.9,open,True,20260903
PO-000122,SUP-DECOR-01,黍-装饰摆件,2026-06-15,2026-07-10,2026-07-10,24,24,37.38,897.12,received,True,20260903
PO-000123,SUP-DECOR-01,黍-装饰摆件,2026-08-13,2026-09-07,,24,0,37.38,897.12,open,True,20260903
PO-000124,SUP-LIFESTYLE-01,黍-日用生活,2026-06-23,2026-07-23,2026-07-23,24,24,45.54,1092.96,received,True,20260903
PO-000125,SUP-LIFESTYLE-01,黍-日用生活,2026-08-19,2026-09-18,,24,0,45.54,1092.96,open,True,20260903
PO-000126,SUP-ACRYLIC-01,Mon3tr-亚克力制品,2026-06-12,2026-06-30,2026-06-30,24,24,16.8,403.2,received,True,20260903
PO-000127,SUP-ACRYLIC-01,Mon3tr-亚克力制品,2026-07-22,2026-08-09,2026-08-11,24,24,16.8,403.2,received,True,20260903
PO-000128,SUP-PRINT-01,Mon3tr-通行证,2026-06-15,2026-06-29,2026-06-29,24,24,12.48,299.52,received,True,20260903
PO-000129,SUP-PRINT-01,Mon3tr-通行证,2026-07-31,2026-08-14,2026-08-14,24,24,12.48,299.52,received,True,20260903
PO-000130,SUP-METAL-01,Mon3tr-吧唧（徽章）,2026-06-15,2026-06-27,2026-06-27,24,24,5.4,129.6,received,True,20260903
PO-000131,SUP-METAL-01,Mon3tr-吧唧（徽章）,2026-08-02,2026-08-14,2026-08-14,24,24,5.4,129.6,received,True,20260903
PO-000132,SUP-PLUSH-01,Mon3tr-毛绒玩偶,2026-06-23,2026-08-02,2026-08-02,26,26,61.44,1597.44,received,True,20260903
PO-000133,SUP-PLUSH-01,Mon3tr-毛绒玩偶,2026-08-14,2026-09-23,,26,0,61.44,1597.44,open,True,20260903
PO-000134,SUP-FIGURE-01,Mon3tr-手办模玩,2026-06-21,2026-09-19,,53,0,433.38,22969.14,open,True,20260903
PO-000135,SUP-DECOR-01,Mon3tr-装饰摆件,2026-06-18,2026-07-13,2026-07-13,24,24,37.38,897.12,received,True,20260903
PO-000136,SUP-DECOR-01,Mon3tr-装饰摆件,2026-08-03,2026-08-28,2026-08-28,24,24,37.38,897.12,received,True,20260903
PO-000137,SUP-LIFESTYLE-01,Mon3tr-日用生活,2026-06-20,2026-07-20,2026-07-20,24,24,45.54,1092.96,received,True,20260903
PO-000138,SUP-LIFESTYLE-01,Mon3tr-日用生活,2026-07-28,2026-08-27,2026-08-27,24,24,45.54,1092.96,received,True,20260903
PO-000139,SUP-ACRYLIC-01,重岳-亚克力制品,2026-06-16,2026-07-04,2026-07-04,24,24,16.8,403.2,received,True,20260903
PO-000140,SUP-ACRYLIC-01,重岳-亚克力制品,2026-08-02,2026-08-20,2026-08-20,24,21,16.8,403.2,received,True,20260903
PO-000141,SUP-PRINT-01,重岳-通行证,2026-06-17,2026-07-01,2026-07-01,24,24,12.48,299.52,received,True,20260903
PO-000142,SUP-PRINT-01,重岳-通行证,2026-08-08,2026-08-22,2026-08-22,24,24,12.48,299.52,received,True,20260903
PO-000143,SUP-METAL-01,重岳-吧唧（徽章）,2026-06-24,2026-07-06,2026-07-06,24,24,5.4,129.6,received,True,20260903
PO-000144,SUP-PLUSH-01,重岳-毛绒玩偶,2026-06-19,2026-07-29,2026-08-03,26,26,61.44,1597.44,received,True,20260903
PO-000145,SUP-PLUSH-01,重岳-毛绒玩偶,2026-08-22,2026-10-01,,26,0,61.44,1597.44,open,True,20260903
PO-000146,SUP-FIGURE-01,重岳-手办模玩,2026-06-23,2026-09-21,,55,0,433.38,23835.9,open,True,20260903
PO-000147,SUP-DECOR-01,重岳-装饰摆件,2026-06-14,2026-07-09,2026-07-09,24,24,37.38,897.12,received,True,20260903
PO-000148,SUP-DECOR-01,重岳-装饰摆件,2026-08-15,2026-09-09,,24,0,37.38,897.12,open,True,20260903
PO-000149,SUP-LIFESTYLE-01,重岳-日用生活,2026-06-21,2026-07-21,2026-07-27,24,24,45.54,1092.96,received,True,20260903
PO-000150,SUP-ACRYLIC-01,荒芜拉普兰德-亚克力制品,2026-06-19,2026-07-07,2026-07-07,24,24,16.8,403.2,received,True,20260903
PO-000151,SUP-ACRYLIC-01,荒芜拉普兰德-亚克力制品,2026-08-03,2026-08-21,2026-08-27,24,22,16.8,403.2,received,True,20260903
PO-000152,SUP-PRINT-01,荒芜拉普兰德-通行证,2026-06-29,2026-07-13,2026-07-13,24,24,12.48,299.52,received,True,20260903
PO-000153,SUP-PRINT-01,荒芜拉普兰德-通行证,2026-08-29,2026-09-12,,24,0,12.48,299.52,open,True,20260903
PO-000154,SUP-METAL-01,荒芜拉普兰德-吧唧（徽章）,2026-06-15,2026-06-27,2026-06-27,24,24,5.4,129.6,received,True,20260903
PO-000155,SUP-METAL-01,荒芜拉普兰德-吧唧（徽章）,2026-08-05,2026-08-17,2026-08-17,24,24,5.4,129.6,received,True,20260903
PO-000156,SUP-PLUSH-01,荒芜拉普兰德-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,26,26,61.44,1597.44,received,True,20260903
PO-000157,SUP-PLUSH-01,荒芜拉普兰德-毛绒玩偶,2026-08-06,2026-09-15,,26,0,61.44,1597.44,open,True,20260903
PO-000158,SUP-FIGURE-01,荒芜拉普兰德-手办模玩,2026-06-24,2026-09-22,,52,0,433.38,22535.76,open,True,20260903
PO-000159,SUP-DECOR-01,荒芜拉普兰德-装饰摆件,2026-06-16,2026-07-11,2026-07-11,24,24,37.38,897.12,received,True,20260903
PO-000160,SUP-DECOR-01,荒芜拉普兰德-装饰摆件,2026-08-04,2026-08-29,2026-08-29,24,24,37.38,897.12,received,True,20260903
PO-000161,SUP-LIFESTYLE-01,荒芜拉普兰德-日用生活,2026-06-18,2026-07-18,2026-07-18,24,24,45.54,1092.96,received,True,20260903
PO-000162,SUP-LIFESTYLE-01,荒芜拉普兰德-日用生活,2026-08-03,2026-09-02,,24,0,45.54,1092.96,open,True,20260903
PO-000163,SUP-ACRYLIC-01,望-亚克力制品,2026-06-16,2026-07-04,2026-07-04,24,24,16.8,403.2,received,True,20260903
PO-000164,SUP-ACRYLIC-01,望-亚克力制品,2026-07-25,2026-08-12,2026-08-12,24,24,16.8,403.2,received,True,20260903
PO-000165,SUP-PRINT-01,望-通行证,2026-06-19,2026-07-03,2026-07-03,24,24,12.48,299.52,received,True,20260903
PO-000166,SUP-METAL-01,望-吧唧（徽章）,2026-06-17,2026-06-29,2026-06-29,24,24,5.4,129.6,received,True,20260903
PO-000167,SUP-METAL-01,望-吧唧（徽章）,2026-07-26,2026-08-07,2026-08-07,24,24,5.4,129.6,received,True,20260903
PO-000168,SUP-PLUSH-01,望-毛绒玩偶,2026-06-18,2026-07-28,2026-07-28,26,26,61.44,1597.44,received,True,20260903
PO-000169,SUP-PLUSH-01,望-毛绒玩偶,2026-08-11,2026-09-20,,26,0,61.44,1597.44,open,True,20260903
PO-000170,SUP-FIGURE-01,望-手办模玩,2026-06-22,2026-09-20,,50,0,433.38,21669.0,open,True,20260903
PO-000171,SUP-DECOR-01,望-装饰摆件,2026-06-19,2026-07-14,2026-07-17,24,24,37.38,897.12,received,True,20260903
PO-000172,SUP-DECOR-01,望-装饰摆件,2026-08-06,2026-08-31,,24,0,37.38,897.12,open,True,20260903
PO-000173,SUP-LIFESTYLE-01,望-日用生活,2026-06-16,2026-07-16,2026-07-16,24,24,45.54,1092.96,received,True,20260903
PO-000174,SUP-LIFESTYLE-01,望-日用生活,2026-08-07,2026-09-06,,24,0,45.54,1092.96,open,True,20260903
PO-000175,SUP-ACRYLIC-01,结城理-亚克力制品,2026-06-15,2026-07-03,2026-07-03,24,22,16.8,403.2,received,True,20260903
PO-000176,SUP-ACRYLIC-01,结城理-亚克力制品,2026-07-14,2026-08-01,2026-08-01,24,24,16.8,403.2,received,True,20260903
PO-000177,SUP-PRINT-01,结城理-通行证,2026-07-12,2026-07-26,2026-08-02,24,24,12.48,299.52,received,True,20260903
PO-000178,SUP-METAL-01,结城理-吧唧（徽章）,2026-06-13,2026-06-25,2026-06-25,24,24,5.4,129.6,received,True,20260903
PO-000179,SUP-METAL-01,结城理-吧唧（徽章）,2026-07-27,2026-08-08,2026-08-10,24,24,5.4,129.6,received,True,20260903
PO-000180,SUP-PLUSH-01,结城理-毛绒玩偶,2026-06-13,2026-07-23,2026-07-23,26,26,61.44,1597.44,received,True,20260903
PO-000181,SUP-PLUSH-01,结城理-毛绒玩偶,2026-08-05,2026-09-14,,27,0,61.44,1658.88,open,True,20260903
PO-000182,SUP-FIGURE-01,结城理-手办模玩,2026-07-12,2026-10-10,,50,0,433.38,21669.0,open,True,20260903
PO-000183,SUP-DECOR-01,结城理-装饰摆件,2026-06-14,2026-07-09,2026-07-10,24,24,37.38,897.12,received,True,20260903
PO-000184,SUP-DECOR-01,结城理-装饰摆件,2026-08-05,2026-08-30,,24,0,37.38,897.12,open,True,20260903
PO-000185,SUP-LIFESTYLE-01,结城理-日用生活,2026-06-18,2026-07-18,2026-07-18,24,24,45.54,1092.96,received,True,20260903
PO-000186,SUP-ACRYLIC-01,缄默德克萨斯-亚克力制品,2026-06-13,2026-07-01,2026-07-05,24,24,16.8,403.2,received,True,20260903
PO-000187,SUP-ACRYLIC-01,缄默德克萨斯-亚克力制品,2026-07-28,2026-08-15,2026-08-15,24,24,16.8,403.2,received,True,20260903
PO-000188,SUP-PRINT-01,缄默德克萨斯-通行证,2026-06-24,2026-07-08,2026-07-08,24,24,12.48,299.52,received,True,20260903
PO-000189,SUP-METAL-01,缄默德克萨斯-吧唧（徽章）,2026-06-14,2026-06-26,2026-06-26,24,24,5.4,129.6,received,True,20260903
