candidate_id,candidate_rank,operator_category_rank,operator,base_operator,category,pilot_score,cross_platform_heat,commercial_heat_score,confidence_score,weighted_preference_score,mention_share,operator_rank,survey_role_score,respondent_count,buyer_share,purchase_intent_mean,high_intent_share,median_acceptable_price,median_preorder_days,category_intent_score,targeted_respondent_count,targeted_purchase_intent_mean,targeted_high_intent_share,targeted_acceptable_price_median,evidence_status,decision_note,data_type,is_simulated
CAND-022,22,4,凯尔希·思衡托,凯尔希,日用生活,56.14812675070028,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-023,23,1,荒芜拉普兰德,拉普兰德,毛绒玩偶,56.014450280112044,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-024,24,5,归溟幽灵鲨,幽灵鲨,装饰摆件,55.98469947735191,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,5,3.0,0.2,100.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-025,25,2,荒芜拉普兰德,拉普兰德,亚克力制品,55.755091991342,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-026,26,5,凯尔希·思衡托,凯尔希,装饰摆件,55.499223286875726,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,1,1.0,0.0,150.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-027,27,6,归溟幽灵鲨,幽灵鲨,吧唧（徽章）,55.33160714285714,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,1,3.0,0.0,60.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-028,28,3,荒芜拉普兰德,拉普兰德,手办模玩,55.035679824561406,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-029,29,4,荒芜拉普兰德,拉普兰德,日用生活,54.95562675070028,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,1,3.0,0.0,200.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-030,30,6,凯尔希·思衡托,凯尔希,吧唧（徽章）,54.84613095238095,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-031,31,7,归溟幽灵鲨,幽灵鲨,通行证,54.622678571428565,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-032,32,5,荒芜拉普兰德,拉普兰德,装饰摆件,54.30672328687573,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,2,4.0,0.5,350.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-033,33,7,凯尔希·思衡托,凯尔希,通行证,54.13720238095238,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,1,3.0,0.0,80.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-034,34,6,荒芜拉普兰德,拉普兰德,吧唧（徽章）,53.65363095238096,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-035,35,7,荒芜拉普兰德,拉普兰德,通行证,52.944702380952386,52.45,46.42857142857143,56.66666666666666,49.0,0.1111111111111111,11.0,65.625,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,3,3.333333333333333,0.3333333333333333,50.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-036,36,1,凛御银灰,银灰,毛绒玩偶,46.01450980392156,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-037,37,2,凛御银灰,银灰,亚克力制品,45.75515151515151,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-038,38,3,凛御银灰,银灰,手办模玩,45.035739348370925,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,1,3.0,0.0,1000.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-039,39,4,凛御银灰,银灰,日用生活,44.955686274509794,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,3,3.6666666666666665,0.3333333333333333,150.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-040,40,1,赤刃明霄陈,陈,毛绒玩偶,44.79638480392156,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,1,5.0,1.0,300.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-041,41,2,赤刃明霄陈,陈,亚克力制品,44.53702651515151,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,1,5.0,1.0,150.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-042,42,1,纯烬艾雅法拉,艾雅法拉,毛绒玩偶,44.5097181372549,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,1,3.0,0.0,300.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-043,43,5,凛御银灰,银灰,装饰摆件,44.30678281068524,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-044,44,2,纯烬艾雅法拉,艾雅法拉,亚克力制品,44.250359848484855,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-045,45,1,缪尔赛思,缪尔赛思,毛绒玩偶,43.896593137254904,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-046,46,3,赤刃明霄陈,陈,手办模玩,43.817614348370924,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,1,4.0,1.0,800.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-047,47,4,赤刃明霄陈,陈,日用生活,43.737561274509794,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,1,4.0,1.0,300.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-048,48,6,凛御银灰,银灰,吧唧（徽章）,43.65369047619047,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-049,49,2,缪尔赛思,缪尔赛思,亚克力制品,43.63723484848485,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-050,50,3,纯烬艾雅法拉,艾雅法拉,手办模玩,43.53094768170426,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,1,3.0,0.0,800.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-051,51,4,纯烬艾雅法拉,艾雅法拉,日用生活,43.45089460784314,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,1,3.0,0.0,150.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-052,52,5,赤刃明霄陈,陈,装饰摆件,43.08865781068524,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-053,53,7,凛御银灰,银灰,通行证,42.9447619047619,57.23333333333333,0.0,56.66666666666666,33.0,0.074074074074074,21.0,37.5,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-054,54,3,缪尔赛思,缪尔赛思,手办模玩,42.91782268170426,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,1,4.0,1.0,1000.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-055,55,4,缪尔赛思,缪尔赛思,日用生活,42.837769607843136,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-056,56,5,纯烬艾雅法拉,艾雅法拉,装饰摆件,42.80199114401859,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,1,3.0,0.0,400.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-057,57,6,赤刃明霄陈,陈,吧唧（徽章）,42.43556547619047,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-058,58,5,缪尔赛思,缪尔赛思,装饰摆件,42.18886614401858,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,4,2.75,0.0,225.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-059,59,6,纯烬艾雅法拉,艾雅法拉,吧唧（徽章）,42.148898809523814,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-060,60,1,黍,黍,毛绒玩偶,42.00888480392157,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,1,5.0,1.0,250.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-061,61,2,黍,黍,亚克力制品,41.749526515151516,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-062,62,7,赤刃明霄陈,陈,通行证,41.7266369047619,59.33333333333333,0.0,56.66666666666666,31.0,0.0699588477366255,23.0,29.6875,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-063,63,6,缪尔赛思,缪尔赛思,吧唧（徽章）,41.53577380952381,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,2,3.5,0.5,50.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-064,64,7,纯烬艾雅法拉,艾雅法拉,通行证,41.43997023809524,59.82380952380952,0.0,83.33333333333333,26.0,0.0534979423868312,27.0,17.1875,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-065,65,3,黍,黍,手办模玩,41.03011434837093,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-066,66,1,予愿安洁莉娜,安洁莉娜,毛绒玩偶,40.9928431372549,62.05238095238095,0.0,83.33333333333333,,,,0.0,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-067,67,4,黍,黍,日用生活,40.9500612745098,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-068,68,7,缪尔赛思,缪尔赛思,通行证,40.82684523809524,48.95,0.0,56.66666666666666,34.0,0.0699588477366255,20.0,40.625,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-069,69,2,予愿安洁莉娜,安洁莉娜,亚克力制品,40.73348484848485,62.05238095238095,0.0,83.33333333333333,,,,0.0,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-070,70,5,黍,黍,装饰摆件,40.30115781068525,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,1,3.0,0.0,400.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-071,71,3,予愿安洁莉娜,安洁莉娜,手办模玩,40.01407268170426,62.05238095238095,0.0,83.33333333333333,,,,0.0,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-072,72,4,予愿安洁莉娜,安洁莉娜,日用生活,39.93401960784313,62.05238095238095,0.0,83.33333333333333,,,,0.0,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-073,73,6,黍,黍,吧唧（徽章）,39.648065476190474,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-074,74,5,予愿安洁莉娜,安洁莉娜,装饰摆件,39.28511614401858,62.05238095238095,0.0,83.33333333333333,,,,0.0,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-075,75,7,黍,黍,通行证,38.9391369047619,55.833333333333336,0.0,56.66666666666666,27.0,0.0617283950617283,25.0,23.4375,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,1,5.0,1.0,80.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-076,76,6,予愿安洁莉娜,安洁莉娜,吧唧（徽章）,38.63202380952381,62.05238095238095,0.0,83.33333333333333,,,,0.0,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-077,77,7,予愿安洁莉娜,安洁莉娜,通行证,37.923095238095236,62.05238095238095,0.0,83.33333333333333,,,,0.0,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-078,78,1,维娜·维多利亚,维娜·维多利亚,毛绒玩偶,37.70117647058823,60.266666666666666,0.0,56.66666666666666,,,,0.0,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-079,79,2,维娜·维多利亚,维娜·维多利亚,亚克力制品,37.44181818181818,60.266666666666666,0.0,56.66666666666666,,,,0.0,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-080,80,1,焰狐龙梓兰,焰狐龙梓兰,毛绒玩偶,37.211176470588235,58.86666666666667,0.0,56.66666666666666,,,,0.0,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
