sku_id,operator,category,price,unit_cost,initial_stock,reorder_point,purchase_lead_time_days,sold_units,gross_sales,discount_amount,net_sales,cogs,return_units,refund_amount,average_inventory,ending_inventory,inbound_units,stockout_units,net_sales_after_refund,gross_profit,gross_margin_rate,return_rate,sell_through_rate,inventory_turnover,days_of_inventory,stockout_rate,inventory_status,recommended_action,is_simulated,simulation_seed
凯尔希·思衡托-毛绒玩偶,凯尔希·思衡托,毛绒玩偶,128.0,61.44,38,30,40,58,7424.0,262.40000000000003,7161.6,3563.52,1.0,128.0,21.977777777777778,11,30,0,7033.6,3470.0800000000004,0.4933575978161966,0.017241379310344827,0.8529411764705882,2.639029322548028,17.068965517241377,0.0,replenish_now,立即补货,True,20260903
凯尔希·思衡托-手办模玩,凯尔希·思衡托,手办模玩,699.0,433.38,71,60,90,48,33552.0,873.7500000000001,32678.25,20802.24,0.0,0.0,48.06666666666667,24,0,0,32678.25,11876.009999999998,0.36342245989304806,0.0,0.676056338028169,0.9986130374479889,45.0,0.0,replenish_now,立即补货,True,20260903
凯尔希·思衡托-装饰摆件,凯尔希·思衡托,装饰摆件,89.0,37.38,30,22,25,54,4806.0,195.8,4610.2,2018.5200000000002,3.0,178.0,21.766666666666666,25,46,0,4432.2,2413.6799999999994,0.544578313253012,0.05555555555555555,0.7105263157894737,2.4808575803981623,41.66666666666667,0.0,healthy,维持现有补货节奏,True,20260903
凯尔希·思衡托-日用生活,凯尔希·思衡托,日用生活,99.0,45.54,32,24,30,52,5148.0,178.20000000000002,4969.8,2368.08,3.0,198.0,18.266666666666666,32,48,0,4771.8,2403.7200000000003,0.5037344398340249,0.057692307692307696,0.65,2.8467153284671536,55.38461538461539,0.0,healthy,维持现有补货节奏,True,20260903
予愿安洁莉娜-亚克力制品,予愿安洁莉娜,亚克力制品,48.0,16.8,26,18,18,56,2688.0,69.6,2618.4,940.8000000000001,0.0,0.0,18.27777777777778,20,48,0,2618.4,1677.6,0.6406966086159486,0.0,0.7567567567567568,3.063829787234042,32.14285714285714,0.0,healthy,维持现有补货节奏,True,20260903
予愿安洁莉娜-通行证,予愿安洁莉娜,通行证,39.0,12.48,23,15,14,52,2028.0,48.75,1979.25,648.96,0.0,0.0,17.5,19,48,0,1979.25,1330.29,0.6721182266009852,0.0,0.7323943661971831,2.9714285714285715,32.88461538461539,0.0,healthy,维持现有补货节奏,True,20260903
予愿安洁莉娜-吧唧（徽章）,予愿安洁莉娜,吧唧（徽章）,18.0,5.4,22,14,12,36,648.0,31.5,616.5,194.4,0.0,0.0,19.488888888888887,35,48,0,616.5,422.1,0.6846715328467153,0.0,0.5142857142857142,1.847206385404789,87.5,0.0,healthy,维持现有补货节奏,True,20260903
予愿安洁莉娜-毛绒玩偶,予愿安洁莉娜,毛绒玩偶,128.0,61.44,36,28,40,47,6016.0,358.40000000000003,5657.6,2887.68,3.0,384.0,21.266666666666666,20,29,0,5273.6,2385.9200000000005,0.4524271844660195,0.06382978723404255,0.7230769230769231,2.2100313479623828,38.29787234042553,0.0,replenish_now,立即补货,True,20260903
予愿安洁莉娜-手办模玩,予愿安洁莉娜,手办模玩,699.0,433.38,65,55,90,43,30057.0,1223.25,28833.75,18635.34,4.0,2796.0,48.6,24,0,0,26037.75,7402.41,0.2842953020134228,0.09302325581395349,0.6615384615384615,0.8847736625514403,50.23255813953488,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
予愿安洁莉娜-装饰摆件,予愿安洁莉娜,装饰摆件,89.0,37.38,29,21,25,42,3738.0,164.65,3573.35,1569.96,1.0,0.0,19.41111111111111,34,46,0,3573.35,2003.3899999999999,0.5606475716064757,0.023809523809523808,0.56,2.163709215798512,72.85714285714286,0.0,healthy,维持现有补货节奏,True,20260903
予愿安洁莉娜-日用生活,予愿安洁莉娜,日用生活,99.0,45.54,31,23,30,31,3069.0,99.0,2970.0,1411.74,1.0,0.0,24.91111111111111,25,24,0,2970.0,1558.26,0.5246666666666666,0.03225806451612903,0.5636363636363636,1.2444246208742196,72.58064516129032,0.0,healthy,维持现有补货节奏,True,20260903
维娜·维多利亚-亚克力制品,维娜·维多利亚,亚克力制品,48.0,16.8,26,18,18,56,2688.0,148.8,2539.2,940.8000000000001,2.0,48.0,18.788888888888888,23,48,0,2491.2,1550.3999999999996,0.6223506743737957,0.03571428571428571,0.7567567567567568,2.980484920165583,36.964285714285715,0.0,healthy,维持现有补货节奏,True,20260903
维娜·维多利亚-通行证,维娜·维多利亚,通行证,39.0,12.48,23,15,14,50,1950.0,72.14999999999999,1877.85,624.0,3.0,78.0,16.633333333333333,24,48,0,1799.85,1175.85,0.6533044420368364,0.06,0.704225352112676,3.006012024048096,43.199999999999996,0.0,healthy,维持现有补货节奏,True,20260903
维娜·维多利亚-吧唧（徽章）,维娜·维多利亚,吧唧（徽章）,18.0,5.4,22,14,12,53,954.0,34.2,919.8000000000001,286.20000000000005,1.0,18.0,17.977777777777778,18,48,0,901.8000000000001,615.6,0.6826347305389221,0.018867924528301886,0.7571428571428571,2.9480840543881337,30.566037735849054,0.0,healthy,维持现有补货节奏,True,20260903
维娜·维多利亚-毛绒玩偶,维娜·维多利亚,毛绒玩偶,128.0,61.44,36,28,40,41,5248.0,204.8,5043.2,2519.04,2.0,256.0,24.066666666666666,24,28,0,4787.2,2268.16,0.47379679144385023,0.04878048780487805,0.640625,1.703601108033241,52.6829268292683,0.0,healthy,维持现有补货节奏,True,20260903
维娜·维多利亚-手办模玩,维娜·维多利亚,手办模玩,699.0,433.38,65,55,90,41,28659.0,1328.1000000000001,27330.9,17768.579999999998,3.0,2097.0,47.53333333333333,27,0,0,25233.9,7465.320000000003,0.2958448753462605,0.07317073170731707,0.6307692307692307,0.8625525946704067,59.26829268292683,0.0,replenish_now,立即补货,True,20260903
维娜·维多利亚-装饰摆件,维娜·维多利亚,装饰摆件,89.0,37.38,29,21,25,49,4361.0,137.95000000000002,4223.05,1831.6200000000001,1.0,89.0,20.455555555555556,29,47,0,4134.05,2302.4300000000003,0.5569429494079656,0.02040816326530612,0.6447368421052632,2.3954372623574143,53.26530612244898,0.0,healthy,维持现有补货节奏,True,20260903
维娜·维多利亚-日用生活,维娜·维多利亚,日用生活,99.0,45.54,31,23,30,34,3366.0,148.5,3217.5,1548.36,1.0,99.0,23.211111111111112,19,22,0,3118.5,1570.14,0.5034920634920635,0.029411764705882353,0.6415094339622641,1.4648157012924843,50.294117647058826,0.0,healthy,维持现有补货节奏,True,20260903
纯烬艾雅法拉-亚克力制品,纯烬艾雅法拉,亚克力制品,48.0,16.8,26,18,18,34,1632.0,31.2,1600.8,571.2,0.0,0.0,22.022222222222222,16,24,0,1600.8,1029.6,0.6431784107946027,0.0,0.68,1.5438950554994955,42.35294117647059,0.0,healthy,维持现有补货节奏,True,20260903
纯烬艾雅法拉-通行证,纯烬艾雅法拉,通行证,39.0,12.48,23,15,14,41,1599.0,68.25,1530.75,511.68,2.0,78.0,19.9,33,48,0,1452.75,941.0699999999999,0.6477852348993288,0.04878048780487805,0.5774647887323944,2.0603015075376883,72.4390243902439,0.0,healthy,维持现有补货节奏,True,20260903
纯烬艾雅法拉-吧唧（徽章）,纯烬艾雅法拉,吧唧（徽章）,18.0,5.4,22,14,12,40,720.0,27.0,693.0,216.0,0.0,0.0,19.366666666666667,30,48,0,693.0,477.0,0.6883116883116883,0.0,0.5714285714285714,2.065404475043029,67.5,0.0,healthy,维持现有补货节奏,True,20260903
纯烬艾雅法拉-毛绒玩偶,纯烬艾雅法拉,毛绒玩偶,128.0,61.44,36,28,40,32,4096.0,134.4,3961.6,1966.08,1.0,128.0,31.544444444444444,33,28,0,3833.6,1867.52,0.4871452420701169,0.03125,0.5,1.0144417048256429,92.8125,0.0,healthy,维持现有补货节奏,True,20260903
纯烬艾雅法拉-手办模玩,纯烬艾雅法拉,手办模玩,699.0,433.38,65,55,90,46,32154.0,1293.15,30860.85,19935.48,4.0,2796.0,41.75555555555555,24,0,0,28064.85,8129.369999999999,0.2896637608966376,0.08695652173913043,0.7076923076923077,1.101649813730708,46.95652173913044,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
纯烬艾雅法拉-装饰摆件,纯烬艾雅法拉,装饰摆件,89.0,37.38,29,21,25,33,2937.0,71.2,2865.7999999999997,1233.5400000000002,1.0,0.0,26.055555555555557,21,24,0,2865.7999999999997,1632.2599999999995,0.5695652173913043,0.030303030303030304,0.6226415094339622,1.2665245202558635,57.27272727272727,0.0,healthy,维持现有补货节奏,True,20260903
纯烬艾雅法拉-日用生活,纯烬艾雅法拉,日用生活,99.0,45.54,31,23,30,54,5346.0,242.55,5103.45,2459.16,4.0,297.0,18.655555555555555,5,24,0,4806.45,2347.29,0.4883625128733265,0.07407407407407407,0.9818181818181818,2.8945801072066706,8.333333333333334,0.0,replenish_now,立即补货,True,20260903
赤刃明霄陈-亚克力制品,赤刃明霄陈,亚克力制品,48.0,16.8,26,18,18,35,1680.0,50.4,1629.6,588.0,0.0,0.0,20.988888888888887,15,24,0,1629.6,1041.6,0.6391752577319587,0.0,0.7,1.667548967707782,38.57142857142857,0.0,healthy,维持现有补货节奏,True,20260903
赤刃明霄陈-通行证,赤刃明霄陈,通行证,39.0,12.48,23,15,14,32,1248.0,39.0,1209.0,399.36,0.0,0.0,21.92222222222222,18,24,0,1209.0,809.64,0.6696774193548387,0.0,0.6808510638297872,1.4597060314242272,50.625,0.0,healthy,维持现有补货节奏,True,20260903
赤刃明霄陈-吧唧（徽章）,赤刃明霄陈,吧唧（徽章）,18.0,5.4,22,14,12,50,900.0,27.0,873.0,270.0,2.0,36.0,20.522222222222222,24,48,0,837.0,567.0,0.6774193548387096,0.04,0.7142857142857143,2.4363833243096913,43.199999999999996,0.0,healthy,维持现有补货节奏,True,20260903
赤刃明霄陈-毛绒玩偶,赤刃明霄陈,毛绒玩偶,128.0,61.44,36,28,40,37,4736.0,211.20000000000002,4524.8,2273.2799999999997,3.0,256.0,27.68888888888889,30,29,0,4268.8,1995.5200000000004,0.4674662668665668,0.08108108108108109,0.5692307692307692,1.3362760834670946,72.97297297297298,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
赤刃明霄陈-手办模玩,赤刃明霄陈,手办模玩,699.0,433.38,65,55,90,44,30756.0,1258.2,29497.8,19068.72,3.0,2097.0,41.15555555555556,21,0,0,27400.8,8332.079999999998,0.30408163265306115,0.06818181818181818,0.676923076923077,1.0691144708423326,42.95454545454545,0.0,replenish_now,立即补货,True,20260903
赤刃明霄陈-装饰摆件,赤刃明霄陈,装饰摆件,89.0,37.38,29,21,25,39,3471.0,129.05,3341.95,1457.8200000000002,0.0,0.0,23.77777777777778,15,24,0,3341.95,1884.1299999999997,0.5637816245006657,0.0,0.7358490566037735,1.6401869158878506,34.61538461538461,0.0,healthy,维持现有补货节奏,True,20260903
赤刃明霄陈-日用生活,赤刃明霄陈,日用生活,99.0,45.54,31,23,30,45,4455.0,163.35,4291.65,2049.3,3.0,297.0,21.355555555555554,14,26,0,3994.6499999999996,1945.3499999999995,0.486988847583643,0.06666666666666667,0.7894736842105263,2.1071800208116547,28.0,0.0,replenish_now,立即补货,True,20260903
焰狐龙梓兰-亚克力制品,焰狐龙梓兰,亚克力制品,48.0,16.8,26,18,18,46,2208.0,79.2,2128.8,772.8000000000001,0.0,0.0,21.72222222222222,31,48,0,2128.8,1356.0,0.6369785794813979,0.0,0.6216216216216216,2.1176470588235294,60.652173913043484,0.0,healthy,维持现有补货节奏,True,20260903
焰狐龙梓兰-通行证,焰狐龙梓兰,通行证,39.0,12.48,22,14,14,32,1248.0,33.15,1214.85,399.36,2.0,78.0,21.644444444444446,16,24,0,1136.85,737.4899999999999,0.648713550600343,0.0625,0.6956521739130435,1.4784394250513346,45.0,0.0,healthy,维持现有补货节奏,True,20260903
焰狐龙梓兰-吧唧（徽章）,焰狐龙梓兰,吧唧（徽章）,18.0,5.4,22,14,12,31,558.0,21.6,536.4,167.4,0.0,0.0,20.955555555555556,15,24,0,536.4,369.0,0.6879194630872484,0.0,0.6739130434782609,1.47932131495228,43.54838709677419,0.0,healthy,维持现有补货节奏,True,20260903
焰狐龙梓兰-毛绒玩偶,焰狐龙梓兰,毛绒玩偶,128.0,61.44,35,27,40,36,4608.0,256.0,4352.0,2211.84,2.0,256.0,26.81111111111111,27,27,0,4096.0,1884.1599999999999,0.45999999999999996,0.05555555555555555,0.5806451612903226,1.342726895980108,67.5,0.0,healthy,维持现有补货节奏,True,20260903
焰狐龙梓兰-手办模玩,焰狐龙梓兰,手办模玩,699.0,433.38,65,55,90,34,23766.0,838.8000000000001,22927.2,14734.92,8.0,4194.0,51.544444444444444,36,0,0,18733.2,3998.2800000000007,0.21343283582089556,0.23529411764705882,0.5230769230769231,0.6596249191636129,95.29411764705883,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
焰狐龙梓兰-装饰摆件,焰狐龙梓兰,装饰摆件,89.0,37.38,29,21,25,56,4984.0,222.5,4761.5,2093.28,2.0,178.0,18.211111111111112,24,48,0,4583.5,2490.22,0.5433009708737864,0.03571428571428571,0.7272727272727273,3.075045759609518,38.57142857142857,0.0,healthy,维持现有补货节奏,True,20260903
焰狐龙梓兰-日用生活,焰狐龙梓兰,日用生活,99.0,45.54,31,23,30,51,5049.0,153.45,4895.55,2322.54,1.0,99.0,19.244444444444444,4,24,0,4796.55,2474.01,0.5157894736842106,0.0196078431372549,0.9272727272727272,2.6501154734411085,7.0588235294117645,0.0,replenish_now,立即补货,True,20260903
凛御银灰-亚克力制品,凛御银灰,亚克力制品,48.0,16.8,25,17,18,37,1776.0,74.4,1701.6,621.6,2.0,48.0,20.77777777777778,14,24,0,1653.6,1032.0,0.6240928882438317,0.05405405405405406,0.7551020408163265,1.780748663101604,34.054054054054056,0.0,healthy,维持现有补货节奏,True,20260903
凛御银灰-通行证,凛御银灰,通行证,39.0,12.48,22,14,14,30,1170.0,44.85,1125.15,374.40000000000003,1.0,0.0,20.655555555555555,17,24,0,1125.15,750.75,0.6672443674176776,0.03333333333333333,0.6521739130434783,1.452393760086068,51.0,0.0,healthy,维持现有补货节奏,True,20260903
凛御银灰-吧唧（徽章）,凛御银灰,吧唧（徽章）,18.0,5.4,22,14,12,46,828.0,27.0,801.0,248.4,0.0,0.0,17.977777777777778,25,48,0,801.0,552.6,0.6898876404494382,0.0,0.6571428571428571,2.5587144622991347,48.913043478260875,0.0,healthy,维持现有补货节奏,True,20260903
凛御银灰-毛绒玩偶,凛御银灰,毛绒玩偶,128.0,61.44,35,27,40,47,6016.0,198.4,5817.6,2887.68,6.0,640.0,21.122222222222224,19,28,0,5177.6,2289.9200000000005,0.44227441285537705,0.1276595744680851,0.746031746031746,2.225144660704892,36.38297872340425,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
凛御银灰-手办模玩,凛御银灰,手办模玩,699.0,433.38,64,54,90,35,24465.0,1118.4,23346.6,15168.3,1.0,699.0,48.25555555555555,31,0,0,22647.6,7479.299999999999,0.3302469135802469,0.02857142857142857,0.546875,0.7253050886483997,79.71428571428571,0.0,replenish_now,立即补货,True,20260903
凛御银灰-装饰摆件,凛御银灰,装饰摆件,89.0,37.38,29,21,25,52,4628.0,169.1,4458.9,1943.7600000000002,1.0,89.0,17.31111111111111,28,48,0,4369.9,2426.1399999999994,0.555193482688391,0.019230769230769232,0.6753246753246753,3.0038510911424905,48.46153846153847,0.0,healthy,维持现有补货节奏,True,20260903
凛御银灰-日用生活,凛御银灰,日用生活,99.0,45.54,31,23,30,60,5940.0,153.45,5786.55,2732.4,3.0,297.0,14.855555555555556,22,48,1,5489.55,2757.15,0.5022542831379622,0.05,0.759493670886076,4.038893044128646,33.0,0.01639344262295082,replenish_now,立即补货,True,20260903
归溟幽灵鲨-亚克力制品,归溟幽灵鲨,亚克力制品,48.0,16.8,25,17,18,58,2784.0,112.8,2671.2,974.4000000000001,1.0,48.0,17.488888888888887,16,48,0,2623.2,1648.7999999999997,0.6285452881976211,0.017241379310344827,0.7945205479452054,3.316391359593393,24.82758620689655,0.0,replenish_now,立即补货,True,20260903
归溟幽灵鲨-通行证,归溟幽灵鲨,通行证,39.0,12.48,22,14,14,42,1638.0,85.8,1552.2,524.16,0.0,0.0,19.522222222222222,28,48,0,1552.2,1028.04,0.6623115577889447,0.0,0.6,2.151394422310757,60.0,0.0,healthy,维持现有补货节奏,True,20260903
归溟幽灵鲨-吧唧（徽章）,归溟幽灵鲨,吧唧（徽章）,18.0,5.4,22,14,12,41,738.0,30.6,707.4,221.4,6.0,108.0,21.011111111111113,31,48,0,599.4,378.0,0.6306306306306306,0.14634146341463414,0.5857142857142857,1.9513484928609197,68.04878048780488,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
归溟幽灵鲨-毛绒玩偶,归溟幽灵鲨,毛绒玩偶,128.0,61.44,35,27,40,38,4864.0,153.6,4710.4,2334.72,1.0,128.0,24.022222222222222,24,27,0,4582.4,2247.68,0.49050279329608937,0.02631578947368421,0.6129032258064516,1.5818686401480109,56.8421052631579,0.0,healthy,维持现有补货节奏,True,20260903
归溟幽灵鲨-手办模玩,归溟幽灵鲨,手办模玩,699.0,433.38,64,54,90,62,43338.0,1712.55,41625.45,26869.56,3.0,2097.0,35.13333333333333,3,0,0,39528.45,12658.889999999996,0.3202475685234305,0.04838709677419355,0.96875,1.7647058823529413,4.354838709677419,0.0,replenish_now,立即补货,True,20260903
归溟幽灵鲨-装饰摆件,归溟幽灵鲨,装饰摆件,89.0,37.38,29,21,25,49,4361.0,133.5,4227.5,1831.6200000000001,1.0,89.0,18.91111111111111,28,48,0,4138.5,2306.88,0.5574193548387097,0.02040816326530612,0.6363636363636364,2.591069330199765,51.42857142857143,0.0,healthy,维持现有补货节奏,True,20260903
归溟幽灵鲨-日用生活,归溟幽灵鲨,日用生活,99.0,45.54,31,23,30,32,3168.0,94.05,3073.95,1457.28,3.0,297.0,27.08888888888889,27,24,0,2776.95,1319.6699999999998,0.475222816399287,0.09375,0.5818181818181818,1.18129614438064,75.9375,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
黍-亚克力制品,黍,亚克力制品,48.0,16.8,26,18,18,45,2160.0,76.8,2083.2,756.0,2.0,48.0,20.766666666666666,31,48,0,2035.1999999999998,1279.1999999999998,0.6285377358490566,0.044444444444444446,0.6081081081081081,2.1669341894060996,62.0,0.0,healthy,维持现有补货节奏,True,20260903
黍-通行证,黍,通行证,39.0,12.48,23,15,14,42,1638.0,54.6,1583.4,524.16,0.0,0.0,19.455555555555556,29,48,0,1583.4,1059.2400000000002,0.6689655172413794,0.0,0.5915492957746479,2.1587664191890346,62.14285714285714,0.0,healthy,维持现有补货节奏,True,20260903
黍-吧唧（徽章）,黍,吧唧（徽章）,18.0,5.4,22,14,12,47,846.0,36.9,809.1,253.8,0.0,0.0,18.133333333333333,23,48,0,809.1,555.3,0.6863181312569521,0.0,0.6714285714285714,2.5919117647058822,44.04255319148936,0.0,healthy,维持现有补货节奏,True,20260903
黍-毛绒玩偶,黍,毛绒玩偶,128.0,61.44,36,28,40,49,6272.0,211.20000000000002,6060.8,3010.56,1.0,128.0,24.7,19,27,0,5932.8,2922.2400000000002,0.49255663430420715,0.02040816326530612,0.7777777777777778,1.9838056680161944,34.89795918367347,0.0,replenish_now,立即补货,True,20260903
黍-手办模玩,黍,手办模玩,699.0,433.38,65,55,90,35,24465.0,1258.2,23206.8,15168.3,5.0,3495.0,49.022222222222226,32,0,0,19711.8,4543.5,0.23049645390070922,0.14285714285714285,0.5384615384615384,0.713961922030825,82.28571428571428,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903
黍-装饰摆件,黍,装饰摆件,89.0,37.38,29,21,25,41,3649.0,178.0,3471.0,1532.5800000000002,3.0,267.0,23.166666666666668,15,24,0,3204.0,1671.4199999999998,0.5216666666666666,0.07317073170731707,0.7735849056603774,1.7697841726618704,32.926829268292686,0.0,healthy,维持现有补货节奏,True,20260903
黍-日用生活,黍,日用生活,99.0,45.54,31,23,30,38,3762.0,198.0,3564.0,1730.52,2.0,198.0,22.766666666666666,18,24,0,3366.0,1635.48,0.4858823529411765,0.05263157894736842,0.6909090909090909,1.6691068814055638,42.63157894736842,0.0,healthy,维持现有补货节奏,True,20260903
Mon3tr-亚克力制品,Mon3tr,亚克力制品,48.0,16.8,25,17,18,51,2448.0,67.2,2380.8,856.8000000000001,2.0,48.0,18.444444444444443,24,48,0,2332.8,1476.0,0.632716049382716,0.0392156862745098,0.6986301369863014,2.7650602409638556,42.35294117647059,0.0,healthy,维持现有补货节奏,True,20260903
Mon3tr-通行证,Mon3tr,通行证,39.0,12.48,22,14,14,38,1482.0,50.699999999999996,1431.3,474.24,0.0,0.0,20.655555555555555,34,48,0,1431.3,957.06,0.6686648501362398,0.0,0.5428571428571428,1.8396987627756858,80.52631578947368,0.0,healthy,维持现有补货节奏,True,20260903
Mon3tr-吧唧（徽章）,Mon3tr,吧唧（徽章）,18.0,5.4,22,14,12,40,720.0,28.8,691.2,216.0,2.0,36.0,22.155555555555555,31,48,0,655.2,439.20000000000005,0.6703296703296704,0.05,0.5714285714285714,1.8054162487462386,69.75,0.0,healthy,维持现有补货节奏,True,20260903
Mon3tr-毛绒玩偶,Mon3tr,毛绒玩偶,128.0,61.44,34,26,40,43,5504.0,115.2,5388.8,2641.92,2.0,256.0,24.38888888888889,19,26,0,5132.8,2490.88,0.48528678304239403,0.046511627906976744,0.7166666666666667,1.7630979498861048,39.76744186046511,0.0,replenish_now,立即补货,True,20260903
Mon3tr-手办模玩,Mon3tr,手办模玩,699.0,433.38,63,53,90,39,27261.0,978.6,26282.4,16901.82,3.0,2097.0,41.31111111111111,26,0,0,24185.4,7283.580000000002,0.3011560693641619,0.07692307692307693,0.6190476190476191,0.9440559440559441,60.0,0.0,replenish_now,立即补货,True,20260903
Mon3tr-装饰摆件,Mon3tr,装饰摆件,89.0,37.38,28,20,25,41,3649.0,164.65,3484.35,1532.5800000000002,0.0,0.0,20.6,35,48,0,3484.35,1951.7699999999998,0.5601532567049808,0.0,0.5394736842105263,1.9902912621359221,76.82926829268293,0.0,healthy,维持现有补货节奏,True,20260903
Mon3tr-日用生活,Mon3tr,日用生活,99.0,45.54,30,22,30,42,4158.0,153.45000000000002,4004.5499999999997,1912.68,1.0,99.0,20.055555555555557,37,48,0,3905.5499999999997,1992.8699999999997,0.5102661596958175,0.023809523809523808,0.5384615384615384,2.0941828254847645,79.28571428571428,0.0,healthy,维持现有补货节奏,True,20260903
重岳-亚克力制品,重岳,亚克力制品,48.0,16.8,25,17,18,42,2016.0,76.8,1939.2,705.6,1.0,0.0,19.433333333333334,29,45,0,1939.2,1233.6,0.636138613861386,0.023809523809523808,0.6,2.1612349914236706,62.14285714285714,0.0,healthy,维持现有补货节奏,True,20260903
重岳-通行证,重岳,通行证,39.0,12.48,22,14,14,37,1443.0,72.14999999999999,1370.85,461.76,1.0,39.0,20.755555555555556,33,48,0,1331.85,870.0899999999999,0.6532942898975109,0.02702702702702703,0.5285714285714286,1.7826552462526766,80.27027027027027,0.0,healthy,维持现有补货节奏,True,20260903
重岳-吧唧（徽章）,重岳,吧唧（徽章）,18.0,5.4,22,14,12,31,558.0,33.300000000000004,524.7,167.4,2.0,36.0,21.333333333333332,17,24,0,488.70000000000005,321.30000000000007,0.6574585635359117,0.06451612903225806,0.6739130434782609,1.453125,49.354838709677416,0.0,healthy,维持现有补货节奏,True,20260903
重岳-毛绒玩偶,重岳,毛绒玩偶,128.0,61.44,34,26,40,36,4608.0,121.60000000000001,4486.4,2211.84,1.0,0.0,21.066666666666666,26,26,0,4486.4,2274.5599999999995,0.5069900142653352,0.027777777777777776,0.6,1.7088607594936709,65.0,0.0,healthy,维持现有补货节奏,True,20260903
重岳-手办模玩,重岳,手办模玩,699.0,433.38,62,52,90,36,25164.0,1258.2,23905.8,15601.68,1.0,699.0,42.4,26,0,0,23206.8,7605.119999999999,0.32771084337349393,0.027777777777777776,0.5806451612903226,0.849056603773585,65.0,0.0,replenish_now,立即补货,True,20260903
