operator,category,respondent_count,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,good_value_price_median,expensive_price_median,too_expensive_price_median,directional_price_floor,directional_price_ceiling
重岳,吧唧（徽章）,2,23.5,23.25,23.75,20.0,30.0,38.0,20.0,30.0
予愿安洁莉娜,吧唧（徽章）,2,23.0,21.5,24.5,20.0,29.5,40.0,20.0,29.5
缪尔赛思,吧唧（徽章）,2,23.0,23.0,23.0,18.0,29.0,43.0,18.0,29.0
佩佩,吧唧（徽章）,2,21.5,20.25,22.75,19.0,26.0,38.0,19.0,26.0
酒神,吧唧（徽章）,2,21.5,20.75,22.25,17.0,27.5,36.5,17.0,27.5
真言,吧唧（徽章）,2,21.0,20.0,22.0,18.0,27.0,38.0,18.0,27.0
赤刃明霄陈,吧唧（徽章）,2,21.0,19.0,23.0,16.5,27.5,40.5,16.5,27.5
予愿安洁莉娜,手办模玩,1,384.0,384.0,384.0,346.0,467.0,707.0,346.0,467.0
凛御银灰,手办模玩,1,384.0,384.0,384.0,308.0,457.0,659.0,308.0,457.0
斩业星熊,手办模玩,1,384.0,384.0,384.0,333.0,487.0,619.0,333.0,487.0
焰狐龙梓兰,手办模玩,1,384.0,384.0,384.0,320.0,510.0,707.0,320.0,510.0
缪尔赛思,手办模玩,1,384.0,384.0,384.0,307.0,469.0,696.0,307.0,469.0
赤刃明霄陈,手办模玩,1,384.0,384.0,384.0,337.0,515.0,644.0,337.0,515.0
塑心,毛绒玩偶,1,165.0,165.0,165.0,143.0,214.0,326.0,143.0,214.0
斩业星熊,毛绒玩偶,1,163.0,163.0,163.0,146.0,213.0,301.0,146.0,213.0
斩业星熊,日用生活,1,139.0,139.0,139.0,122.0,153.0,187.0,122.0,153.0
黍,毛绒玩偶,1,127.0,127.0,127.0,115.0,154.0,203.0,115.0,154.0
焰狐龙梓兰,日用生活,1,126.0,126.0,126.0,113.0,150.0,187.0,113.0,150.0
缇缇,日用生活,1,126.0,126.0,126.0,109.0,161.0,203.0,109.0,161.0
怒潮凛冬,毛绒玩偶,1,120.0,120.0,120.0,99.0,157.0,224.0,99.0,157.0
凛御银灰,毛绒玩偶,1,115.0,115.0,115.0,96.0,155.0,196.0,96.0,155.0
新约能天使,装饰摆件,1,115.0,115.0,115.0,93.0,138.0,175.0,93.0,138.0
怒潮凛冬,日用生活,1,114.0,114.0,114.0,92.0,148.0,227.0,92.0,148.0
结城理,日用生活,1,113.0,113.0,113.0,91.0,135.0,186.0,91.0,135.0
缄默德克萨斯,日用生活,1,106.0,106.0,106.0,93.0,138.0,191.0,93.0,138.0
塑心,装饰摆件,1,103.0,103.0,103.0,87.0,130.0,167.0,87.0,130.0
望,日用生活,1,103.0,103.0,103.0,87.0,135.0,205.0,87.0,135.0
真言,日用生活,1,103.0,103.0,103.0,88.0,133.0,201.0,88.0,133.0
缪尔赛思,日用生活,1,103.0,103.0,103.0,87.0,118.0,178.0,87.0,118.0
Mon3tr,装饰摆件,1,80.0,80.0,80.0,72.0,101.0,126.0,72.0,101.0
佩佩,毛绒玩偶,1,80.0,80.0,80.0,66.0,96.0,140.0,66.0,96.0
凯尔希·思衡托,装饰摆件,1,80.0,80.0,80.0,69.0,89.0,114.0,69.0,89.0
怒潮凛冬,装饰摆件,1,80.0,80.0,80.0,66.0,94.0,137.0,66.0,94.0
死芒,日用生活,1,80.0,80.0,80.0,68.0,105.0,129.0,68.0,105.0
维娜·维多利亚,毛绒玩偶,1,80.0,80.0,80.0,69.0,97.0,123.0,69.0,97.0
酒神,装饰摆件,1,80.0,80.0,80.0,63.0,106.0,142.0,63.0,106.0
贝洛内,装饰摆件,1,71.0,71.0,71.0,62.0,93.0,123.0,62.0,93.0
斩业星熊,亚克力制品,1,70.0,70.0,70.0,58.0,90.0,123.0,58.0,90.0
新约能天使,毛绒玩偶,1,70.0,70.0,70.0,55.0,79.0,122.0,55.0,79.0
凛御银灰,日用生活,1,69.0,69.0,69.0,58.0,76.0,117.0,58.0,76.0
荒芜拉普兰德,亚克力制品,1,61.0,61.0,61.0,48.0,71.0,98.0,48.0,71.0
予愿安洁莉娜,亚克力制品,1,60.0,60.0,60.0,55.0,78.0,112.0,55.0,78.0
谬因,亚克力制品,1,60.0,60.0,60.0,48.0,71.0,89.0,48.0,71.0
娜斯提,通行证,1,59.0,59.0,59.0,45.0,72.0,95.0,45.0,72.0
归溟幽灵鲨,亚克力制品,1,58.0,58.0,58.0,51.0,73.0,95.0,51.0,73.0
予愿安洁莉娜,装饰摆件,1,57.0,57.0,57.0,45.0,66.0,97.0,45.0,66.0
凯尔希·思衡托,日用生活,1,57.0,57.0,57.0,48.0,68.0,98.0,48.0,68.0
望,装饰摆件,1,57.0,57.0,57.0,50.0,71.0,90.0,50.0,71.0
缪尔赛思,亚克力制品,1,57.0,57.0,57.0,44.0,74.0,103.0,44.0,74.0
赤刃明霄陈,通行证,1,57.0,57.0,57.0,51.0,71.0,90.0,51.0,71.0
怒潮凛冬,通行证,1,56.0,56.0,56.0,43.0,73.0,107.0,43.0,73.0
荒芜拉普兰德,通行证,1,56.0,56.0,56.0,48.0,73.0,96.0,48.0,73.0
贝洛内,亚克力制品,1,53.0,53.0,53.0,43.0,64.0,91.0,43.0,64.0
焰狐龙梓兰,通行证,1,51.0,51.0,51.0,46.0,57.0,84.0,46.0,57.0
佩佩,装饰摆件,1,49.0,49.0,49.0,43.0,58.0,72.0,43.0,58.0
佩佩,通行证,1,49.0,49.0,49.0,42.0,60.0,85.0,42.0,60.0
结城理,通行证,1,49.0,49.0,49.0,43.0,56.0,72.0,43.0,56.0
维娜·维多利亚,通行证,1,49.0,49.0,49.0,44.0,55.0,73.0,44.0,55.0
黍,通行证,1,49.0,49.0,49.0,44.0,59.0,90.0,44.0,59.0
新约能天使,通行证,1,47.0,47.0,47.0,40.0,63.0,83.0,40.0,63.0
死芒,通行证,1,46.0,46.0,46.0,37.0,59.0,88.0,37.0,59.0
归溟幽灵鲨,通行证,1,45.0,45.0,45.0,35.0,51.0,69.0,35.0,51.0
司霆惊蛰,通行证,1,43.0,43.0,43.0,39.0,52.0,74.0,39.0,52.0
予愿安洁莉娜,通行证,1,41.0,41.0,41.0,32.0,54.0,80.0,32.0,54.0
塑心,通行证,1,39.0,39.0,39.0,35.0,48.0,74.0,35.0,48.0
塑心,吧唧（徽章）,1,28.0,28.0,28.0,23.0,34.0,49.0,23.0,34.0
娜斯提,吧唧（徽章）,1,25.0,25.0,25.0,19.0,32.0,47.0,19.0,32.0
缇缇,吧唧（徽章）,1,25.0,25.0,25.0,21.0,31.0,44.0,21.0,31.0
归溟幽灵鲨,吧唧（徽章）,1,24.0,24.0,24.0,18.0,27.0,35.0,18.0,27.0
荒芜拉普兰德,吧唧（徽章）,1,24.0,24.0,24.0,19.0,28.0,36.0,19.0,28.0
凯尔希·思衡托,吧唧（徽章）,1,23.0,23.0,23.0,18.0,26.0,40.0,18.0,26.0
焰狐龙梓兰,吧唧（徽章）,1,23.0,23.0,23.0,20.0,29.0,42.0,20.0,29.0
谬因,吧唧（徽章）,1,23.0,23.0,23.0,20.0,25.0,35.0,20.0,25.0
望,吧唧（徽章）,1,21.0,21.0,21.0,19.0,25.0,36.0,19.0,25.0
纯烬艾雅法拉,吧唧（徽章）,1,21.0,21.0,21.0,18.0,24.0,34.0,18.0,24.0
斩业星熊,吧唧（徽章）,1,18.0,18.0,18.0,15.0,23.0,35.0,15.0,23.0
