sku_id,operator,category,purchase_lead_time_days,unit_cost,trailing_requested_units,average_daily_demand_28d,daily_demand_std_28d,available_stock,closing_stock,locked_stock,open_po_units,calculated_safety_stock,calculated_reorder_point,target_stock,suggested_po_quantity,inventory_position,replenishment_priority,suggested_purchase_amount,is_simulated
凯尔希·思衡托-亚克力制品,凯尔希·思衡托,亚克力制品,18,16.8,9,0.32142857142857145,0.5479640045336466,38,38,0,0.0,4.0,10.0,15.0,0,38.0,P2-暂不补货,0.0,True
凯尔希·思衡托-通行证,凯尔希·思衡托,通行证,14,12.48,11,0.39285714285714285,0.7859547491585427,20,20,0,0.0,5.0,11.0,16.0,0,20.0,P2-暂不补货,0.0,True
凯尔希·思衡托-吧唧（徽章）,凯尔希·思衡托,吧唧（徽章）,12,5.4,10,0.35714285714285715,0.731020885058378,29,29,0,0.0,5.0,10.0,15.0,0,29.0,P2-暂不补货,0.0,True
凯尔希·思衡托-手办模玩,凯尔希·思衡托,手办模玩,90,433.38,17,0.6071428571428571,0.8317445171439014,24,24,0,60.0,14.0,69.0,78.0,0,84.0,P2-暂不补货,0.0,True
凯尔希·思衡托-日用生活,凯尔希·思衡托,日用生活,30,45.54,13,0.4642857142857143,0.6929348671835832,32,32,0,0.0,7.0,21.0,28.0,0,32.0,P2-暂不补货,0.0,True
予愿安洁莉娜-吧唧（徽章）,予愿安洁莉娜,吧唧（徽章）,12,5.4,8,0.2857142857142857,0.5998236072282916,35,35,0,0.0,4.0,8.0,12.0,0,35.0,P2-暂不补货,0.0,True
予愿安洁莉娜-毛绒玩偶,予愿安洁莉娜,毛绒玩偶,40,61.44,12,0.42857142857142855,0.7417981870189158,20,20,0,29.0,8.0,26.0,32.0,0,49.0,P2-暂不补货,0.0,True
予愿安洁莉娜-装饰摆件,予愿安洁莉娜,装饰摆件,25,37.38,5,0.17857142857142858,0.4755948656056709,34,34,0,0.0,4.0,9.0,11.0,0,34.0,P2-暂不补货,0.0,True
予愿安洁莉娜-日用生活,予愿安洁莉娜,日用生活,30,45.54,7,0.25,0.5181877251716009,25,25,0,0.0,5.0,13.0,16.0,0,25.0,P2-暂不补货,0.0,True
维娜·维多利亚-亚克力制品,维娜·维多利亚,亚克力制品,18,16.8,14,0.5,0.7453559924999299,23,23,0,0.0,6.0,15.0,22.0,0,23.0,P2-暂不补货,0.0,True
维娜·维多利亚-通行证,维娜·维多利亚,通行证,14,12.48,7,0.25,0.5181877251716008,24,24,0,0.0,4.0,8.0,11.0,0,24.0,P2-暂不补货,0.0,True
维娜·维多利亚-毛绒玩偶,维娜·维多利亚,毛绒玩偶,40,61.44,10,0.35714285714285715,0.6784669927988098,24,24,0,29.0,8.0,23.0,28.0,0,53.0,P2-暂不补货,0.0,True
维娜·维多利亚-手办模玩,维娜·维多利亚,手办模玩,90,433.38,17,0.6071428571428571,1.0659471779799345,27,27,0,55.0,17.0,72.0,81.0,0,82.0,P2-暂不补货,0.0,True
维娜·维多利亚-装饰摆件,维娜·维多利亚,装饰摆件,25,37.38,15,0.5357142857142857,0.7926581093427849,29,29,0,0.0,7.0,21.0,28.0,0,29.0,P2-暂不补货,0.0,True
维娜·维多利亚-日用生活,维娜·维多利亚,日用生活,30,45.54,10,0.35714285714285715,0.6784669927988098,19,19,0,24.0,7.0,18.0,23.0,0,43.0,P2-暂不补货,0.0,True
纯烬艾雅法拉-亚克力制品,纯烬艾雅法拉,亚克力制品,18,16.8,12,0.42857142857142855,0.7417981870189158,16,16,0,24.0,6.0,14.0,20.0,0,40.0,P2-暂不补货,0.0,True
纯烬艾雅法拉-通行证,纯烬艾雅法拉,通行证,14,12.48,10,0.35714285714285715,0.7800420555749596,33,33,0,0.0,5.0,10.0,15.0,0,33.0,P2-暂不补货,0.0,True
纯烬艾雅法拉-吧唧（徽章）,纯烬艾雅法拉,吧唧（徽章）,12,5.4,12,0.42857142857142855,0.634126487474228,30,30,0,0.0,4.0,10.0,16.0,0,30.0,P2-暂不补货,0.0,True
纯烬艾雅法拉-毛绒玩偶,纯烬艾雅法拉,毛绒玩偶,40,61.44,11,0.39285714285714285,0.6852566815265062,33,33,0,0.0,8.0,24.0,30.0,0,33.0,P2-暂不补货,0.0,True
纯烬艾雅法拉-手办模玩,纯烬艾雅法拉,手办模玩,90,433.38,11,0.39285714285714285,0.956044540814477,24,24,0,56.0,15.0,51.0,56.0,0,80.0,P2-暂不补货,0.0,True
纯烬艾雅法拉-装饰摆件,纯烬艾雅法拉,装饰摆件,25,37.38,12,0.42857142857142855,0.7417981870189158,21,21,0,24.0,7.0,18.0,24.0,0,45.0,P2-暂不补货,0.0,True
赤刃明霄陈-亚克力制品,赤刃明霄陈,亚克力制品,18,16.8,6,0.21428571428571427,0.4986754943620637,15,15,0,24.0,4.0,8.0,11.0,0,39.0,P2-暂不补货,0.0,True
赤刃明霄陈-通行证,赤刃明霄陈,通行证,14,12.48,5,0.17857142857142858,0.4755948656056709,18,18,0,0.0,3.0,6.0,8.0,0,18.0,P2-暂不补货,0.0,True
赤刃明霄陈-吧唧（徽章）,赤刃明霄陈,吧唧（徽章）,12,5.4,10,0.35714285714285715,0.6214848238238696,24,24,0,0.0,4.0,9.0,14.0,0,24.0,P2-暂不补货,0.0,True
赤刃明霄陈-手办模玩,赤刃明霄陈,手办模玩,90,433.38,11,0.39285714285714285,0.737326788914382,21,21,0,55.0,12.0,48.0,53.0,0,76.0,P2-暂不补货,0.0,True
赤刃明霄陈-装饰摆件,赤刃明霄陈,装饰摆件,25,37.38,15,0.5357142857142857,0.7444681351359534,15,15,0,24.0,7.0,21.0,28.0,0,39.0,P2-暂不补货,0.0,True
赤刃明霄陈-日用生活,赤刃明霄陈,日用生活,30,45.54,11,0.39285714285714285,0.7859547491585427,14,14,0,24.0,8.0,20.0,26.0,0,38.0,P2-暂不补货,0.0,True
焰狐龙梓兰-亚克力制品,焰狐龙梓兰,亚克力制品,18,16.8,9,0.32142857142857145,0.6696362433535825,31,31,0,0.0,5.0,11.0,16.0,0,31.0,P2-暂不补货,0.0,True
焰狐龙梓兰-通行证,焰狐龙梓兰,通行证,14,12.48,7,0.25,0.4409585518440985,16,16,0,0.0,3.0,7.0,10.0,0,16.0,P2-暂不补货,0.0,True
焰狐龙梓兰-吧唧（徽章）,焰狐龙梓兰,吧唧（徽章）,12,5.4,9,0.32142857142857145,0.6118321864193026,15,15,0,0.0,4.0,8.0,13.0,0,15.0,P2-暂不补货,0.0,True
焰狐龙梓兰-毛绒玩偶,焰狐龙梓兰,毛绒玩偶,40,61.44,8,0.2857142857142857,0.5345224838248487,27,27,0,27.0,6.0,18.0,22.0,0,54.0,P2-暂不补货,0.0,True
焰狐龙梓兰-手办模玩,焰狐龙梓兰,手办模玩,90,433.38,14,0.5,0.7453559924999299,36,36,0,55.0,12.0,57.0,64.0,0,91.0,P2-暂不补货,0.0,True
凛御银灰-亚克力制品,凛御银灰,亚克力制品,18,16.8,10,0.35714285714285715,0.6214848238238696,14,14,0,24.0,5.0,12.0,17.0,0,38.0,P2-暂不补货,0.0,True
凛御银灰-通行证,凛御银灰,通行证,14,12.48,8,0.2857142857142857,0.5998236072282916,17,17,0,0.0,4.0,8.0,12.0,0,17.0,P2-暂不补货,0.0,True
凛御银灰-吧唧（徽章）,凛御银灰,吧唧（徽章）,12,5.4,19,0.6785714285714286,0.8629652337776965,25,25,0,0.0,5.0,14.0,23.0,0,25.0,P2-暂不补货,0.0,True
凛御银灰-毛绒玩偶,凛御银灰,毛绒玩偶,40,61.44,12,0.42857142857142855,0.7417981870189156,19,19,0,28.0,8.0,26.0,32.0,0,47.0,P2-暂不补货,0.0,True
凛御银灰-手办模玩,凛御银灰,手办模玩,90,433.38,8,0.2857142857142857,0.5345224838248488,31,31,0,54.0,9.0,35.0,39.0,0,85.0,P2-暂不补货,0.0,True
凛御银灰-装饰摆件,凛御银灰,装饰摆件,25,37.38,12,0.42857142857142855,0.6341264874742278,28,28,0,0.0,6.0,17.0,23.0,0,28.0,P2-暂不补货,0.0,True
凛御银灰-日用生活,凛御银灰,日用生活,30,45.54,18,0.6428571428571429,0.731020885058378,22,22,0,24.0,7.0,27.0,36.0,0,46.0,P2-暂不补货,0.0,True
归溟幽灵鲨-亚克力制品,归溟幽灵鲨,亚克力制品,18,16.8,22,0.7857142857142857,0.9567360740266436,16,16,0,24.0,7.0,22.0,33.0,0,40.0,P2-暂不补货,0.0,True
归溟幽灵鲨-通行证,归溟幽灵鲨,通行证,14,12.48,7,0.25,0.4409585518440985,28,28,0,0.0,3.0,7.0,10.0,0,28.0,P2-暂不补货,0.0,True
归溟幽灵鲨-吧唧（徽章）,归溟幽灵鲨,吧唧（徽章）,12,5.4,8,0.2857142857142857,0.5345224838248489,31,31,0,0.0,4.0,8.0,12.0,0,31.0,P2-暂不补货,0.0,True
归溟幽灵鲨-毛绒玩偶,归溟幽灵鲨,毛绒玩偶,40,61.44,10,0.35714285714285715,0.731020885058378,24,24,0,27.0,8.0,23.0,28.0,0,51.0,P2-暂不补货,0.0,True
黍-亚克力制品,黍,亚克力制品,18,16.8,8,0.2857142857142857,0.8099905283919412,31,31,0,0.0,6.0,12.0,16.0,0,31.0,P2-暂不补货,0.0,True
黍-通行证,黍,通行证,14,12.48,15,0.5357142857142857,0.8380817098475258,29,29,0,0.0,6.0,14.0,21.0,0,29.0,P2-暂不补货,0.0,True
黍-吧唧（徽章）,黍,吧唧（徽章）,12,5.4,13,0.4642857142857143,0.6372477195601849,23,23,0,0.0,4.0,10.0,17.0,0,23.0,P2-暂不补货,0.0,True
黍-毛绒玩偶,黍,毛绒玩偶,40,61.44,18,0.6428571428571429,0.8261595987094034,19,19,0,28.0,9.0,35.0,44.0,0,47.0,P2-暂不补货,0.0,True
黍-手办模玩,黍,手办模玩,90,433.38,11,0.39285714285714285,0.8751417118804337,32,32,0,55.0,14.0,50.0,55.0,0,87.0,P2-暂不补货,0.0,True
黍-装饰摆件,黍,装饰摆件,25,37.38,11,0.39285714285714285,0.6288900106557946,15,15,0,24.0,6.0,16.0,22.0,0,39.0,P2-暂不补货,0.0,True
黍-日用生活,黍,日用生活,30,45.54,13,0.4642857142857143,0.7444681351359534,18,18,0,24.0,7.0,21.0,28.0,0,42.0,P2-暂不补货,0.0,True
Mon3tr-亚克力制品,Mon3tr,亚克力制品,18,16.8,10,0.35714285714285715,0.6214848238238696,24,24,0,0.0,5.0,12.0,17.0,0,24.0,P2-暂不补货,0.0,True
Mon3tr-通行证,Mon3tr,通行证,14,12.48,3,0.10714285714285714,0.314970394174356,34,34,0,0.0,2.0,4.0,5.0,0,34.0,P2-暂不补货,0.0,True
Mon3tr-吧唧（徽章）,Mon3tr,吧唧（徽章）,12,5.4,8,0.2857142857142857,0.5345224838248488,31,31,0,0.0,4.0,8.0,12.0,0,31.0,P2-暂不补货,0.0,True
Mon3tr-手办模玩,Mon3tr,手办模玩,90,433.38,5,0.17857142857142858,0.4755948656056709,26,26,0,53.0,8.0,25.0,27.0,0,79.0,P2-暂不补货,0.0,True
Mon3tr-装饰摆件,Mon3tr,装饰摆件,25,37.38,11,0.39285714285714285,0.7859547491585428,35,35,0,0.0,7.0,17.0,23.0,0,35.0,P2-暂不补货,0.0,True
Mon3tr-日用生活,Mon3tr,日用生活,30,45.54,9,0.32142857142857145,0.8629652337776967,37,37,0,0.0,8.0,18.0,23.0,0,37.0,P2-暂不补货,0.0,True
重岳-亚克力制品,重岳,亚克力制品,18,16.8,11,0.39285714285714285,0.737326788914382,29,29,0,0.0,6.0,14.0,19.0,0,29.0,P2-暂不补货,0.0,True
重岳-通行证,重岳,通行证,14,12.48,13,0.4642857142857143,0.9993384054849733,33,33,0,0.0,7.0,14.0,20.0,0,33.0,P2-暂不补货,0.0,True
重岳-吧唧（徽章）,重岳,吧唧（徽章）,12,5.4,8,0.2857142857142857,0.6586823467062358,17,17,0,0.0,4.0,8.0,12.0,0,17.0,P2-暂不补货,0.0,True
重岳-毛绒玩偶,重岳,毛绒玩偶,40,61.44,7,0.25,0.5853140973807076,26,26,0,26.0,7.0,17.0,21.0,0,52.0,P2-暂不补货,0.0,True
重岳-手办模玩,重岳,手办模玩,90,433.38,8,0.2857142857142857,0.4600437062282361,26,26,0,55.0,8.0,34.0,38.0,0,81.0,P2-暂不补货,0.0,True
重岳-装饰摆件,重岳,装饰摆件,25,37.38,7,0.25,0.4409585518440985,17,17,0,24.0,4.0,11.0,14.0,0,41.0,P2-暂不补货,0.0,True
重岳-日用生活,重岳,日用生活,30,45.54,11,0.39285714285714285,0.6288900106557946,25,25,0,0.0,6.0,18.0,24.0,0,25.0,P2-暂不补货,0.0,True
荒芜拉普兰德-亚克力制品,荒芜拉普兰德,亚克力制品,18,16.8,11,0.39285714285714285,0.9164862737363227,31,31,0,0.0,7.0,15.0,20.0,0,31.0,P2-暂不补货,0.0,True
荒芜拉普兰德-通行证,荒芜拉普兰德,通行证,14,12.48,11,0.39285714285714285,0.49734746139343816,14,14,0,24.0,4.0,10.0,15.0,0,38.0,P2-暂不补货,0.0,True
荒芜拉普兰德-吧唧（徽章）,荒芜拉普兰德,吧唧（徽章）,12,5.4,13,0.4642857142857143,0.5078745001833701,27,27,0,0.0,3.0,9.0,16.0,0,27.0,P2-暂不补货,0.0,True
荒芜拉普兰德-手办模玩,荒芜拉普兰德,手办模玩,90,433.38,11,0.39285714285714285,0.6852566815265063,22,22,0,52.0,11.0,47.0,52.0,0,74.0,P2-暂不补货,0.0,True
荒芜拉普兰德-装饰摆件,荒芜拉普兰德,装饰摆件,25,37.38,9,0.32142857142857145,0.8189230248533256,41,41,0,0.0,7.0,16.0,20.0,0,41.0,P2-暂不补货,0.0,True
荒芜拉普兰德-日用生活,荒芜拉普兰德,日用生活,30,45.54,13,0.4642857142857143,0.6929348671835832,10,10,0,24.0,7.0,21.0,28.0,0,34.0,P2-暂不补货,0.0,True
望-通行证,望,通行证,14,12.48,4,0.14285714285714285,0.35634832254989923,16,16,0,0.0,3.0,5.0,7.0,0,16.0,P2-暂不补货,0.0,True
望-吧唧（徽章）,望,吧唧（徽章）,12,5.4,13,0.4642857142857143,0.7444681351359534,22,22,0,0.0,5.0,11.0,18.0,0,22.0,P2-暂不补货,0.0,True
望-毛绒玩偶,望,毛绒玩偶,40,61.44,7,0.25,0.5181877251716008,24,24,0,26.0,6.0,16.0,20.0,0,50.0,P2-暂不补货,0.0,True
望-手办模玩,望,手办模玩,90,433.38,3,0.10714285714285714,0.314970394174356,39,39,0,50.0,5.0,15.0,17.0,0,89.0,P2-暂不补货,0.0,True
望-装饰摆件,望,装饰摆件,25,37.38,6,0.21428571428571427,0.4986754943620637,16,16,0,24.0,5.0,11.0,14.0,0,40.0,P2-暂不补货,0.0,True
望-日用生活,望,日用生活,30,45.54,16,0.5714285714285714,0.7417981870189158,10,10,0,24.0,7.0,25.0,33.0,0,34.0,P2-暂不补货,0.0,True
结城理-亚克力制品,结城理,亚克力制品,18,16.8,11,0.39285714285714285,0.7859547491585427,24,24,0,0.0,6.0,14.0,19.0,0,24.0,P2-暂不补货,0.0,True
结城理-通行证,结城理,通行证,14,12.48,4,0.14285714285714285,0.44839513942303283,27,27,0,0.0,3.0,5.0,7.0,0,27.0,P2-暂不补货,0.0,True
结城理-吧唧（徽章）,结城理,吧唧（徽章）,12,5.4,7,0.25,0.44095855184409843,28,28,0,0.0,3.0,6.0,10.0,0,28.0,P2-暂不补货,0.0,True
结城理-毛绒玩偶,结城理,毛绒玩偶,40,61.44,6,0.21428571428571427,0.49867549436206365,22,22,0,27.0,6.0,15.0,18.0,0,49.0,P2-暂不补货,0.0,True
结城理-手办模玩,结城理,手办模玩,90,433.38,7,0.25,0.5181877251716008,36,36,0,50.0,9.0,32.0,35.0,0,86.0,P2-暂不补货,0.0,True
结城理-装饰摆件,结城理,装饰摆件,25,37.38,10,0.35714285714285715,0.4879500364742666,11,11,0,24.0,5.0,14.0,19.0,0,35.0,P2-暂不补货,0.0,True
结城理-日用生活,结城理,日用生活,30,45.54,6,0.21428571428571427,0.4178554470186725,27,27,0,0.0,4.0,11.0,14.0,0,27.0,P2-暂不补货,0.0,True
缄默德克萨斯-亚克力制品,缄默德克萨斯,亚克力制品,18,16.8,4,0.14285714285714285,0.35634832254989923,36,36,0,0.0,3.0,6.0,8.0,0,36.0,P2-暂不补货,0.0,True
缄默德克萨斯-通行证,缄默德克萨斯,通行证,14,12.48,8,0.2857142857142857,0.5345224838248487,17,17,0,0.0,4.0,8.0,12.0,0,17.0,P2-暂不补货,0.0,True
缄默德克萨斯-毛绒玩偶,缄默德克萨斯,毛绒玩偶,40,61.44,6,0.21428571428571427,0.49867549436206365,24,24,0,26.0,6.0,15.0,18.0,0,50.0,P2-暂不补货,0.0,True
缄默德克萨斯-手办模玩,缄默德克萨斯,手办模玩,90,433.38,13,0.4642857142857143,0.7444681351359534,30,30,0,50.0,12.0,54.0,61.0,0,80.0,P2-暂不补货,0.0,True
缄默德克萨斯-装饰摆件,缄默德克萨斯,装饰摆件,25,37.38,11,0.39285714285714285,0.9164862737363226,26,26,0,0.0,8.0,18.0,24.0,0,26.0,P2-暂不补货,0.0,True
缄默德克萨斯-日用生活,缄默德克萨斯,日用生活,30,45.54,13,0.4642857142857143,0.7444681351359534,9,9,0,24.0,7.0,21.0,28.0,0,33.0,P2-暂不补货,0.0,True
死芒-亚克力制品,死芒,亚克力制品,18,16.8,14,0.5,0.9622504486493764,31,31,0,0.0,7.0,16.0,23.0,0,31.0,P2-暂不补货,0.0,True
死芒-吧唧（徽章）,死芒,吧唧（徽章）,12,5.4,11,0.39285714285714285,0.737326788914382,32,32,0,0.0,5.0,10.0,16.0,0,32.0,P2-暂不补货,0.0,True
死芒-手办模玩,死芒,手办模玩,90,433.38,9,0.32142857142857145,0.722832465019919,21,21,0,49.0,12.0,41.0,46.0,0,70.0,P2-暂不补货,0.0,True
死芒-装饰摆件,死芒,装饰摆件,25,37.38,5,0.17857142857142858,0.3900210277874798,27,27,0,0.0,4.0,9.0,11.0,0,27.0,P2-暂不补货,0.0,True
真言-亚克力制品,真言,亚克力制品,18,16.8,10,0.35714285714285715,0.4879500364742666,35,35,0,0.0,4.0,11.0,16.0,0,35.0,P2-暂不补货,0.0,True
真言-通行证,真言,通行证,14,12.48,14,0.5,0.8388704928078612,12,12,0,24.0,6.0,13.0,20.0,0,36.0,P2-暂不补货,0.0,True
真言-吧唧（徽章）,真言,吧唧（徽章）,12,5.4,10,0.35714285714285715,0.5587211398983505,34,34,0,0.0,4.0,9.0,14.0,0,34.0,P2-暂不补货,0.0,True
真言-毛绒玩偶,真言,毛绒玩偶,40,61.44,8,0.2857142857142857,0.5345224838248488,27,27,0,26.0,6.0,18.0,22.0,0,53.0,P2-暂不补货,0.0,True
真言-手办模玩,真言,手办模玩,90,433.38,12,0.42857142857142855,0.6900655593423541,19,19,0,49.0,11.0,50.0,56.0,0,68.0,P2-暂不补货,0.0,True
真言-装饰摆件,真言,装饰摆件,25,37.38,12,0.42857142857142855,0.7417981870189158,34,34,0,0.0,7.0,18.0,24.0,0,34.0,P2-暂不补货,0.0,True
真言-日用生活,真言,日用生活,30,45.54,8,0.2857142857142857,0.5998236072282916,23,23,0,0.0,6.0,15.0,19.0,0,23.0,P2-暂不补货,0.0,True
缪尔赛思-亚克力制品,缪尔赛思,亚克力制品,18,16.8,7,0.25,0.44095855184409843,36,36,0,0.0,4.0,9.0,12.0,0,36.0,P2-暂不补货,0.0,True
缪尔赛思-通行证,缪尔赛思,通行证,14,12.48,8,0.2857142857142857,0.7126966450997985,18,18,0,0.0,5.0,9.0,13.0,0,18.0,P2-暂不补货,0.0,True
缪尔赛思-吧唧（徽章）,缪尔赛思,吧唧（徽章）,12,5.4,9,0.32142857142857145,0.9048663264720755,33,33,0,0.0,6.0,10.0,15.0,0,33.0,P2-暂不补货,0.0,True
缪尔赛思-手办模玩,缪尔赛思,手办模玩,90,433.38,9,0.32142857142857145,0.6118321864193028,23,23,0,52.0,10.0,39.0,44.0,0,75.0,P2-暂不补货,0.0,True
缪尔赛思-装饰摆件,缪尔赛思,装饰摆件,25,37.38,9,0.32142857142857145,0.6696362433535825,16,16,0,24.0,6.0,15.0,19.0,0,40.0,P2-暂不补货,0.0,True
缪尔赛思-日用生活,缪尔赛思,日用生活,30,45.54,7,0.25,0.5181877251716008,34,34,0,0.0,5.0,13.0,16.0,0,34.0,P2-暂不补货,0.0,True
