date,order_count,paid_order_count,cancelled_order_count,paid_amount,product_net_revenue,sold_units,requested_units,fulfilled_units,stockout_units,closing_stock,after_sales_case_count,refund_amount,payment_rate,average_order_value,fill_rate,rolling_7d_revenue,rolling_7d_units,rolling_7d_refund_amount,is_simulated
2026-06-28,77.0,76.0,1.0,17710.35,17440.35,106.0,106.0,106.0,0.0,4096.0,6.0,1015.0,0.987012987012987,233.03092105263156,1.0,120718.25,773.0,9280.0,True
2026-06-29,52.0,51.0,1.0,13645.9,13459.9,70.0,69.0,69.0,0.0,4177.0,4.0,845.0,0.9807692307692307,267.56666666666666,1.0,112773.7,691.0,9426.0,True
2026-06-30,58.0,54.0,4.0,10271.55,10131.55,70.0,70.0,70.0,0.0,4229.0,6.0,433.0,0.9310344827586207,190.21388888888887,1.0,99897.2,616.0,7598.0,True
2026-07-01,61.0,60.0,1.0,11771.9,11591.9,88.0,84.0,84.0,0.0,4244.0,8.0,1651.0,0.9836065573770492,196.19833333333332,1.0,91934.95,615.0,9112.0,True
2026-07-02,57.0,55.0,2.0,9931.5,9777.5,74.0,74.0,74.0,0.0,4246.0,6.0,798.0,0.9649122807017544,180.57272727272726,1.0,85566.35,590.0,9811.0,True
2026-07-03,47.0,45.0,2.0,7797.6,7639.6,64.0,62.0,61.0,1.0,4356.0,8.0,509.0,0.9574468085106383,173.28,0.9838709677419355,83500.15,572.0,8411.0,True
2026-07-04,69.0,64.0,5.0,10006.8,9834.8,94.0,92.0,92.0,0.0,4487.0,10.0,1360.0,0.927536231884058,156.35625,1.0,79875.59999999999,566.0,6611.0,True
2026-07-05,59.0,57.0,2.0,10500.9,10344.9,73.0,72.0,72.0,0.0,4662.0,3.0,0.0,0.9661016949152542,184.2263157894737,1.0,72780.15,533.0,5596.0,True
2026-07-06,57.0,54.0,3.0,10070.55,9948.55,79.0,79.0,79.0,0.0,4752.0,5.0,1724.0,0.9473684210526315,186.49166666666665,1.0,69268.8,542.0,6475.0,True
2026-07-07,51.0,49.0,2.0,8776.25,8628.25,68.0,66.0,66.0,0.0,4787.0,0.0,0.0,0.9607843137254902,179.10714285714286,1.0,67765.5,540.0,6042.0,True
2026-07-08,53.0,50.0,3.0,11369.6,11241.6,64.0,63.0,63.0,0.0,4869.0,5.0,897.0,0.9433962264150944,227.392,1.0,67415.2,516.0,5288.0,True
2026-07-09,50.0,49.0,1.0,11415.45,11307.45,70.0,70.0,70.0,0.0,4947.0,3.0,117.0,0.98,232.96836734693878,1.0,68945.15000000001,512.0,4607.0,True
2026-07-10,62.0,62.0,0.0,14883.35,14699.35,92.0,88.0,88.0,0.0,5097.0,3.0,795.0,1.0,240.05403225806452,1.0,76004.9,540.0,4893.0,True
2026-07-11,52.0,50.0,2.0,9554.7,9404.7,71.0,71.0,71.0,0.0,5193.0,3.0,355.0,0.9615384615384616,191.09400000000002,1.0,75574.79999999999,517.0,3888.0,True
2026-07-12,61.0,59.0,2.0,12422.4,12250.4,82.0,82.0,82.0,0.0,5161.0,1.0,99.0,0.9672131147540983,210.54915254237287,1.0,77480.3,526.0,3987.0,True
2026-07-13,57.0,56.0,1.0,9678.35,9498.35,75.0,75.0,75.0,0.0,5231.0,4.0,795.0,0.9824561403508771,172.82767857142858,1.0,77030.1,522.0,3058.0,True
2026-07-14,49.0,47.0,2.0,14527.2,14411.2,72.0,72.0,72.0,0.0,5184.0,3.0,89.0,0.9591836734693877,309.0893617021277,1.0,82813.05,526.0,3147.0,True
2026-07-15,55.0,54.0,1.0,10707.55,10525.55,81.0,80.0,79.0,1.0,5179.0,10.0,1287.0,0.9818181818181818,198.28796296296295,0.9875,82097.0,543.0,3537.0,True
2026-07-16,63.0,62.0,1.0,16137.0,15901.0,90.0,89.0,89.0,0.0,5215.0,5.0,1025.0,0.9841269841269841,260.2741935483871,1.0,86690.54999999999,563.0,4445.0,True
2026-07-17,45.0,42.0,3.0,11300.25,11146.25,53.0,53.0,53.0,0.0,5285.0,5.0,2196.0,0.9333333333333333,269.05357142857144,1.0,83137.45000000001,524.0,5846.0,True
2026-07-18,60.0,57.0,3.0,11634.9,11432.9,82.0,79.0,79.0,0.0,5303.0,5.0,831.0,0.95,204.12105263157895,1.0,85165.65,535.0,6322.0,True
2026-07-19,65.0,62.0,3.0,12115.65,11887.65,90.0,85.0,85.0,0.0,5267.0,4.0,188.0,0.9538461538461539,195.41370967741935,1.0,84802.9,543.0,6411.0,True
2026-07-20,59.0,57.0,2.0,11562.2,11392.2,76.0,76.0,76.0,0.0,5264.0,4.0,1398.0,0.9661016949152542,202.84561403508772,1.0,86696.75,544.0,7014.0,True
2026-07-21,63.0,58.0,5.0,13000.15,12818.15,76.0,75.0,75.0,0.0,5268.0,3.0,0.0,0.9206349206349206,224.1405172413793,1.0,85103.7,548.0,6925.0,True
2026-07-22,71.0,68.0,3.0,15410.6,15236.6,105.0,105.0,105.0,0.0,5216.0,2.0,107.0,0.9577464788732394,226.6264705882353,1.0,89814.75,572.0,5745.0,True
2026-07-23,79.0,76.0,3.0,17766.05,17574.05,120.0,120.0,120.0,0.0,5220.0,4.0,955.0,0.9620253164556962,233.76381578947368,1.0,91487.79999999999,602.0,5675.0,True
2026-07-24,66.0,65.0,1.0,12662.3,12424.3,92.0,92.0,92.0,0.0,5182.0,5.0,994.0,0.9848484848484849,194.80461538461537,1.0,92765.84999999999,641.0,4473.0,True
2026-07-25,107.0,104.0,3.0,22207.15,21889.15,153.0,151.0,151.0,0.0,5107.0,6.0,1675.0,0.9719626168224299,213.53028846153848,1.0,103222.1,712.0,5317.0,True
2026-07-26,88.0,84.0,4.0,20797.55,20565.55,118.0,118.0,117.0,1.0,5014.0,6.0,2324.0,0.9545454545454546,247.58988095238095,0.9915254237288136,111900.0,740.0,7453.0,True
2026-07-27,93.0,89.0,4.0,22579.55,22351.55,134.0,132.0,132.0,0.0,4982.0,5.0,1586.0,0.956989247311828,253.70280898876405,1.0,122859.34999999999,798.0,7641.0,True
2026-07-28,109.0,103.0,6.0,16951.2,16593.2,143.0,143.0,143.0,0.0,4969.0,2.0,798.0,0.944954128440367,164.57475728155342,1.0,126634.4,865.0,8439.0,True
2026-07-29,87.0,83.0,4.0,13985.0,13721.0,115.0,112.0,112.0,0.0,5081.0,2.0,107.0,0.9540229885057471,168.49397590361446,1.0,125118.79999999999,875.0,8439.0,True
2026-07-30,91.0,88.0,3.0,20867.15,20677.15,134.0,132.0,132.0,0.0,5006.0,8.0,2958.0,0.967032967032967,237.12670454545457,1.0,128221.90000000001,889.0,10442.0,True
2026-07-31,90.0,89.0,1.0,22218.05,21920.05,125.0,123.0,123.0,0.0,4993.0,4.0,976.0,0.9888888888888889,249.64101123595503,1.0,137717.65,922.0,10424.0,True
2026-08-01,105.0,102.0,3.0,21725.149999999998,21395.15,145.0,144.0,142.0,2.0,4903.0,9.0,711.0,0.9714285714285714,212.99166666666665,0.9861111111111112,137223.65000000002,914.0,9460.0,True
2026-08-02,103.0,97.0,6.0,20337.85,20025.85,150.0,145.0,145.0,0.0,4884.0,4.0,203.0,0.941747572815534,209.66855670103092,1.0,136683.95,946.0,7339.0,True
2026-08-03,90.0,85.0,5.0,15794.45,15578.45,113.0,111.0,111.0,0.0,4879.0,3.0,246.0,0.9444444444444444,185.8170588235294,1.0,129910.85,925.0,5999.0,True
2026-08-04,78.0,75.0,3.0,16145.95,15893.95,108.0,107.0,107.0,0.0,4801.0,9.0,529.0,0.9615384615384616,215.27933333333334,1.0,129211.6,890.0,5730.0,True
2026-08-05,65.0,60.0,5.0,12772.05,12580.05,81.0,80.0,80.0,0.0,4749.0,2.0,699.0,0.9230769230769231,212.86749999999998,1.0,128070.65000000001,856.0,6322.0,True
2026-08-06,63.0,61.0,2.0,13932.6,13724.6,87.0,87.0,87.0,0.0,4689.0,5.0,974.0,0.9682539682539683,228.4032786885246,1.0,121118.09999999999,809.0,4338.0,True
2026-08-07,66.0,63.0,3.0,12144.55,11830.55,84.0,83.0,83.0,0.0,4657.0,5.0,344.0,0.9545454545454546,192.7706349206349,1.0,111028.59999999999,768.0,3706.0,True
2026-08-08,76.0,76.0,0.0,13166.9,12876.9,101.0,101.0,101.0,0.0,4584.0,5.0,1021.0,1.0,173.2486842105263,1.0,102510.35,724.0,4016.0,True
2026-08-09,61.0,58.0,3.0,12171.65,12027.65,82.0,82.0,82.0,0.0,4605.0,5.0,964.0,0.9508196721311475,209.85603448275862,1.0,94512.15,656.0,4777.0,True
2026-08-10,48.0,48.0,0.0,16251.9,16125.9,74.0,71.0,71.0,0.0,4563.0,5.0,965.0,1.0,338.58125,1.0,95059.59999999999,617.0,5496.0,True
2026-08-11,64.0,62.0,2.0,18901.2,18757.2,98.0,93.0,93.0,0.0,4520.0,8.0,1586.0,0.96875,304.85806451612905,1.0,97922.85,607.0,6553.0,True
2026-08-12,54.0,53.0,1.0,10318.9,10136.9,73.0,73.0,73.0,0.0,4520.0,7.0,1752.0,0.9814814814814815,194.69622641509434,1.0,95479.7,599.0,7606.0,True
2026-08-13,48.0,46.0,2.0,12084.85,11940.85,67.0,66.0,66.0,0.0,4574.0,5.0,926.0,0.9583333333333334,262.7141304347826,1.0,93695.95000000001,579.0,7558.0,True
2026-08-14,45.0,42.0,3.0,8505.1,8361.1,66.0,66.0,66.0,0.0,4609.0,4.0,295.0,0.9333333333333333,202.50238095238097,1.0,90226.5,561.0,7509.0,True
2026-08-15,75.0,72.0,3.0,15491.9,15221.9,99.0,99.0,99.0,0.0,4585.0,5.0,295.0,0.96,215.16527777777776,1.0,92571.5,559.0,6783.0,True
2026-08-16,56.0,54.0,2.0,13449.1,13275.1,76.0,75.0,75.0,0.0,4566.0,2.0,18.0,0.9642857142857143,249.05740740740742,1.0,93818.95,553.0,5837.0,True
2026-08-17,48.0,48.0,0.0,12977.75,12865.75,63.0,62.0,62.0,0.0,4560.0,3.0,137.0,1.0,270.3697916666667,1.0,90558.8,542.0,5009.0,True
2026-08-18,41.0,40.0,1.0,10826.8,10744.8,62.0,60.0,60.0,0.0,4550.0,2.0,198.0,0.975609756097561,270.66999999999996,1.0,82546.40000000001,506.0,3621.0,True
2026-08-19,47.0,44.0,3.0,11470.0,11358.0,64.0,64.0,64.0,0.0,4584.0,5.0,1114.0,0.9361702127659575,260.6818181818182,1.0,83767.5,497.0,2983.0,True
2026-08-20,49.0,49.0,0.0,9765.1,9647.1,71.0,71.0,71.0,0.0,4679.0,3.0,107.0,1.0,199.28775510204082,1.0,81473.75,501.0,2164.0,True
2026-08-21,45.0,44.0,1.0,13314.35,13216.35,73.0,72.0,72.0,0.0,4632.0,1.0,699.0,0.9777777777777777,302.59886363636366,1.0,86329.0,508.0,2568.0,True
2026-08-22,67.0,64.0,3.0,13488.65,13324.65,94.0,91.0,91.0,0.0,4661.0,3.0,275.0,0.9552238805970149,210.76015625,1.0,84431.75,503.0,2548.0,True
2026-08-23,47.0,44.0,3.0,7944.9,7830.9,68.0,66.0,66.0,0.0,4622.0,1.0,0.0,0.9361702127659575,180.5659090909091,1.0,78987.55,495.0,2530.0,True
2026-08-24,53.0,52.0,1.0,12120.2,11930.2,80.0,79.0,79.0,0.0,4621.0,4.0,827.0,0.9811320754716981,233.08076923076925,1.0,78052.0,512.0,3220.0,True
2026-08-25,38.0,37.0,1.0,5869.55,5773.55,57.0,57.0,57.0,0.0,4615.0,3.0,955.0,0.9736842105263158,158.6364864864865,1.0,73080.75,507.0,3977.0,True
2026-08-26,40.0,38.0,2.0,8229.5,8141.5,56.0,53.0,53.0,0.0,4706.0,3.0,236.0,0.95,216.56578947368422,1.0,69864.25,499.0,3099.0,True
2026-08-27,53.0,53.0,0.0,14109.85,13983.85,82.0,82.0,82.0,0.0,4815.0,2.0,107.0,1.0,266.2235849056604,1.0,74201.0,510.0,3099.0,True
2026-08-28,52.0,52.0,0.0,14080.85,13922.85,77.0,77.0,77.0,0.0,4860.0,2.0,699.0,1.0,270.7855769230769,1.0,74907.5,514.0,3099.0,True
2026-08-29,53.0,52.0,1.0,12613.050000000001,12515.050000000001,68.0,67.0,67.0,0.0,4914.0,2.0,75.0,0.9811320754716981,242.55865384615387,1.0,74097.9,488.0,2899.0,True
2026-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2186.0,,,,66267.0,420.0,5085.0,True
2026-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,955.0,,,,54336.8,340.0,5213.0,True
2026-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,227.0,,,,48563.25,283.0,4485.0,True
2026-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2196.0,,,,40421.75,227.0,6445.0,True
2026-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1083.0,,,,26437.9,145.0,7421.0,True
2026-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,,,,12515.050000000001,68.0,6740.0,True
2026-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,887.0,,,,0.0,0.0,7552.0,True
2026-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,5366.0,True
2026-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,,,,0.0,0.0,4459.0,True
2026-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,4232.0,True
2026-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,,,,0.0,0.0,2084.0,True
2026-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,,,,0.0,0.0,1049.0,True
