operator,bilibili_content_count,bilibili_heat,bilibili_reach,bilibili_momentum,bilibili_engagement,bilibili_intent,bilibili_discussion,weibo_content_count,weibo_heat,weibo_reach,weibo_momentum,weibo_engagement,weibo_intent,weibo_discussion,weibo_role_data_available,xiaohongshu_role_data_available,weibo_heat_imputed,cross_platform_heat,reach_score,momentum_score,engagement_score,intent_score,discussion_score,cross_platform_consistency,role_level_platform_coverage,confidence_score,data_quality_grade,heat_score,evergreen_score,viral_potential_score,merch_opportunity_score,commerce_validation_status,heat_rank,platform_gap,bilibili_campaign_content_count,bilibili_direct_content_count,bilibili_window_content_count,bilibili_campaign_content_types,bilibili_campaign_views,bilibili_weighted_campaign_views,bilibili_weighted_intent_actions,bilibili_campaign_median_views,bilibili_campaign_first_published,bilibili_campaign_last_published,bilibili_campaign_exposure_score,bilibili_campaign_depth_score,organic_sku_count,sales_proxy_min,numeric_sales_coverage,median_price,average_rank,market_visibility,category_breadth,official_share,fanmade_share,presale_share,taobao_observed,supply_score,demand_proxy_score,visibility_score,price_power_score,assortment_score,commercial_heat_score,commerce_confidence_score,commerce_data_grade,commerce_rank,business_quadrant,content_commerce_gap,commercial_validation_priority
凯尔希·思衡托,1,77.5,33.33333333333333,86.66666666666667,96.66666666666667,100.0,83.33333333333334,,,,,,,,False,False,50.0,69.25,38.33333333333333,75.66666666666666,82.66666666666667,85.0,73.33333333333334,,0.3333333333333333,56.666666666666664,D,69.25,56.06666666666666,74.73333333333333,68.4125,优先补充淘宝销量/收藏加购,2,,15,1,14,6,19570318,17733953.931,1214683.7157,813321.0,2026-04-25T11:35:00+00:00,2026-05-03T03:00:00+00:00,73.33333333333333,80.0,1.0,100.0,1.0,69.0,4.0,0.21533827903669653,1.0,1.0,0.0,0.0,True,50.0,50.0,50.0,50.0,14.285714285714285,46.42857142857143,68.0,B,2,核心商业角色,22.82142857142857,66.32678571428572
重岳,1,53.666666666666664,93.33333333333333,26.666666666666668,56.666666666666664,56.666666666666664,10.0,,,,,,,,False,False,50.0,52.56666666666666,80.33333333333333,33.66666666666667,54.666666666666664,54.666666666666664,22.0,,0.3333333333333333,56.666666666666664,D,52.56666666666666,70.06666666666666,29.000000000000004,53.321666666666665,常规补充商业数据,12,,8,1,7,5,14614072,12435465.6163,741796.0277,1633009.0,2023-01-08T12:10:00+00:00,2023-01-22T03:00:00+00:00,50.0,55.00000000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,13,内容热、商业供给待验证,52.56666666666666,66.32166666666666
望,1,53.0,36.666666666666664,73.33333333333333,50.0,53.333333333333336,50.0,,,,,,,,False,False,50.0,52.099999999999994,40.666666666666664,66.33333333333333,50.0,52.333333333333336,50.0,,0.3333333333333333,56.666666666666664,D,52.099999999999994,44.4,59.8,52.52833333333333,常规补充商业数据,14,,4,1,3,3,5104859,4523919.1779,347483.36730000004,1253927.0,2026-02-09T03:03:33+00:00,2026-02-19T03:00:00+00:00,6.666666666666667,16.666666666666664,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,14,内容热、商业供给待验证,52.099999999999994,65.52833333333334
焰狐龙梓兰,1,62.66666666666667,76.66666666666667,93.33333333333333,23.333333333333332,33.33333333333333,93.33333333333333,,,,,,,,False,False,50.0,58.86666666666667,68.66666666666666,80.33333333333333,31.333333333333332,38.33333333333333,80.33333333333333,,0.3333333333333333,56.666666666666664,D,58.86666666666667,53.73333333333333,80.33333333333333,52.07333333333334,常规补充商业数据,7,,4,1,3,3,7735527,6761317.0396,431697.4508,1836022.5,2026-05-25T03:00:00+00:00,2026-06-08T09:00:00+00:00,26.666666666666668,16.666666666666664,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,8,内容热、商业供给待验证,58.86666666666667,65.07333333333334
新约能天使,1,81.33333333333333,96.66666666666667,66.66666666666666,86.66666666666667,96.66666666666667,43.333333333333336,,,,,,,,False,False,50.0,71.93333333333332,82.66666666666667,61.66666666666666,75.66666666666666,82.66666666666667,45.33333333333333,,0.3333333333333333,56.666666666666664,D,71.93333333333332,79.86666666666667,55.133333333333326,69.03666666666666,优先补充淘宝销量/收藏加购,1,,18,1,17,6,34875843,31807694.7565,1891852.3453000002,1278548.5,2025-04-26T11:45:00+00:00,2025-05-11T03:01:03+00:00,100.0,96.66666666666667,1.0,100.0,1.0,104.0,18.0,0.23540891336663824,1.0,1.0,0.0,1.0,True,50.0,50.0,100.0,100.0,14.285714285714285,61.42857142857143,68.0,B,1,核心商业角色,10.504761904761892,63.95095238095238
Mon3tr,1,56.33333333333333,100.0,63.33333333333333,26.666666666666668,36.666666666666664,33.33333333333333,,,,,,,,False,False,50.0,54.43333333333333,85.0,59.33333333333333,33.66666666666667,40.666666666666664,38.33333333333333,,0.3333333333333333,56.666666666666664,D,54.43333333333333,64.46666666666667,50.93333333333332,50.66166666666666,常规补充商业数据,11,,7,1,6,5,16051194,13526593.8694,815119.7596999999,1980124.0,2025-03-27T03:00:00+00:00,2025-04-15T03:01:55+00:00,63.33333333333333,40.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,12,内容热、商业供给待验证,54.43333333333333,63.66166666666666
结城理,1,53.0,20.0,100.0,40.0,40.0,70.0,,,,,,,,False,False,50.0,52.099999999999994,29.0,85.0,43.0,43.0,64.0,,0.3333333333333333,56.666666666666664,D,52.099999999999994,34.599999999999994,76.6,50.19499999999999,常规补充商业数据,15,,3,1,2,2,7695347,6696607.5231,529696.8642,1997088.0,2026-08-28T03:00:00+00:00,2026-09-02T03:00:00+00:00,23.333333333333332,3.3333333333333335,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,15,内容热、商业供给待验证,52.099999999999994,63.19499999999999
塑心,1,36.99999999999999,26.666666666666668,3.3333333333333335,73.33333333333333,63.33333333333333,16.666666666666664,,,,,,,,False,False,50.0,40.89999999999999,33.66666666666667,17.333333333333332,66.33333333333333,59.33333333333333,26.666666666666664,,0.3333333333333333,56.666666666666664,D,40.89999999999999,46.733333333333334,21.066666666666663,49.23833333333333,低成本观察,26,,17,1,16,6,15479846,12848310.9857,807996.306,826136.0,2023-10-20T03:00:00+00:00,2023-11-04T03:00:00+00:00,56.666666666666664,93.33333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,26,低成本观察,40.89999999999999,62.23833333333333
斩业星熊,1,47.66666666666667,46.666666666666664,43.333333333333336,43.333333333333336,46.666666666666664,73.33333333333333,2.0,40.71428571428571,39.285714285714285,39.285714285714285,39.285714285714285,39.285714285714285,39.285714285714285,True,False,40.71428571428571,45.58095238095238,44.45238095238095,42.11904761904762,42.11904761904762,44.45238095238095,63.11904761904761,93.04761904761904,0.6666666666666666,83.33333333333333,B,45.58095238095238,43.51904761904761,50.51904761904762,58.08166666666666,常规补充商业数据,24,6.952380952380963,10,1,9,7,21957475,18009978.7485,1203467.3872,1432545.0,2025-07-21T13:00:00+00:00,2025-08-10T03:00:00+00:00,76.66666666666667,71.66666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,24,低成本观察,45.58095238095238,60.62452380952381
真言,1,49.166666666666664,56.666666666666664,60.0,30.0,30.0,80.0,,,,,,,,False,False,50.0,49.416666666666664,54.666666666666664,57.0,36.0,36.0,71.0,,0.3333333333333333,56.666666666666664,D,49.416666666666664,47.199999999999996,62.599999999999994,47.2375,常规补充商业数据,18,,6,1,5,4,8875372,7396867.544,398475.1699,1263799.5,2025-10-04T03:00:00+00:00,2025-10-17T03:00:00+00:00,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,18,低成本观察,49.416666666666664,60.2375
死芒,1,49.5,70.0,40.0,33.33333333333333,26.666666666666668,96.66666666666667,,,,,,,,False,False,50.0,49.65,64.0,43.0,38.33333333333333,33.66666666666667,82.66666666666667,,0.3333333333333333,56.666666666666664,D,49.65,53.733333333333334,58.866666666666674,46.75916666666667,常规补充商业数据,17,,4,1,3,4,6632998,5695345.8667,259555.52520000003,1521683.0,2025-03-01T03:00:00+00:00,2025-03-17T03:00:00+00:00,13.333333333333334,26.666666666666668,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,17,低成本观察,49.65,59.75916666666667
佩佩,1,36.833333333333336,50.0,33.33333333333333,36.666666666666664,43.333333333333336,3.3333333333333335,,,,,,,,False,False,50.0,40.78333333333333,50.0,38.33333333333333,40.666666666666664,45.33333333333333,17.333333333333332,,0.3333333333333333,56.666666666666664,D,40.78333333333333,46.266666666666666,29.93333333333333,45.685833333333335,低成本观察,27,,8,1,7,5,28300665,25175429.660499997,1557591.0883000002,1445464.0,2024-07-24T04:09:36+00:00,2024-08-02T03:00:00+00:00,93.33333333333333,55.00000000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,27,低成本观察,40.78333333333333,58.685833333333335
酒神,1,44.5,80.0,53.333333333333336,6.666666666666667,23.333333333333332,60.0,,,,,,,,False,False,50.0,46.15,71.0,52.333333333333336,19.666666666666668,31.333333333333332,57.0,,0.3333333333333333,56.666666666666664,D,46.15,50.46666666666667,54.2,44.60083333333333,常规补充商业数据,23,,4,1,3,3,7558156,6770042.805,443901.6601,1874624.0,2025-05-30T02:59:39+00:00,2025-06-08T09:00:00+00:00,30.0,16.666666666666664,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,23,低成本观察,46.15,57.60083333333333
司霆惊蛰,1,46.5,73.33333333333333,46.666666666666664,20.0,16.666666666666664,90.0,,,,,,,,False,False,50.0,47.55,66.33333333333333,47.666666666666664,29.0,26.666666666666664,78.0,,0.3333333333333333,56.666666666666664,D,47.55,51.4,59.8,44.064166666666665,常规补充商业数据,21,,7,1,6,6,12433364,9816198.683,472345.7623,1567548.0,2025-06-20T09:09:16+00:00,2025-07-15T03:00:37+00:00,43.333333333333336,48.333333333333336,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,21,低成本观察,47.55,57.064166666666665
荒芜拉普兰德,1,53.50000000000001,23.333333333333332,30.0,83.33333333333334,86.66666666666667,63.33333333333333,,,,,,,,False,False,50.0,52.45,31.333333333333332,36.0,73.33333333333334,75.66666666666666,59.33333333333333,,0.3333333333333333,56.666666666666664,D,52.45,48.13333333333334,45.33333333333333,58.51916666666666,常规补充商业数据,13,,16,1,15,7,15078380,13140149.6917,755625.9973,703367.0,2024-10-26T12:10:00+00:00,2024-11-11T03:01:44+00:00,60.0,90.0,1.0,100.0,1.0,69.0,4.0,0.21533827903669653,1.0,1.0,0.0,0.0,True,50.0,50.0,50.0,50.0,14.285714285714285,46.42857142857143,68.0,B,3,核心商业角色,6.021428571428572,56.43345238095238
贝洛内,1,46.833333333333336,13.333333333333334,76.66666666666667,53.333333333333336,6.666666666666667,100.0,,,,,,,,False,False,50.0,47.78333333333333,24.333333333333336,68.66666666666666,52.333333333333336,19.666666666666668,85.0,,0.3333333333333333,56.666666666666664,D,47.78333333333333,35.53333333333334,75.19999999999999,42.41916666666667,常规补充商业数据,20,,3,1,2,3,5167314,4803242.0373,195351.0631,1782432.0,2026-03-05T03:01:02+00:00,2026-03-10T02:56:09+00:00,10.0,6.666666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,20,低成本观察,47.78333333333333,55.41916666666667
娜斯提,1,33.83333333333333,30.0,56.666666666666664,10.0,20.0,66.66666666666666,,,,,,,,False,False,50.0,38.68333333333333,36.0,54.666666666666664,22.0,29.0,61.66666666666666,,0.3333333333333333,56.666666666666664,D,38.68333333333333,30.4,57.46666666666666,40.6575,低成本观察,28,,4,1,3,3,5009469,4357480.9936999995,201928.92320000002,1090901.5,2025-11-22T03:00:46+00:00,2025-12-05T02:58:55+00:00,3.3333333333333335,16.666666666666664,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,28,低成本观察,38.68333333333333,53.6575
谬因,1,32.33333333333333,3.3333333333333335,90.0,13.333333333333334,13.333333333333334,36.666666666666664,,,,,,,,False,False,50.0,37.633333333333326,17.333333333333332,78.0,24.333333333333336,24.333333333333336,40.666666666666664,,0.3333333333333333,56.666666666666664,D,37.633333333333326,20.133333333333333,63.06666666666666,39.01833333333333,低成本观察,29,,7,1,6,6,10379238,8306177.6759,419607.3381,983293.0,2026-06-26T09:00:00+00:00,2026-07-17T03:00:00+00:00,36.666666666666664,48.333333333333336,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,29,低成本观察,37.633333333333326,52.01833333333333
怒潮凛冬,1,37.00000000000001,43.333333333333336,83.33333333333334,3.3333333333333335,3.3333333333333335,40.0,,,,,,,,False,False,50.0,40.900000000000006,45.33333333333333,73.33333333333334,17.333333333333332,17.333333333333332,43.0,,0.3333333333333333,56.666666666666664,D,40.900000000000006,34.133333333333326,61.2,38.73833333333334,低成本观察,25,,7,1,6,5,11603570,9976072.3859,567376.7862,1452851.0,2026-03-27T04:00:00+00:00,2026-04-12T03:00:00+00:00,46.666666666666664,40.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,25,低成本观察,40.900000000000006,51.73833333333334
缇缇,1,25.333333333333332,10.0,50.0,16.666666666666664,10.0,46.666666666666664,,,,,,,,False,False,50.0,32.733333333333334,22.0,50.0,26.666666666666664,22.0,47.666666666666664,,0.3333333333333333,56.666666666666664,D,32.733333333333334,23.866666666666667,49.06666666666666,36.230000000000004,低成本观察,30,,7,1,6,5,8769341,6643430.905,516840.7511,1062017.0,2025-12-23T12:25:00+00:00,2026-01-11T02:57:53+00:00,20.0,40.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,30,低成本观察,32.733333333333334,49.230000000000004
