operator,cross_platform_heat,merch_opportunity_score,confidence_score,bilibili_campaign_views,bilibili_weighted_campaign_views,preference_mentions,weighted_preference_score,first_choice_count,mention_share,skland_content_count,skland_total_views,skland_median_views,skland_total_engagement,skland_interaction_rate,skland_top_content_title,skland_top_content_views,taobao_observed,organic_sku_count,sales_proxy_min,median_price,commercial_heat_score,commerce_confidence_score,content_signal,survey_signal,skland_signal,commerce_signal,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range,demand_score,evidence_source_count,evidence_confidence,demand_rank,demand_tier,decision_note
令,,,,,,32.0,67.0,14.0,0.1316872427983539,3.0,13117.0,3265.0,697.0,0.1727210425334497,【次生预案】前哨支点通关思路-机动密令干员核心（RM-4更新）,9829.0,,,,,,,,89.921875,28.89830508474576,,11.0,36.0,21.8,9.311283477587825,25.0,61.14,2,54.5,21,增长验证角色,用户意愿较强但供给样本不足，优先补采正版SKU
纯烬艾雅法拉,59.82380952380952,73.23142857142857,83.33333333333333,25210970.0,20718717.4865,,,,,3.0,9961.0,2782.0,479.0,0.094452194147981,【2024.08】模组升级-综合推荐（纯烬艾雅法拉、夜莺、凯尔希、傀影）,7135.0,False,0.0,0.0,0.0,0.0,10.0,91.33333333333334,,21.10169491525424,,10.0,38.0,24.2,10.305338422390601,28.0,60.53,2,49.5,22,小批量测试角色,保留观察并补充证据
W,,,,,,26.0,48.0,7.0,0.1069958847736625,,,,,,,,,,,,,,,60.390625,,,22.0,24.0,23.0,0.7071067811865476,2.0,60.39,1,70.0,23,小批量测试角色,保留观察并补充证据
斩业星熊,45.58095238095238,58.08166666666666,83.33333333333333,21957475.0,18009978.7485,,,,,22.0,56538.0,603.5,5787.0,0.2608754679542533,六星干员速评【斩业星熊】——新约能天使或成最大赢家？新熊11秒锁血18w输出,27067.0,False,0.0,0.0,0.0,0.0,10.0,39.666666666666664,,86.77966101694915,,13.0,29.0,21.8,6.058052492344384,16.0,60.33,2,75.0,24,小批量测试角色,保留观察并补充证据
德克萨斯,,,,,,44.0,97.0,17.0,0.1810699588477366,5.0,4917.0,1035.0,277.0,0.0754822143796124,从功能定位出发的全时期干员培养推荐②——回费之琴柳、德克萨斯,1777.0,,,,,,,,99.21875,16.35593220338983,,8.0,39.0,23.4,11.458621208504974,31.0,60.13,2,57.5,25,小批量测试角色,用户意愿较强但供给样本不足，优先补采正版SKU
Mon3tr,54.43333333333333,50.66166666666666,56.66666666666666,16051194.0,13526593.8694,,,,,13.0,34051.0,753.0,1337.0,0.0639031875312947,六星干员速评【Mon3tr】——超越榴莲针的攻速拐，5w真伤7k血上限的医疗干员,10566.0,False,0.0,0.0,0.0,0.0,10.0,58.49999999999999,,59.57627118644068,,24.0,26.0,25.2,0.8366600265340757,2.0,58.97,2,56.5,26,小批量测试角色,保留观察并补充证据
泥岩,,,,,,24.0,50.0,5.0,0.0987654320987654,17.0,26528.0,156.0,1692.0,0.1259238463873186,【2025.04】模组升级-综合推荐（伊内丝、逻各斯、泥岩、晓歌、寻澜）,9257.0,,,,,,,,60.546875,56.56779661016949,,25.0,27.0,25.8,0.8366600265340756,2.0,58.67,2,74.0,27,小批量测试角色,保留观察并补充证据
死芒,49.65,46.75916666666667,56.66666666666666,6632998.0,5695345.8667,,,,,34.0,54526.0,217.0,2422.0,0.3244831973845488,音律联觉-购票入场注意点和新时装（蕾缪安/塞雷娅/死芒）特邀嘉宾MILI等人,20035.0,False,0.0,0.0,0.0,0.0,10.0,40.83333333333333,,80.2542372881356,,15.0,30.0,24.6,5.941380311005179,15.0,58.12,2,67.0,28,小批量测试角色,保留观察并补充证据
酒神,46.15,44.60083333333333,56.66666666666666,7558156.0,6770042.805,,,,,36.0,144197.0,414.5,7850.0,0.171338650648744,明日方舟×小马宝莉联动，新肉鸽黑流树海，酒神复刻，新故事集，全息矩阵二期,30172.0,False,0.0,0.0,0.0,0.0,10.0,25.5,,97.62711864406779,,7.0,34.0,24.2,10.52140675005011,27.0,57.13,2,67.0,29,小批量测试角色,保留观察并补充证据
重岳,52.56666666666666,53.321666666666665,56.66666666666666,14614072.0,12435465.6163,,,,,10.0,20182.0,956.5,2153.0,0.1050921673632299,【2025.01】模组升级-综合推荐（佩佩、林、左乐、重岳、夕、森蚺）,7141.0,False,0.0,0.0,0.0,0.0,10.0,59.83333333333333,,51.567796610169495,,28.0,31.0,29.6,1.1401754250991376,3.0,56.21,2,52.0,30,小批量测试角色,保留观察并补充证据
真言,49.41666666666666,47.2375,56.66666666666666,8875372.0,7396867.544,,,,,14.0,41066.0,1065.0,2417.0,0.1009774171635499,6星本源术士真言技能解析，破隐匿！靠麻痹层数打伤害，和酒神爆条不冲突能打配合！,15658.0,False,0.0,0.0,0.0,0.0,10.0,39.83333333333333,,72.83898305084746,,21.0,32.0,28.6,4.505552130427524,11.0,54.31,2,58.0,31,小批量测试角色,保留观察并补充证据
归溟幽灵鲨,57.11666666666666,58.86916666666666,56.66666666666666,36274605.0,30752093.0636,,,,,4.0,11265.0,2706.0,486.0,0.0630175704828476,手把手教你玩深海猎人——归溟幽灵鲨篇,5829.0,False,0.0,0.0,0.0,0.0,10.0,75.66666666666666,,24.44915254237288,,21.0,40.0,32.0,6.9641941385920605,19.0,53.2,2,43.0,32,小批量测试角色,保留观察并补充证据
幽灵鲨,,,,,,29.0,65.0,13.0,0.1193415637860082,2.0,819.0,409.5,51.0,0.0595967369555179,【方舟五星图鉴07改】幽灵鲨-白发红眼长靴病娇精分修女！一分钟带你认识五星干员,730.0,,,,,,,,84.6875,7.245762711864407,,20.0,51.0,34.4,11.036303729057115,31.0,48.16,2,53.0,33,小批量测试角色,用户意愿较强但供给样本不足，优先补采正版SKU
银灰,,,,,,18.0,33.0,4.0,0.074074074074074,17.0,23090.0,265.0,4730.0,0.1821397443212517,六星干员攻略（银灰）,6847.0,,,,,,,,33.671875,62.16101694915255,,27.0,41.0,34.0,5.0,14.0,47.11,2,69.5,34,小批量测试角色,保留观察并补充证据
温蒂,,,,,,22.0,46.0,10.0,0.0905349794238683,9.0,8827.0,203.0,827.0,0.1444435714291958,六星干员攻略（温蒂）,5064.0,,,,,,,,59.21875,28.6864406779661,,34.0,41.0,36.0,2.9154759474226504,7.0,44.82,2,60.5,35,小批量测试角色,保留观察并补充证据
斯卡蒂,,,,,,24.0,46.0,10.0,0.0987654320987654,4.0,11282.0,2366.0,578.0,0.1211548556146365,手把手教你玩深海猎人——斯卡蒂篇,6512.0,,,,,,,,60.390625,26.313559322033896,,33.0,44.0,37.2,4.086563348340509,11.0,44.32,2,54.5,36,小批量测试角色,保留观察并补充证据
司霆惊蛰,47.55,44.064166666666665,56.66666666666666,12433364.0,9816198.683,,,,,9.0,40414.0,2786.0,1621.0,0.065264658124278,六星干员速评【司霆惊蛰】——理论22w总伤，但非常吃地图的解放者,17569.0,False,0.0,0.0,0.0,0.0,10.0,28.666666666666664,,64.02542372881356,,30.0,41.0,36.4,3.9749213828703587,11.0,44.17,2,50.5,37,小批量测试角色,保留观察并补充证据
贝洛内,47.78333333333333,42.41916666666667,56.66666666666666,5167314.0,4803242.0373,,,,,10.0,32416.0,1641.5,2102.0,0.1244805389016664,一图流测评【贝洛内】——9费打单23w，但更推荐有输出有控二技能,13308.0,False,0.0,0.0,0.0,0.0,10.0,29.666666666666664,,58.26271186440678,,34.0,42.0,38.2,2.863564212655271,8.0,42.21,2,52.0,38,小批量测试角色,保留观察并补充证据
拉普兰德,,,,,,27.0,49.0,6.0,0.1111111111111111,5.0,5515.0,661.0,371.0,0.1164797179412991,拉普兰德异格强度评测，食用指南,3075.0,,,,,,,,62.578125,18.220338983050848,,36.0,49.0,40.4,5.029910535983716,13.0,41.65,2,57.5,39,小批量测试角色,保留观察并补充证据
塑心,40.89999999999999,49.23833333333333,56.66666666666666,15479846.0,12848310.9857,,,,,18.0,33167.0,259.5,2098.0,0.1211855819500217,【2025.09】模组升级-综合推荐（母鸡卡联动干员、塑心、煌）,10697.0,False,0.0,0.0,0.0,0.0,10.0,23.666666666666664,,63.30508474576271,,33.0,43.0,39.2,3.768288736283354,10.0,41.05,2,64.0,40,低成本观察角色,保留观察并补充证据
缪尔赛思,48.95,55.7775,56.66666666666666,25289278.0,20973459.3959,17.0,34.0,7.0,0.0699588477366255,5.0,6247.0,652.0,1072.0,0.1557258387839931,关于干员缪尔赛思的一些使用心得与分享,3709.0,False,0.0,0.0,0.0,0.0,10.0,49.33333333333333,44.21875,25.76271186440678,,38.0,46.0,41.4,2.9664793948382644,8.0,40.72,3,61.83,41,低成本观察角色,保留观察并补充证据
佩佩,40.78333333333333,45.685833333333335,56.66666666666666,28300665.0,25175429.6605,,,,,23.0,37777.0,783.0,1980.0,0.1130249074880687,【2025.01】模组升级-综合推荐（佩佩、林、左乐、重岳、夕、森蚺）,7141.0,False,0.0,0.0,0.0,0.0,10.0,18.0,,67.54237288135593,,31.0,45.0,40.0,5.3385391260156565,14.0,39.73,2,67.0,42,低成本观察角色,保留观察并补充证据
黍,55.833333333333336,61.20833333333333,56.66666666666666,22000246.0,19788338.614400003,15.0,27.0,3.0,0.0617283950617283,3.0,6063.0,2842.0,282.0,0.0953522879472347,六星干员速评【黍】——新时代奶盾来了,3190.0,False,0.0,0.0,0.0,0.0,10.0,74.66666666666667,20.0,16.77966101694915,,31.0,50.0,43.2,7.563068160475615,19.0,39.63,3,58.83,43,低成本观察角色,内容热度高于购买意愿，先做概念测试而非直接备货
娜斯提,38.68333333333333,40.6575,56.66666666666666,5009469.0,4357480.9937,,,,,9.0,53410.0,2648.0,2161.0,0.0739131899099874,一图流测评【娜斯提】——+60%攻击的人造高台！,23196.0,False,0.0,0.0,0.0,0.0,10.0,11.166666666666668,,71.0593220338983,,28.0,49.0,41.6,7.956129712366435,21.0,37.44,2,50.5,44,低成本观察角色,保留观察并补充证据
缄默德克萨斯,51.04999999999999,54.38916666666666,56.66666666666666,28645455.0,24245242.9975,,,,,1.0,2695.0,2695.0,128.0,0.047495361781076,【限定干员测评#4】携带榜综合榜双料冠军？！缄默德克萨斯详细测评,2695.0,False,0.0,0.0,0.0,0.0,10.0,54.666666666666664,,9.110169491525424,,39.0,54.0,46.2,5.449770637375485,15.0,34.69,2,38.5,45,低成本观察角色,保留观察并补充证据
缇缇,32.733333333333334,36.23,56.66666666666666,8769341.0,6643430.905,,,,,13.0,41629.0,1060.0,2226.0,0.1195272148301807,【雅赛努斯复仇记】缇缇实装简评 10w总伤2k4hps沉睡法伤大c,12212.0,False,0.0,0.0,0.0,0.0,10.0,3.333333333333334,,72.3728813559322,,32.0,55.0,44.8,8.228000972289685,23.0,33.61,2,56.5,46,低成本观察角色,保留观察并补充证据
锏,,,,,,15.0,31.0,5.0,0.0617283950617283,3.0,15650.0,4903.0,913.0,0.0558399348069371,六星干员速评【锏】——短回转高爆发！那个三届冠军“黑骑士”，她终于来了,9537.0,,,,,,,,30.78125,35.08474576271186,,44.0,47.0,46.4,1.3416407864998738,3.0,32.81,2,46.25,47,低成本观察角色,保留观察并补充证据
谬因,37.633333333333326,39.01833333333333,56.66666666666666,10379238.0,8306177.6759,,,,,12.0,32878.0,1591.0,2891.0,0.1498230413983005,「谬因」培养专精推荐一图流,16264.0,False,0.0,0.0,0.0,0.0,10.0,7.833333333333334,,63.135593220338976,,35.0,53.0,46.0,6.670832032063167,18.0,32.09,2,55.0,48,低成本观察角色,保留观察并补充证据
铃兰,,,,,,15.0,27.0,4.0,0.0617283950617283,9.0,14929.0,682.0,1128.0,0.0987864457305391,六星干员攻略（铃兰）,3971.0,,,,,,,,23.125,40.550847457627114,,45.0,52.0,48.4,2.8809720581775866,7.0,31.34,2,55.25,49,低成本观察角色,保留观察并补充证据
诗怀雅,,,,,,11.0,24.0,5.0,0.0452674897119341,8.0,17285.0,2083.0,1437.0,0.1105529133464268,【2025.08】模组升级-综合推荐（遥、水陈、妮芙、烛煌、琳琅诗怀雅、佩佩,4795.0,,,,,,,,16.71875,43.85593220338982,,43.0,54.0,49.2,4.08656334834051,11.0,29.52,2,50.75,50,低成本观察角色,保留观察并补充证据
煌,,,,,,22.0,44.0,7.0,0.0905349794238683,1.0,20.0,20.0,2.0,0.1,【煌】悖论模拟攻略,20.0,,,,,,,,51.71875,3.3474576271186436,,44.0,57.0,50.4,4.669047011971501,13.0,28.9,2,48.5,51,低成本观察角色,保留观察并补充证据
怒潮凛冬,40.900000000000006,38.73833333333334,56.66666666666666,11603570.0,9976072.3859,,,,,9.0,19491.0,1430.0,1265.0,0.0740591861154747,一图流前瞻【怒潮凛冬】——新时代基石！dps3k的持续时间无限,6793.0,False,0.0,0.0,0.0,0.0,10.0,15.333333333333334,,45.04237288135593,,42.0,52.0,49.8,4.381780460041329,10.0,28.36,2,50.5,52,低成本观察角色,保留观察并补充证据
艾雅法拉,,,,,,13.0,26.0,4.0,0.0534979423868312,10.0,13678.0,377.0,759.0,0.1555438276003473,【2025.10】模组升级-综合推荐（娜仁图亚、真言、艾雅法拉、圣约送葬人）,6181.0,,,,,,,,17.734375,37.66949152542372,,48.0,55.0,52.0,2.9154759474226504,7.0,27.14,2,55.25,53,低成本观察角色,保留观察并补充证据
余,46.73333333333333,53.61333333333333,56.66666666666666,11285087.0,9578078.1413,,,,,1.0,3793.0,3793.0,232.0,0.0611653045083047,六星干员速评【余】——血量过万伤害7万，攻防一体的恐怖厨子,3793.0,False,0.0,0.0,0.0,0.0,10.0,39.33333333333333,,10.974576271186441,,47.0,56.0,52.6,3.3615472627943217,9.0,26.9,2,38.5,54,低成本观察角色,保留观察并补充证据
夕,,,,,,19.0,39.0,5.0,0.0781893004115226,1.0,14.0,14.0,3.0,0.2142857142857142,【夕】悖论模拟攻略,14.0,,,,,,,,41.796875,2.754237288135593,,50.0,58.0,54.8,2.949576240750525,8.0,23.38,2,46.25,55,低成本观察角色,保留观察并补充证据
伊芙利特,,,,,,12.0,22.0,4.0,0.0493827160493827,8.0,14279.0,1179.0,749.0,0.1183539745367618,卫戍协议强力万金油干员推荐（伊芙利特）,4658.0,,,,,,,,10.703125,35.974576271186436,,52.0,58.0,55.2,2.2803508501982757,6.0,22.62,2,51.5,56,低成本观察角色,保留观察并补充证据
霍尔海雅,,,,,,14.0,24.0,3.0,0.0576131687242798,3.0,12988.0,5167.0,489.0,0.0491884536121646,【2025.11】模组升级-综合推荐（初雪、斩熊、维娜、星源、灵知、霍尔海雅）,7427.0,,,,,,,,11.328125,27.033898305084747,,53.0,59.0,56.8,2.280350850198276,6.0,18.74,2,45.5,57,低成本观察角色,保留观察并补充证据
陈,,,,,,17.0,31.0,4.0,0.0699588477366255,2.0,673.0,336.5,62.0,0.2703240867893436,赤陈干员攻略，一陈当关万夫莫开,662.0,,,,,,,,28.28125,6.6525423728813555,,56.0,59.0,57.6,1.1401754250991383,3.0,18.08,2,46.25,58,低成本观察角色,保留观察并补充证据
年,,,,,,11.0,26.0,6.0,0.0452674897119341,1.0,1178.0,1178.0,131.0,0.1112054329371816,【回坑指南】7周年干员获取攻略,1178.0,,,,,,,,23.203125,8.516949152542372,,57.0,60.0,58.8,1.0954451150103326,3.0,16.28,2,40.25,59,低成本观察角色,保留观察并补充证据
夜莺,,,,,,9.0,17.0,2.0,0.037037037037037,7.0,10609.0,147.0,703.0,0.1283157526279167,【2024.08】模组升级-综合推荐（纯烬艾雅法拉、夜莺、凯尔希、傀影）,7135.0,,,,,,,,3.125,27.796610169491526,,55.0,60.0,59.0,2.23606797749979,5.0,14.76,2,47.75,60,低成本观察角色,保留观察并补充证据
