operator,category,respondent_count,purchase_intent_mean,high_intent_share,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,prior_buyer_share,limited_preference_mean,monthly_budget_median,survey_evidence_grade,research_note
娜斯提,毛绒玩偶,2,3.5,0.5,81.0,75.5,86.5,0.5,3.0,40.0,D,样本不足，不进入决策
归溟幽灵鲨,装饰摆件,2,3.0,0.5,94.5,90.25,98.75,0.5,3.5,145.0,D,样本不足，不进入决策
望,亚克力制品,2,3.5,0.5,64.0,63.0,65.0,1.0,3.5,100.0,D,样本不足，不进入决策
真言,吧唧（徽章）,2,3.0,0.5,21.0,20.0,22.0,0.5,3.0,75.0,D,样本不足，不进入决策
缪尔赛思,吧唧（徽章）,2,3.5,0.5,23.0,23.0,23.0,1.0,4.5,60.0,D,样本不足，不进入决策
谬因,日用生活,2,4.0,0.5,106.0,101.5,110.5,0.5,4.0,150.0,D,样本不足，不进入决策
赤刃明霄陈,吧唧（徽章）,2,3.0,0.5,21.0,19.0,23.0,0.5,3.5,90.0,D,样本不足，不进入决策
赤刃明霄陈,日用生活,2,3.5,0.5,91.5,74.25,108.75,1.0,4.0,80.0,D,样本不足，不进入决策
酒神,吧唧（徽章）,2,3.5,0.5,21.5,20.75,22.25,1.0,4.0,75.0,D,样本不足，不进入决策
酒神,毛绒玩偶,2,3.5,0.5,114.5,108.75,120.25,1.0,2.5,100.0,D,样本不足，不进入决策
重岳,吧唧（徽章）,2,4.0,0.5,23.5,23.25,23.75,0.5,3.5,65.0,D,样本不足，不进入决策
黍,亚克力制品,2,3.0,0.5,53.0,51.0,55.0,1.0,4.0,150.0,D,样本不足，不进入决策
Mon3tr,吧唧（徽章）,3,3.3333333333333335,0.3333333333333333,21.0,20.5,22.5,1.0,3.6666666666666665,100.0,D,样本不足，不进入决策
凯尔希·思衡托,亚克力制品,3,3.0,0.3333333333333333,55.0,52.0,59.5,0.3333333333333333,3.6666666666666665,100.0,D,样本不足，不进入决策
怒潮凛冬,亚克力制品,3,3.3333333333333335,0.3333333333333333,53.0,52.5,59.5,0.6666666666666666,4.0,130.0,D,样本不足，不进入决策
新约能天使,吧唧（徽章）,3,3.0,0.3333333333333333,22.0,21.5,24.0,1.0,3.6666666666666665,130.0,D,样本不足，不进入决策
焰狐龙梓兰,毛绒玩偶,3,3.3333333333333335,0.3333333333333333,92.0,92.0,110.5,0.6666666666666666,3.3333333333333335,80.0,D,样本不足，不进入决策
结城理,吧唧（徽章）,3,3.3333333333333335,0.3333333333333333,19.0,18.5,21.5,0.0,2.6666666666666665,150.0,D,样本不足，不进入决策
缄默德克萨斯,毛绒玩偶,3,3.3333333333333335,0.3333333333333333,103.0,86.5,114.5,1.0,3.3333333333333335,90.0,D,样本不足，不进入决策
重岳,亚克力制品,3,3.3333333333333335,0.3333333333333333,53.0,46.5,56.0,0.6666666666666666,4.0,110.0,D,样本不足，不进入决策
佩佩,亚克力制品,4,3.25,0.25,56.5,54.75,57.75,0.75,4.0,85.0,D,样本不足，不进入决策
佩佩,吧唧（徽章）,2,3.0,0.0,21.5,20.25,22.75,0.5,4.0,130.0,D,样本不足，不进入决策
佩佩,手办模玩,2,3.0,0.0,384.0,384.0,384.0,0.0,3.0,125.0,D,样本不足，不进入决策
司霆惊蛰,毛绒玩偶,2,3.0,0.0,86.5,78.25,94.75,1.0,3.5,75.0,D,样本不足，不进入决策
新约能天使,亚克力制品,2,2.5,0.0,48.5,44.25,52.75,0.5,3.0,50.0,D,样本不足，不进入决策
真言,亚克力制品,2,3.0,0.0,54.0,53.0,55.0,1.0,4.0,185.0,D,样本不足，不进入决策
荒芜拉普兰德,毛绒玩偶,2,3.0,0.0,135.5,131.25,139.75,0.5,4.0,185.0,D,样本不足，不进入决策
谬因,装饰摆件,2,2.5,0.0,89.0,84.5,93.5,0.5,2.5,95.0,D,样本不足，不进入决策
贝洛内,吧唧（徽章）,2,3.0,0.0,24.0,24.0,24.0,1.0,3.5,50.0,D,样本不足，不进入决策
赤刃明霄陈,毛绒玩偶,2,3.0,0.0,106.0,99.0,113.0,0.5,3.0,115.0,D,样本不足，不进入决策
Mon3tr,装饰摆件,1,2.0,0.0,80.0,80.0,80.0,0.0,4.0,100.0,D,样本不足，不进入决策
予愿安洁莉娜,亚克力制品,1,3.0,0.0,60.0,60.0,60.0,1.0,3.0,120.0,D,样本不足，不进入决策
予愿安洁莉娜,通行证,1,3.0,0.0,41.0,41.0,41.0,0.0,5.0,200.0,D,样本不足，不进入决策
佩佩,毛绒玩偶,1,3.0,0.0,80.0,80.0,80.0,1.0,4.0,70.0,D,样本不足，不进入决策
佩佩,装饰摆件,1,3.0,0.0,49.0,49.0,49.0,0.0,2.0,50.0,D,样本不足，不进入决策
佩佩,通行证,1,3.0,0.0,49.0,49.0,49.0,1.0,1.0,90.0,D,样本不足，不进入决策
凛御银灰,手办模玩,1,2.0,0.0,384.0,384.0,384.0,1.0,3.0,60.0,D,样本不足，不进入决策
凛御银灰,日用生活,1,3.0,0.0,69.0,69.0,69.0,1.0,2.0,60.0,D,样本不足，不进入决策
凯尔希·思衡托,日用生活,1,3.0,0.0,57.0,57.0,57.0,1.0,3.0,50.0,D,样本不足，不进入决策
凯尔希·思衡托,装饰摆件,1,3.0,0.0,80.0,80.0,80.0,0.0,4.0,100.0,D,样本不足，不进入决策
司霆惊蛰,通行证,1,3.0,0.0,43.0,43.0,43.0,1.0,4.0,50.0,D,样本不足，不进入决策
塑心,装饰摆件,1,3.0,0.0,103.0,103.0,103.0,1.0,3.0,90.0,D,样本不足，不进入决策
塑心,通行证,1,3.0,0.0,39.0,39.0,39.0,0.0,4.0,100.0,D,样本不足，不进入决策
归溟幽灵鲨,通行证,1,3.0,0.0,45.0,45.0,45.0,1.0,4.0,120.0,D,样本不足，不进入决策
斩业星熊,吧唧（徽章）,1,3.0,0.0,18.0,18.0,18.0,0.0,4.0,50.0,D,样本不足，不进入决策
斩业星熊,毛绒玩偶,1,3.0,0.0,163.0,163.0,163.0,1.0,4.0,180.0,D,样本不足，不进入决策
望,吧唧（徽章）,1,3.0,0.0,21.0,21.0,21.0,1.0,3.0,60.0,D,样本不足，不进入决策
望,日用生活,1,2.0,0.0,103.0,103.0,103.0,1.0,4.0,90.0,D,样本不足，不进入决策
望,装饰摆件,1,3.0,0.0,57.0,57.0,57.0,1.0,3.0,50.0,D,样本不足，不进入决策
死芒,通行证,1,2.0,0.0,46.0,46.0,46.0,1.0,4.0,120.0,D,样本不足，不进入决策
焰狐龙梓兰,通行证,1,3.0,0.0,51.0,51.0,51.0,1.0,4.0,70.0,D,样本不足，不进入决策
真言,日用生活,1,3.0,0.0,103.0,103.0,103.0,1.0,4.0,90.0,D,样本不足，不进入决策
纯烬艾雅法拉,吧唧（徽章）,1,3.0,0.0,21.0,21.0,21.0,1.0,5.0,130.0,D,样本不足，不进入决策
结城理,日用生活,1,3.0,0.0,113.0,113.0,113.0,0.0,3.0,200.0,D,样本不足，不进入决策
结城理,通行证,1,3.0,0.0,49.0,49.0,49.0,1.0,3.0,150.0,D,样本不足，不进入决策
维娜·维多利亚,通行证,1,3.0,0.0,49.0,49.0,49.0,1.0,4.0,170.0,D,样本不足，不进入决策
缄默德克萨斯,日用生活,1,2.0,0.0,106.0,106.0,106.0,1.0,4.0,290.0,D,样本不足，不进入决策
缪尔赛思,手办模玩,1,3.0,0.0,384.0,384.0,384.0,1.0,3.0,220.0,D,样本不足，不进入决策
缪尔赛思,日用生活,1,3.0,0.0,103.0,103.0,103.0,0.0,3.0,150.0,D,样本不足，不进入决策
谬因,吧唧（徽章）,1,3.0,0.0,23.0,23.0,23.0,1.0,4.0,90.0,D,样本不足，不进入决策
贝洛内,装饰摆件,1,1.0,0.0,71.0,71.0,71.0,0.0,4.0,150.0,D,样本不足，不进入决策
赤刃明霄陈,手办模玩,1,2.0,0.0,384.0,384.0,384.0,1.0,4.0,70.0,D,样本不足，不进入决策
黍,毛绒玩偶,1,2.0,0.0,127.0,127.0,127.0,0.0,3.0,200.0,D,样本不足，不进入决策
