operator,scenario,score,rank,in_top_k
史尔特尔,without_survey,38.5593220339,38.0,False
司霆惊蛰,without_survey,44.1748934483,31.0,False
塑心,without_survey,41.051937754,34.0,False
塞雷娅,without_survey,79.8728813559,6.0,True
夕,without_survey,2.7542372881,59.0,False
夜莺,without_survey,27.7966101695,49.0,False
娜斯提,without_survey,37.4353751611,40.0,False
年,without_survey,8.5169491525,55.0,False
幽灵鲨,without_survey,7.2457627119,56.0,False
归溟幽灵鲨,without_survey,53.2028446823,29.0,False
德克萨斯,without_survey,16.3559322034,54.0,False
怒潮凛冬,without_survey,28.3636138369,48.0,False
拉普兰德,without_survey,18.2203389831,53.0,False
斩业星熊,without_survey,60.3302606799,20.0,False
斯卡蒂,without_survey,26.313559322,52.0,False
新约能天使,without_survey,94.5785467671,2.0,True
望,without_survey,67.1196848052,14.0,False
棘刺,without_survey,95.0847457627,1.0,True
死芒,without_survey,58.1232034889,22.0,False
泥岩,without_survey,56.5677966102,24.0,False
浊心斯卡蒂,without_survey,56.4406779661,25.0,False
温蒂,without_survey,28.686440678,47.0,False
焰狐龙梓兰,without_survey,71.5174943007,11.0,False
煌,without_survey,3.3474576271,58.0,False
玛恩纳,without_survey,74.0254237288,10.0,True
真言,without_survey,54.3094954901,28.0,False
纯烬艾雅法拉,without_survey,60.52998315,19.0,False
结城理,without_survey,65.1361879274,15.0,False
维什戴尔,without_survey,88.4745762712,3.0,True
维娜·维多利亚,without_survey,62.0628407176,17.0,False
缄默德克萨斯,without_survey,34.685746853,43.0,False
缇缇,without_survey,33.613836852,44.0,False
缪尔赛思,without_survey,38.995341461,37.0,False
能天使,without_survey,55.593220339,27.0,False
艾雅法拉,without_survey,37.6694915254,39.0,False
荒芜拉普兰德,without_survey,61.9769695543,18.0,False
诗怀雅,without_survey,43.8559322034,32.0,False
谬因,without_survey,32.0887104768,45.0,False
贝洛内,without_survey,42.2087917534,33.0,False
赤刃明霄陈,without_survey,71.3806125483,12.0,False
逻各斯,without_survey,69.4915254237,13.0,False
酒神,without_survey,57.1347011597,23.0,False
重岳,without_survey,56.2080979284,26.0,False
铃兰,without_survey,40.5508474576,35.0,False
银灰,without_survey,62.1610169492,16.0,False
锏,without_survey,35.0847457627,42.0,False
阿米娅,without_survey,74.5338983051,9.0,True
陈,without_survey,6.6525423729,57.0,False
霍尔海雅,without_survey,27.0338983051,50.0,False
黍,without_survey,49.277629101,30.0,False
Mon3tr,without_skland,58.5,28.0,False
W,without_skland,60.390625,23.0,False
予愿安洁莉娜,without_skland,94.5,5.0,True
令,without_skland,89.921875,7.0,True
伊芙利特,without_skland,10.703125,57.0,False
余,without_skland,39.3333333333,40.0,False
佩佩,without_skland,18.0,51.0,False
凛御银灰,without_skland,70.8333333333,17.0,False
凯尔希,without_skland,43.515625,35.0,False
凯尔希·思衡托,without_skland,80.1843971631,13.0,False
史尔特尔,without_skland,95.3125,4.0,True
司霆惊蛰,without_skland,28.6666666667,45.0,False
塑心,without_skland,23.6666666667,48.0,False
塞雷娅,without_skland,71.171875,16.0,False
夕,without_skland,41.796875,36.0,False
夜莺,without_skland,3.125,60.0,False
娜斯提,without_skland,11.1666666667,56.0,False
年,without_skland,23.203125,49.0,False
幽灵鲨,without_skland,84.6875,9.0,True
归溟幽灵鲨,without_skland,75.6666666667,15.0,False
德克萨斯,without_skland,99.21875,1.0,True
怒潮凛冬,without_skland,15.3333333333,54.0,False
拉普兰德,without_skland,62.578125,20.0,False
斩业星熊,without_skland,39.6666666667,39.0,False
斯卡蒂,without_skland,60.390625,23.0,False
新约能天使,without_skland,98.4113475177,2.0,True
望,without_skland,53.25,30.0,False
棘刺,without_skland,39.0625,41.0,False
死芒,without_skland,40.8333333333,37.0,False
泥岩,without_skland,60.546875,22.0,False
浊心斯卡蒂,without_skland,84.609375,10.0,True
温蒂,without_skland,59.21875,27.0,False
焰狐龙梓兰,without_skland,68.3333333333,18.0,False
煌,without_skland,51.71875,31.0,False
玛恩纳,without_skland,64.609375,19.0,False
真言,without_skland,39.8333333333,38.0,False
纯烬艾雅法拉,without_skland,91.3333333333,6.0,True
结城理,without_skland,49.75,32.0,False
维什戴尔,without_skland,96.09375,3.0,True
维娜·维多利亚,without_skland,88.8333333333,8.0,True
缄默德克萨斯,without_skland,54.6666666667,29.0,False
缇缇,without_skland,3.3333333333,59.0,False
缪尔赛思,without_skland,46.9465277778,34.0,False
能天使,without_skland,83.359375,11.0,False
艾雅法拉,without_skland,17.734375,52.0,False
荒芜拉普兰德,without_skland,59.9858156028,25.0,False
诗怀雅,without_skland,16.71875,53.0,False
谬因,without_skland,7.8333333333,58.0,False
贝洛内,without_skland,29.6666666667,44.0,False
赤刃明霄陈,without_skland,81.0,12.0,False
逻各斯,without_skland,61.40625,21.0,False
酒神,without_skland,25.5,47.0,False
重岳,without_skland,59.8333333333,26.0,False
铃兰,without_skland,23.125,50.0,False
银灰,without_skland,33.671875,42.0,False
锏,without_skland,30.78125,43.0,False
阿米娅,without_skland,77.5,14.0,False
陈,without_skland,28.28125,46.0,False
霍尔海雅,without_skland,11.328125,55.0,False
黍,without_skland,49.1555555556,33.0,False
Mon3tr,without_commerce,58.972048766,26.0,False
W,without_commerce,60.390625,23.0,False
予愿安洁莉娜,without_commerce,74.7222717811,7.0,True
令,without_commerce,61.1371722098,21.0,False
伊芙利特,without_commerce,22.6236208826,56.0,False
余,without_commerce,26.8952819903,54.0,False
佩佩,without_commerce,39.7291109129,42.0,False
凛御银灰,without_commerce,77.0467836257,4.0,True
凯尔希,without_commerce,64.46284378,19.0,False
凯尔希·思衡托,without_commerce,90.276935276,3.0,True
史尔特尔,without_commerce,68.5421330349,13.0,False
司霆惊蛰,without_commerce,44.1748934483,37.0,False
塑心,without_commerce,41.051937754,40.0,False
塞雷娅,without_commerce,75.2761232811,6.0,True
夕,without_commerce,23.3805364567,55.0,False
夜莺,without_commerce,14.7625519667,60.0,False
娜斯提,without_commerce,37.4353751611,44.0,False
年,without_commerce,16.2756835625,59.0,False
幽灵鲨,without_commerce,48.1583786377,33.0,False
归溟幽灵鲨,without_commerce,53.2028446823,32.0,False
德克萨斯,without_commerce,60.1325151903,25.0,False
怒潮凛冬,without_commerce,28.3636138369,52.0,False
拉普兰德,without_commerce,41.6546410297,39.0,False
斩业星熊,without_commerce,60.3302606799,24.0,False
斯卡蒂,without_commerce,44.3165374161,36.0,False
新约能天使,without_commerce,93.1518485479,1.0,True
望,without_commerce,67.1196848052,14.0,False
棘刺,without_commerce,65.4880876239,15.0,False
死芒,without_commerce,58.1232034889,28.0,False
泥岩,without_commerce,58.6699512312,27.0,False
浊心斯卡蒂,without_commerce,71.3222537576,10.0,True
温蒂,without_commerce,44.8167173009,35.0,False
焰狐龙梓兰,without_commerce,71.5174943007,8.0,True
煌,without_commerce,28.9021026543,51.0,False
玛恩纳,without_commerce,69.0509074193,12.0,False
真言,without_commerce,54.3094954901,31.0,False
纯烬艾雅法拉,without_commerce,60.52998315,22.0,False
结城理,without_commerce,65.1361879274,17.0,False
维什戴尔,without_commerce,92.4998001279,2.0,True
维娜·维多利亚,without_commerce,62.0628407176,20.0,False
缄默德克萨斯,without_commerce,34.685746853,45.0,False
缇缇,without_commerce,33.613836852,46.0,False
缪尔赛思,without_commerce,40.7159936856,41.0,False
能天使,without_commerce,70.2621322354,11.0,False
艾雅法拉,without_commerce,27.1377318516,53.0,False
荒芜拉普兰德,without_commerce,65.1288036475,18.0,False
诗怀雅,without_commerce,29.5193076431,50.0,False
谬因,without_commerce,32.0887104768,48.0,False
贝洛内,without_commerce,42.2087917534,38.0,False
赤刃明霄陈,without_commerce,71.3806125483,9.0,True
逻各斯,without_commerce,65.2200591621,16.0,False
酒神,without_commerce,57.1347011597,29.0,False
重岳,without_commerce,56.2080979284,30.0,False
铃兰,without_commerce,31.3447393668,49.0,False
银灰,without_commerce,47.1101495043,34.0,False
锏,without_commerce,32.8112008315,47.0,False
阿米娅,without_commerce,76.1008954269,5.0,True
陈,without_commerce,18.0790294212,58.0,False
霍尔海雅,without_commerce,18.7365086345,57.0,False
黍,without_commerce,39.6332336324,43.0,False
Mon3tr,perturb_001,59.0158096489,27.0,False
W,perturb_001,60.390625,22.0,False
予愿安洁莉娜,perturb_001,72.8887941611,7.0,True
令,perturb_001,60.5253782887,21.0,False
伊芙利特,perturb_001,22.8769806957,56.0,False
余,perturb_001,25.7422229269,54.0,False
佩佩,perturb_001,41.7434898204,40.0,False
凛御银灰,perturb_001,77.6227962966,4.0,True
凯尔希,perturb_001,64.9080587682,18.0,False
凯尔希·思衡托,perturb_001,81.3233993854,3.0,True
史尔特尔,perturb_001,67.9731520767,14.0,False
司霆惊蛰,perturb_001,45.6125705372,35.0,False
塑心,perturb_001,42.6636246528,39.0,False
塞雷娅,perturb_001,75.3633555227,6.0,True
夕,perturb_001,22.9891131354,55.0,False
夜莺,perturb_001,15.009898052,60.0,False
娜斯提,perturb_001,39.8705936351,43.0,False
年,perturb_001,16.1284467961,59.0,False
幽灵鲨,perturb_001,47.381983809,34.0,False
归溟幽灵鲨,perturb_001,51.1203550043,32.0,False
德克萨斯,perturb_001,59.3017711306,26.0,False
怒潮凛冬,perturb_001,29.5715750052,51.0,False
拉普兰德,perturb_001,41.2099305044,41.0,False
斩业星熊,perturb_001,62.2458617416,19.0,False
斯卡蒂,perturb_001,43.9748966098,37.0,False
新约能天使,perturb_001,94.295426689,1.0,True
望,perturb_001,68.4054622417,13.0,False
棘刺,perturb_001,66.0497405959,16.0,False
死芒,perturb_001,59.7260463248,24.0,False
泥岩,perturb_001,58.6300588425,28.0,False
浊心斯卡蒂,perturb_001,71.0398475065,9.0,True
温蒂,perturb_001,44.5106145727,36.0,False
焰狐龙梓兰,perturb_001,71.8126792587,8.0,True
煌,perturb_001,28.4171545815,52.0,False
玛恩纳,perturb_001,69.145308343,12.0,False
真言,perturb_001,55.6514958982,31.0,False
纯烬艾雅法拉,perturb_001,57.6743845413,29.0,False
结城理,perturb_001,66.5625515073,15.0,False
维什戴尔,perturb_001,92.4234138369,2.0,True
维娜·维多利亚,perturb_001,59.5811047697,25.0,False
缄默德克萨斯,perturb_001,32.8334325274,48.0,False
缇缇,perturb_001,36.4209654015,45.0,False
缪尔赛思,perturb_001,40.1400386601,42.0,False
能天使,perturb_001,69.9837616868,11.0,False
艾雅法拉,perturb_001,27.3375920552,53.0,False
