bvid,title,description,owner_mid,owner_name,published_at,view,like,coin,favorite,share,reply,danmaku,source_url,source_type,metric_precision,collected_at,content_type,is_simulated
BV1bf3T6KE2e,《明日方舟》SideStory「直到大地变成一颗酸橙」活动宣传PV,"2026「夏日嘉年华」限时活动即将开启 

哎呀，写好的信被风吹走了几行......博士，请再稍等几天，很快我就会带着那些我想说的话，来到你的面前！

————————————
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-07-25T11:45:00+00:00,2877724,100367,25615,17819,11683,8555,8418,https://www.bilibili.com/video/BV1bf3T6KE2e,official_public_aggregate,exact_api,2026-09-11T22:18:42+00:00,event_pv,False
BV1KN3M6wEm9,《明日方舟》SideStory「直到大地变成一颗酸橙」活动先导PV,"《明日方舟》SideStory「直到大地变成一颗酸橙」活动先导PV

从想说的话挤满了信纸，再也写不下一个字的那一刻起——
我就会向你飞奔而来。

————————————
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-07-25T11:40:00+00:00,2091449,106554,23235,18931,11173,6852,5140,https://www.bilibili.com/video/BV1KN3M6wEm9,official_public_aggregate,exact_api,2026-09-11T22:18:42+00:00,event_pv,False
BV161K26SEE1,《明日方舟》EP - 女士的游戏,"7 月 20 日 女士的游戏 正式上架各音乐平台

【专辑介绍】
脚步轻如夜雾，悄然浸入月光，
大地是她漫步的游乐场。

【歌曲列表】
女士的游戏
女士的游戏 (Instrumental)",161775300,明日方舟,2026-07-20T03:00:00+00:00,986539,76109,11489,13487,9249,8049,1239,https://www.bilibili.com/video/BV161K26SEE1,official_public_aggregate,exact_api,2026-09-11T22:18:29+00:00,music_ep,False
BV12pNo6HEFa,《明日方舟》2026「音律联觉-昔时我见」官方录播,2026明日方舟音律联觉-昔时我见官方录播现已正式上线！,161775300,明日方舟,2026-07-18T04:00:00+00:00,1678800,93706,68880,51689,28851,12575,34484,https://www.bilibili.com/video/BV12pNo6HEFa,official_public_aggregate,exact_api,2026-09-11T22:18:42+00:00,offline_event,False
BV17wKJ6NEjP,《明日方舟》EP - What an Electromagnetic Night,"7 月 17 日 What an Electromagnetic Night 正式上架各音乐平台

【专辑介绍】
已经习惯了熬夜工作的机械师，就连逃避工作的方式也是熬夜。
只不过，这些由酒精和垃圾食品开启的夜晚，最终总还是会以某种对科学方法堪称亵渎的“学术实践”收场。

【歌曲列表】
What an Electromagnetic Night
What an Electromagnetic Night (Instrumental)",161775300,明日方舟,2026-07-17T03:00:00+00:00,981466,75823,12925,20132,7547,4651,1674,https://www.bilibili.com/video/BV17wKJ6NEjP,official_public_aggregate,exact_api,2026-09-11T22:18:43+00:00,music_ep,False
BV19GNP6EE7e,《明日方舟》集成战略「沉沦者的黑流树海」宣传PV · 玩法介绍,"《明日方舟》集成战略「沉沦者的黑流树海」宣传PV · 玩法介绍

在得到想要的结果之前，如果一次不成功，就再来一次。
这是成功的秘诀，也是沉沦的开始。
对她，对它们，以及对你们而言，都是如此。

主题网站链接：https://b23.tv/LBs93Ut
_____________
❖「沉沦者的黑流树海」集成战略主题网站【降生的故事】活动现已开启。❖

✦活动时间：2026年7月11日16:00~2026年7月31日3:59
✦活动期间，完成【降生的故事】网页活动并首次分享故事结局即可参与抽奖，可获取“多",161775300,明日方舟,2026-07-12T03:00:00+00:00,2748502,110958,26292,17380,48893,18205,27739,https://www.bilibili.com/video/BV19GNP6EE7e,official_public_aggregate,exact_api,2026-09-11T22:18:05+00:00,gameplay_system,False
BV1SCNj61Eqk,《明日方舟》EP - 悖反构成,"7 月 10 日 悖反构成 正式上架各音乐平台

【专辑介绍】
背向延伸的阴影源自同一束光点，
反之亦然。

【歌曲列表】
悖反构成
悖反构成 (Instrumental)",161775300,明日方舟,2026-07-10T03:00:00+00:00,655332,52391,12262,15027,3707,4169,1605,https://www.bilibili.com/video/BV1SCNj61Eqk,official_public_aggregate,exact_api,2026-09-11T22:18:42+00:00,music_ep,False
BV1bHMe6vEJN,《明日方舟》干员「谬因」技能展示PV,"《明日方舟》干员「谬因」技能展示PV

————————————
故事集「丛林症结」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-07-08T03:00:00+00:00,984480,53763,4993,4243,18511,9463,3363,https://www.bilibili.com/video/BV1bHMe6vEJN,official_public_aggregate,exact_api,2026-09-11T22:16:55+00:00,operator_pv,False
BV1FFMw6hEdw,《明日方舟》全新故事「丛林症结」活动宣传PV,"故事集「丛林症结」即将开启

我们都染上了致死的疾病，它的名字是“生命的意义”。

———————————— 
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-07-05T03:00:00+00:00,2047548,87404,15772,9530,36671,14701,9693,https://www.bilibili.com/video/BV1FFMw6hEdw,official_public_aggregate,exact_api,2026-09-02T18:57:28.278486+08:00,,
BV1FZ7V6XEpT,《明日方舟》× 《小马宝莉》「魔法与友谊」合作宣传PV,"《明日方舟》× 《小马宝莉》「魔法与友谊」合作宣传PV

魔法闪耀，友谊相伴。
明日方舟携手小马宝莉，邀博士开启奇迹旅程。",161775300,明日方舟,2026-06-28T03:00:00+00:00,2432014,171779,25755,21176,118044,17742,11158,https://www.bilibili.com/video/BV1FZ7V6XEpT,official_public_aggregate,exact_api,2026-09-11T22:18:08+00:00,other_pv,False
BV1y2736HEc3,《明日方舟》「群生共语」特别公益PV,"《明日方舟》「群生共语」特别公益PV

敦煌 ，地处河西走廊最西端 ，是戈壁、荒漠、绿洲与湿地交织的生命走廊。
明日方舟携手中国绿化基金会，探索野生动物与人类群落的和谐共生路径。我们希望通过收容救助、红外监测、科普宣传等方式缓解人兽冲突；在守护野生动物的同时 ，减少人与自然的边界摩擦。让猞猁等野生动物在这片土地上更加自由地生活。
愿每一次的守护与相遇，都能让这片土地上的生命更靠近一点。

特别鸣谢：@中国绿化基金会",161775300,明日方舟,2026-06-26T09:00:00+00:00,568308,83508,23298,9185,4616,2900,1163,https://www.bilibili.com/video/BV1y2736HEc3,official_public_aggregate,exact_api,2026-09-02T18:35:29.912718+08:00,,
BV1ArjW6nE1V,《明日方舟》危机合约新赛季「涤墨作战」宣传PV,"危机合约#5赛季「涤墨作战」即将开启

一、危机合约，#5赛季「涤墨作战」开启
二、【联合行动】特选干员定向寻访开启
三、“资源收集”关卡限时全天开放
四、【时代】系列，限时复刻上架
五、礼包限时上架

更多活动内容请持续关注《明日方舟》游戏内公告。",161775300,明日方舟,2026-06-21T03:00:00+00:00,1933307,117095,28517,18549,51758,19568,11958,https://www.bilibili.com/video/BV1ArjW6nE1V,official_public_aggregate,exact_api,2026-09-11T22:18:07+00:00,gameplay_system,False
BV1GiEg6PE3v,《明日方舟》EP - 夏日远去之后,"6 月 8 日 夏日远去之后 正式上架各音乐平台

【专辑介绍】
脚步与喧哗一同远去，昨日的炽热在心间珍藏。
晴云之下，夏虫鸣唱。轻风吹过，翻开下一页天空。

【歌曲列表】
夏日远去之后
夏日远去之后 (Instrumental)",161775300,明日方舟,2026-06-08T09:00:00+00:00,1152419,134233,54484,41376,24641,13289,9355,https://www.bilibili.com/video/BV1GiEg6PE3v,official_public_aggregate,exact_api,2026-09-11T22:17:12+00:00,music_ep,False
BV145V46REGz,《明日方舟》干员「焰狐龙梓兰」技能展示PV,"《明日方舟》干员「焰狐龙梓兰」技能展示PV

————————————
【明日方舟 × 怪物猎人】SideStory「泡影苍霆」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-05-29T03:00:00+00:00,1979067,100345,16177,9838,65270,23119,21213,https://www.bilibili.com/video/BV145V46REGz,official_public_aggregate,exact_api,2026-09-11T22:17:09+00:00,operator_pv,False
BV1t2Vw6dEiE,【明日方舟×怪物猎人】SideStory「泡影苍霆」活动宣传PV,"【明日方舟×怪物猎人】SideStory「泡影苍霆」限时活动即将开启

泡影易碎，苍霆难驯；浮生若寄，猎魂长存。

———————————— 
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-05-26T03:00:00+00:00,2920574,122838,36457,17246,89506,23715,15384,https://www.bilibili.com/video/BV1t2Vw6dEiE,official_public_aggregate,exact_api,2026-09-11T22:18:24+00:00,event_pv,False
BV1pSGW6gE8f,【明日方舟×怪物猎人】SideStory「泡影苍霆」先导预告,"神秘陌生的国度，迷雾重重的异兽。
未知已经逼近，狩猎正待开启。",161775300,明日方舟,2026-05-25T03:00:00+00:00,1696546,101265,17638,9749,61891,14535,3774,https://www.bilibili.com/video/BV1pSGW6gE8f,official_public_aggregate,exact_api,2026-09-11T22:17:39+00:00,event_pv,False
BV1BsRuBbE8E,《明日方舟》EP - Don't Miss It,"5 月 3 日 Don't Miss It 正式上架塞壬唱片官网，QQ音乐、网易云音乐及酷狗音乐等平台

【专辑介绍】
我们曾将鲜血洒遍河流，我们曾把白骨埋进垄沟。

【歌曲列表】
Don't Miss It
Don't Miss It (Instrumental)",161775300,明日方舟,2026-05-03T03:00:00+00:00,399345,39134,6881,8392,1979,4104,422,https://www.bilibili.com/video/BV1BsRuBbE8E,official_public_aggregate,exact_api,2026-09-02T18:57:06.422974+08:00,,
BV1HFRgBvEFF,《明日方舟》EP - All by My Design,"5 月 2 日 All by My Design 正式上架各音乐平台

【专辑介绍】
代码成行，指令落定，信息国度即刻上线。
——别忘了，还得意思一下她的账单。

【歌曲列表】
All by My Design
All by My Design (Instrumental)",161775300,明日方舟,2026-05-02T03:00:00+00:00,1597654,116123,47562,54197,10646,6201,3076,https://www.bilibili.com/video/BV1HFRgBvEFF,official_public_aggregate,exact_api,2026-09-11T22:18:47+00:00,music_ep,False
BV1c49DBjEzq,《明日方舟》EP - Innocence,"5 月 1 日 11点 Innocence 将正式上架各音乐平台

【专辑介绍】
她走过永恒，走入瞬息的朝霞。
在等待愈合的裂痕里，时间染上了温度，而希望，正自无声处生发。

【歌曲列表】
Innocence
Innocence (Instrumental)",161775300,明日方舟,2026-04-29T11:00:00+00:00,2664840,231713,187253,123221,30036,17051,32198,https://www.bilibili.com/video/BV1c49DBjEzq,official_public_aggregate,exact_api,2026-09-11T22:18:47+00:00,music_ep,False
BV1ai92BXEND,《明日方舟》限定干员「凯尔希·思衡托」前瞻PV,请相信，在你觉察这片大地的需要时，其意义就已然存在，其进程就已经开始。,161775300,明日方舟,2026-04-29T02:00:00+00:00,1255092,93932,38093,25496,11833,9239,14696,https://www.bilibili.com/video/BV1ai92BXEND,official_public_aggregate,exact_api,2026-09-11T22:18:08+00:00,operator_pv,False
BV1S39rBeEke,《明日方舟》七周年特别直播节目（附字幕）,再次感谢大家的支持，之后我们将陆续更新《明日方舟》七周年庆典相关具体内容。更多活动详情详见官方公告。,161775300,明日方舟,2026-04-28T08:00:00+00:00,611561,36798,7849,6451,1552,5523,3738,https://www.bilibili.com/video/BV1S39rBeEke,official_public_aggregate,exact_api,2026-09-11T22:18:15+00:00,other_official,False
BV1Kq96BZEyP,《明日方舟》七周年庆典声优祝福,"'-特别感谢-

（以下排名不分先后）
陈怡萱 陈雨 黄雷 梁爽 绿绮 空无的念
木雅瑞林 Lena Tiemann 小西克幸 日笠阳子

来自各位老师们为本次《明日方舟》七周年庆典送上的祝福。
非常感谢老师们的祝福与认可！",161775300,明日方舟,2026-04-28T07:30:00+00:00,299440,31810,4539,7189,893,1383,1134,https://www.bilibili.com/video/BV1Kq96BZEyP,official_public_aggregate,exact_api,2026-09-02T18:57:46.174104+08:00,,
BV1bhofBxE7H,《明日方舟》特别映像[圣徒箴言：有关大海],"大海，曾是伊比利亚的战利品。
它和瓶里的酒没什么两样，总能给人灌满辉煌的幻想。",161775300,明日方舟,2026-04-26T05:07:11+00:00,823068,42424,4629,5340,3595,6176,348,https://www.bilibili.com/video/BV1bhofBxE7H,official_public_aggregate,exact_api,2026-09-11T22:17:27+00:00,animation_brand,False
BV1Bno9BoEUx,《明日方舟》特别映像[罗德岛：新程],"咳咳，罗德岛新基地月度建设进度存档
记录人：可露希尔",161775300,明日方舟,2026-04-26T04:00:00+00:00,643494,39297,5382,6177,793,1821,601,https://www.bilibili.com/video/BV1Bno9BoEUx,official_public_aggregate,exact_api,2026-09-11T22:17:21+00:00,animation_brand,False
BV1Bpo9BxEwi,《明日方舟》特别映像[黑流树海：生还实录],"Warning
该影像档案系梅兰德基金会关于“1101黑流树海瘟疫扩散事件”与“玻利瓦尔地区大规模杀伤性武器问题”的调查资料。
因涉及国家安全与机密战略，请遵守最高级别保密要求，禁止复制、记录和携带，违者将追究其刑事责任。

另，此系列影像为相关调查员意外精神失常前后的记录，其拍摄内容可能引发不适，请相关人员谨慎选择学习观看。",161775300,明日方舟,2026-04-26T03:00:00+00:00,2047934,118529,30856,30174,60021,12357,7274,https://www.bilibili.com/video/BV1Bpo9BxEwi,official_public_aggregate,exact_api,2026-09-11T22:18:05+00:00,animation_brand,False
BV1zJo9BtEDe,一分（多）钟看泰拉#4,一根胡萝卜的时间了解一个泰拉知识，关注我的频道，大地的秘密等你来揭开。,161775300,明日方舟,2026-04-26T02:00:00+00:00,461873,35509,3627,5077,1021,2075,615,https://www.bilibili.com/video/BV1zJo9BtEDe,official_public_aggregate,exact_api,2026-09-11T22:17:35+00:00,other_official,False
BV1AuoQBtEiM,前探泰拉：病变 TERRA IN SIGHT:LESION,"我们从未真正了解过这种与我们的文明相伴相生的疾病。
它会带来毁灭，还是变革？",161775300,明日方舟,2026-04-25T13:16:31+00:00,697391,40130,6813,8234,1744,3684,1012,https://www.bilibili.com/video/BV1AuoQBtEiM,official_public_aggregate,exact_api,2026-09-11T22:17:21+00:00,other_official,False
BV1YboQBCEEy,《明日方舟》× 达美乐比萨「美味寻访，炙讯速达」合作宣传PV,"《明日方舟》× 达美乐比萨「美味寻访，炙讯速达」合作宣传PV
美味满溢，趁热启幕。
明日方舟携手达美乐比萨，邀博士赴一场味蕾寻访。

更多活动详情，请关注达美乐比萨官方账号。",161775300,明日方舟,2026-04-25T13:00:00+00:00,767803,36183,3659,4991,12018,5571,399,https://www.bilibili.com/video/BV1YboQBCEEy,official_public_aggregate,exact_api,2026-09-02T18:52:17.492785+08:00,,
BV19uoXBjECa,《明日方舟》× 时尚芭莎「无界辑录」跨界合作宣传PV,"《明日方舟》× 时尚芭莎「无界辑录」跨界合作宣传PV
打破媒介之墙，让美自由流动。
明日方舟携手时尚芭莎 寻迹灵感底色。
更多内容将收录于《时尚芭莎》电子刊及纸刊，敬请期待。",161775300,明日方舟,2026-04-25T12:55:00+00:00,1213210,62195,6932,9063,7227,3954,1289,https://www.bilibili.com/video/BV19uoXBjECa,official_public_aggregate,exact_api,2026-09-11T22:17:14+00:00,other_pv,False
BV1UeoSBaEYZ,《明日方舟》七周年庆典活动宣传PV,"《明日方舟》七周年庆典即将开启

来吧，乌萨斯人，请紧随那奔向明日的步伐。 不要回头，不要被落下。

————————————
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-04-25T11:40:00+00:00,4287862,160360,56183,31764,18350,18132,20247,https://www.bilibili.com/video/BV1UeoSBaEYZ,official_public_aggregate,exact_api,2026-09-11T22:18:43+00:00,event_pv,False
BV1eHoSB6ERw,《明日方舟》主题曲「相变临界」活动先导PV,"《明日方舟》主题曲「相变临界」活动先导PV

所幸......这并不是另一个梦。

————————————

详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-04-25T11:35:00+00:00,1925673,110036,27694,25180,8083,6369,8847,https://www.bilibili.com/video/BV1eHoSB6ERw,official_public_aggregate,exact_api,2026-09-11T22:17:19+00:00,event_pv,False
BV1RXQcB4Eed,《明日方舟》EP - In Due Time,"4月12日 In Due Time 正式上架各音乐平台

【专辑介绍】
时间静止的地方，还有人在歌唱。

【歌曲列表】
In Due Time
In Due Time (Instrumental)",161775300,明日方舟,2026-04-12T03:00:00+00:00,953103,67641,16095,15368,9401,6652,1321,https://www.bilibili.com/video/BV1RXQcB4Eed,official_public_aggregate,exact_api,2026-09-02T18:51:46.041666+08:00,,
BV1AZD8BXEQe,《明日方舟》EP - One Fight,"4 月 7 日 One Fight 正式上架各音乐平台

【专辑介绍】
穿越空想，推倒高墙。
【歌曲列表】
One Fight
One Fight (Instrumental)",161775300,明日方舟,2026-04-07T03:00:00+00:00,533389,43896,10552,10805,4036,4911,1225,https://www.bilibili.com/video/BV1AZD8BXEQe,official_public_aggregate,exact_api,2026-09-11T22:18:43+00:00,music_ep,False
BV11W9uBKET7,《明日方舟》干员「怒潮凛冬」技能展示PV,"《明日方舟》干员「怒潮凛冬」技能展示PV

————————————
《明日方舟》SideStory「人们，我们」活动即将开启

更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-04-04T03:00:00+00:00,1454511,64887,6373,5444,31230,14040,5394,https://www.bilibili.com/video/BV11W9uBKET7,official_public_aggregate,exact_api,2026-09-11T22:17:23+00:00,operator_pv,False
BV1CR9WB3EFH,《明日方舟》SideStory「人们，我们」活动宣传PV,"《明日方舟》SideStory「人们，我们」活动即将开启

举起你的拳头，
点燃这个时代！

————————————
更多活动详情内容详见官网、游戏内相关公告。",161775300,明日方舟,2026-04-02T03:02:32+00:00,3560043,162586,63266,42427,73662,19344,9511,https://www.bilibili.com/video/BV1CR9WB3EFH,official_public_aggregate,exact_api,2026-09-11T22:18:32+00:00,event_pv,False
BV1pZX6BnExp,《黑色Doctor Drop》保质期七天的侵略者！,《黑色Doctor Drop》保质期七天的侵略者！,161775300,明日方舟,2026-04-01T02:00:00+00:00,1686083,118906,20563,17927,26648,9705,4129,https://www.bilibili.com/video/BV1pZX6BnExp,official_public_aggregate,exact_api,2026-09-02T18:57:04.096719+08:00,,
BV15zXdBUEs9,「2026明日方舟音律联觉-昔时我见」情报公开,"「2026明日方舟音律联觉-昔时我见」活动情报正式公开！
详细活动专题页及票务信息即将发布，请持续关注@明日方舟

断垣之中，以双手托举失落的信仰。
帷幕之内，以残笔改写既定的剧本。
苍穹之下，以科技重绘文明的经纬。
高塔之前，以顽石叩问这喧嚣信条。

一、「2026明日方舟音律联觉-昔时我见」
【活动地点】
上海|梅赛德斯-奔驰文化中心（上海市浦东新区世博大道1200号）
【活动时间】
「昔时我见-日场」：5月1日-5月4日12:00
「昔时我见-夜场」：5月1日-5月4日19:30
【温馨提醒】
*「",161775300,明日方舟,2026-03-30T04:00:00+00:00,1071819,61098,16309,10508,29574,10225,3442,https://www.bilibili.com/video/BV15zXdBUEs9,official_public_aggregate,exact_api,2026-09-11T22:17:16+00:00,offline_event,False
BV1tyXbB8Ebm,「2026明日方舟音律联觉-昔时我见」先导预告公开,"「2026明日方舟音律联觉-昔时我见」先导预告公开

“我们书写，我们铭刻”
“我们将无形的瞬息凝结为不朽的典藏”
“等待来者重新阅读”

活动详情及票务信息将于近期发布，请持续关注@明日方舟 。",161775300,明日方舟,2026-03-27T04:00:00+00:00,2368163,155738,41967,30224,54162,12899,4361,https://www.bilibili.com/video/BV1tyXbB8Ebm,official_public_aggregate,exact_api,2026-09-11T22:17:15+00:00,event_pv,False
BV1c1PfzaEsD,《明日方舟》EP - Oath,"3 月 10 日 Oath 正式上架各音乐平台

【专辑介绍】
穿行于夜幕，点燃了猩红。
暴雨将街道染上锈蚀，雨滴敲出陌生的节奏。
而那道冷白的刃口，依旧锋利如旧。
【歌曲列表】
Oath
Oath (Instrumental)",161775300,明日方舟,2026-03-10T02:56:09+00:00,1797251,73059,28002,29662,15268,19947,38989,https://www.bilibili.com/video/BV1c1PfzaEsD,official_public_aggregate,exact_api,2026-09-11T22:18:43+00:00,music_ep,False
BV1d1Paz1Eds,《明日方舟》干员「贝洛内」技能展示PV,"《明日方舟》干员「贝洛内」技能展示PV

————————————
故事集「十字路口」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-03-08T03:00:00+00:00,1172866,57464,5903,4170,20023,54781,3465,https://www.bilibili.com/video/BV1d1Paz1Eds,official_public_aggregate,exact_api,2026-09-11T22:18:29+00:00,operator_pv,False
BV12EPzz7EtN,《明日方舟》全新故事「十字路口」活动宣传PV,"故事集「十字路口」即将开启

“你制定的规则与我践行的方式将成为这座城市全新的‘铳与秩序’，莱昂图索。”

———————————— 
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-03-05T03:01:02+00:00,2215082,90349,18569,10933,33746,14642,12602,https://www.bilibili.com/video/BV12EPzz7EtN,official_public_aggregate,exact_api,2026-09-11T22:18:29+00:00,event_pv,False
BV14cZABaEPi,《明日方舟》矢量突破#2「巫术之夜」宣传PV,矢量突破#2「巫术之夜」限时活动即将开启。,161775300,明日方舟,2026-02-19T03:00:00+00:00,1224521,64362,7329,6403,15605,11799,3266,https://www.bilibili.com/video/BV14cZABaEPi,official_public_aggregate,exact_api,2026-09-11T22:17:15+00:00,other_pv,False
BV1nMcJzkEKm,《明日方舟》EP - 花街迎春,"2月17日 花街迎春 正式上架各音乐平台

【专辑介绍】
年桔清新，桃花明艳。来年丰饶绚烂，尽在枝蕊摇曳间。

【歌曲列表】
花街迎春
花街迎春 (Instrumental)",161775300,明日方舟,2026-02-17T03:00:00+00:00,426459,59458,15280,12498,6544,5729,3769,https://www.bilibili.com/video/BV1nMcJzkEKm,official_public_aggregate,exact_api,2026-09-02T18:55:47.413857+08:00,,
BV1WrcMznEDc,《明日方舟》EP - 无名策,"2 月 9 日 无名策 正式上架各音乐平台

【专辑介绍】
举世为枰，生死一念。
【歌曲列表】
无名策
无名策 (Instrumental)",161775300,明日方舟,2026-02-09T10:00:00+00:00,2189281,142557,78656,60526,26309,16444,12507,https://www.bilibili.com/video/BV1WrcMznEDc,official_public_aggregate,exact_api,2026-09-11T22:18:47+00:00,music_ep,False
BV1zhcTzuEai,《明日方舟》限定干员「望」前瞻PV,"棋盘上未完的胜负与恩怨，终究需要棋手自己落下黑色的句点。
舍小取大......落子无悔。",161775300,明日方舟,2026-02-09T03:03:33+00:00,1289195,77014,23984,16541,11685,9245,8545,https://www.bilibili.com/video/BV1zhcTzuEai,official_public_aggregate,exact_api,2026-09-11T22:18:32+00:00,operator_pv,False
